"SITE_ID","VISIT_NO","MCYST_TL_UGL","SITE_TYPE","LAKE_SAMP","BASINAREA_KM2","BASINAREA_HA","BASINAREA_LU_KM2","MISSDATA_KM2_BSN","NLCD11_KM2_BSN","NLCD12_KM2_BSN","NLCD21_KM2_BSN","NLCD22_KM2_BSN","NLCD23_KM2_BSN","NLCD24_KM2_BSN","NLCD31_KM2_BSN","NLCD32_KM2_BSN","NLCD41_KM2_BSN","NLCD42_KM2_BSN","NLCD43_KM2_BSN","NLCD51_KM2_BSN","NLCD52_KM2_BSN","NLCD71_KM2_BSN","NLCD72_KM2_BSN","NLCD73_KM2_BSN","NLCD74_KM2_BSN","NLCD81_KM2_BSN","NLCD82_KM2_BSN","NLCD90_KM2_BSN","NLCD91_KM2_BSN","NLCD92_KM2_BSN","NLCD93_KM2_BSN","NLCD94_KM2_BSN","NLCD95_KM2_BSN","NLCD96_KM2_BSN","NLCD97_KM2_BSN","NLCD98_KM2_BSN","NLCD99_KM2_BSN","LANDUSE_KM2_BSN","PCT_OPENH20_BSN","PCT_ICESNOW_BSN","PCT_WATER_BSN","PCT_DEVOPEN_BSN","PCT_DEVLOW_BSN","PCT_DEVMED_BSN","PCT_DEVHIGH_BSN","PCT_DEVELOPED_BSN","PCT_BARREN_BSN","PCT_DECID_BSN","PCT_CONIF_BSN","PCT_MIXED_BSN","PCT_FOREST_BSN","PCT_SHRUBLAND_BSN","PCT_GRASS_BSN","PCT_PASTURE_BSN","PCT_CROPS_BSN","PCT_AGRIC_BSN","PCT_WDYWET_BSN","PCT_EMHERBWET_BSN","PCT_WETLAND_BSN","FLAG_LU_BASIN","COMMENT_LU_BASIN","SECMEAN","DATE_COL","LAT_DD","LON_DD","LAKEAREA","LAKENAME","AREA_HA","DEPTHMAX","ELEV_PT","HUC_2","HUC_8","PTL","NTL","TURB","ANC","DOC","COND","CHLA","DEPTH_SURF","TEMP_SURF","DO_SURF","COND_SURF","PH_SURF","DEPTH_BOT","TEMP_BOT","DO_BOT","COND_BOT","PH_BOT"
"NLA06608-0001",1,0.05,"PROB_Lake","Target_Sampled",3.757720078,375.7720078,3.757720078,0,0.632,0.551,0,0,0,0,0.716,0,0.005,1.504,0.066,0,0.282,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.761,16.8,14.7,31.5,0,0,0,0,0,19.1,0.1,40,1.8,41.9,7.5,0.1,0,0,0,0,0,0,"","",6.4,"7/31/2007",48.97902855,-114.0218399,0.662930555,"Lake Wurdeman",66.2930555,8.3,1605.73,10,10010001,6,151,0.474,924.3,0.63,96,0.24,0,16.3,8.3,150,8.1,8,10.2,11,143,8.4
"NLA06608-0002",1,0.05,"PROB_Lake","Target_Sampled",2.290436081,229.0436081,2.290436081,0,0,0,0.022,0,0,0,0,0,0,1.372,0,0,0.036,0.102,0,0,0,0.007,0,0.663,0,0,0,0,0.089,0,0,0,0,2.291,0,0,0,1,0,0,0,1,0,0,59.9,0,59.9,1.6,4.5,0.3,0,0.3,28.9,3.9,32.8,"","",0.55,"6/14/2007",33.03606404,-79.98379054,0.144379981,"Crane Pond",14.43799807,2.3,4.9,3,3050201,36,695,3.55,104.5,14.02,45,3.84,0,29.19,NA,52.9,5.5,1.9,17.2,NA,76.8,5.7
"NLA06608-0003",1,0.05,"PROB_Lake","Target_Sampled",4.837379808,483.7379808,4.837379808,0,0.07,0,0.391,0.15,0.006,0,0.024,0,0.444,0.05,0.003,0,1.31,0.239,0,0,0,0.56,1.571,0.012,0,0,0,0,0.01,0,0,0,0,4.84,1.4,0,1.4,8.1,3.1,0.1,0,11.3,0.5,9.2,1,0.1,10.3,27.1,4.9,11.6,32.5,44.1,0.2,0.2,0.4,"","",0.71,"8/29/2007",28.04774206,-97.85986605,0.057017366,"Wilderness Lake",5.701736559,2.5,17.6,12,12110111,43,738,7.67,4746,6,1089,16.96,0,30.6,8.3,1132,8.4,2,29.4,4,1144,8
"NLA06608-0004",1,0.05,"PROB_Lake","Target_Sampled",4.702661694,470.2661694,4.702661694,0,0.364,0,0.021,0,0,0,0,0,0.158,1.582,0,0,2.357,0.051,0,0,0,0.064,0.014,0.081,0,0,0,0,0.007,0,0,0,0,4.699,7.7,0,7.7,0.4,0,0,0,0.4,0,3.4,33.6,0,37,50.1,1.1,1.4,0.3,1.7,1.7,0.1,1.8,"","",1.8,"7/10/2007",37.41662013,-108.4045832,0.653863092,"Puett Reservoir",65.38630923,6.3,2213,14,14080202,18,344,3.81,1656.4,8,303,4.6,0,20.6,6.7,296,8.2,5.7,19,2.2,296,7.8
"NLA06608-0005",1,0.05,"PROB_Lake","Target_Sampled",87.07638265,8707.638265,87.07638265,0,3.947,0.824,0,0,0,0,0.483,0,0,40.606,0,0,10.134,29.223,0,0,0,0.016,0.005,1.177,0,0,0,0,0.655,0,0,0,0,87.07,4.5,0.9,5.4,0,0,0,0,0,0.6,0,46.6,0,46.6,11.6,33.6,0,0,0,1.4,0.8,2.2,"","",NA,"7/18/2007",43.92920926,-114.8403862,0.194876125,"Perkins Lake",19.48761255,6.1,2138,17,17060201,4,85,0.475,420.9,1.45,53,1.21,0,20.1,8.12,40.1,7.51,5.6,19.9,7.8,40.8,8
"NLA06608-0006",1,0.18,"PROB_Lake","Target_Sampled",23.08342257,2308.342257,23.08342257,0,1.185,0,1.214,0.171,0.002,0,0,0,14.86,0.736,0.154,0,0.131,0.004,0,0,0,4.072,0.235,0.284,0,0,0,0,0.031,0,0,0,0,23.079,5.1,0,5.1,5.3,0.7,0,0,6,0,64.4,3.2,0.7,68.3,0.6,0,17.6,1,18.6,1.2,0.1,1.3,"","",3.21,"7/17/2007",41.68314624,-73.1465177,0.561997482,"Morris Reservoir",56.19974819,25.3,198.75,1,1100005,7,184,0.901,291.5,3.16,75,4.08,0,25.3,8.56,77,8.15,24,5.46,1.83,87,6.6
"NLA06608-0007",1,0.05,"PROB_Lake","Target_Sampled",9.127280415,912.7280415,9.127280415,0,0.847,0,0.3,0,0,0,0,0,4.98,0.839,0,0,0.005,0.092,0,0,0,0.734,0.213,0.143,0,0,0,0,0.975,0,0,0,0,9.128,9.3,0,9.3,3.3,0,0,0,3.3,0,54.6,9.2,0,63.8,0.1,1,8,2.3,10.3,1.6,10.7,12.3,"","",3.15,"7/24/2007",45.58064546,-92.04001797,0.254747633,"Spring Lake",25.4747633,19.2,390.86,7,7050007,8,493,1.05,96,6.68,27,2.43,0,26.7,8.17,34.2,7.15,18.5,4.8,0.71,39.4,5.76
"NLA06608-0008",1,0.05,"PROB_Lake","Target_Sampled",13.32280668,1332.280668,13.32280668,0,1.024,0,0.812,0.146,0,0,0.01,0,4.469,0.08,0.066,0,0.024,0.996,0,0,0,2.651,2.922,0.094,0,0,0,0,0.03,0,0,0,0,13.324,7.7,0,7.7,6.1,1.1,0,0,7.2,0.1,33.5,0.6,0.5,34.6,0.2,7.5,19.9,21.9,41.8,0.7,0.2,0.9,"","",0.79,"7/12/2007",41.29211104,-93.59040488,0.487370362,"Lake Ahquabi",48.7370362,5.5,261.56,7,7100008,66,801,8.62,1933.6,7.6,238,30.24,0,27.3,6.6,NA,8.7,4.8,18,0.1,NA,7.4
"NLA06608-0010",1,0.05,"PROB_Lake","Target_Sampled",2.93251514,293.251514,2.93251514,0,0.32,0,1.117,0.453,0.008,0,0,0,0.584,0.005,0.02,0,0,0.05,0,0,0,0.072,0.021,0.281,0,0,0,0,0.005,0,0,0,0,2.936,10.9,0,10.9,38.1,15.4,0.3,0,53.8,0,19.9,0.2,0.7,20.8,0,1.7,2.5,0.7,3.2,9.6,0.2,9.8,"","",4.48,"7/17/2007",42.61823014,-83.50588771,0.300373324,"Bogie Lake",30.03733238,11.8,284.65,4,4090005,10,473,3.05,2089.6,4.94,650,4.38,0,23.8,10,626,8.4,11.8,8.6,0.2,728,7
"NLA06608-0012",1,0.05,"PROB_Lake","Target_Sampled",83.21774471,8321.774471,83.21774471,0,2.208,0,3.582,0.484,0.027,0.018,0.041,0,9.005,2.142,0,0,0,50.857,0,0,0,6.752,8.095,0,0,0,0,0,0,0,0,0,0,83.211,2.7,0,2.7,4.3,0.6,0,0,4.9,0,10.8,2.6,0,13.4,0,61.1,8.1,9.7,17.8,0,0,0,"","",0.31,"6/13/2007",35.99078823,-96.87178731,1.776575126,"Cushing Lake",177.6575126,3.5,255.6,11,11050003,159,1026,50.3,1769.6,8.01,220,4.9,0.1,26.77,5.46,196.2,7.47,3.5,25.93,3.7,203.2,7.21
