SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,BASINAREA_KM2,BASINAREA_HA,BASINAREA_LU_KM2,MISSDATA_KM2_BSN,NLCD11_KM2_BSN,NLCD12_KM2_BSN,NLCD21_KM2_BSN,NLCD22_KM2_BSN,NLCD23_KM2_BSN,NLCD24_KM2_BSN,NLCD31_KM2_BSN,NLCD32_KM2_BSN,NLCD41_KM2_BSN,NLCD42_KM2_BSN,NLCD43_KM2_BSN,NLCD51_KM2_BSN,NLCD52_KM2_BSN,NLCD71_KM2_BSN,NLCD72_KM2_BSN,NLCD73_KM2_BSN,NLCD74_KM2_BSN,NLCD81_KM2_BSN,NLCD82_KM2_BSN,NLCD90_KM2_BSN,NLCD91_KM2_BSN,NLCD92_KM2_BSN,NLCD93_KM2_BSN,NLCD94_KM2_BSN,NLCD95_KM2_BSN,NLCD96_KM2_BSN,NLCD97_KM2_BSN,NLCD98_KM2_BSN,NLCD99_KM2_BSN,LANDUSE_KM2_BSN,PCT_OPENH20_BSN,PCT_ICESNOW_BSN,PCT_WATER_BSN,PCT_DEVOPEN_BSN,PCT_DEVLOW_BSN,PCT_DEVMED_BSN,PCT_DEVHIGH_BSN,PCT_DEVELOPED_BSN,PCT_BARREN_BSN,PCT_DECID_BSN,PCT_CONIF_BSN,PCT_MIXED_BSN,PCT_FOREST_BSN,PCT_SHRUBLAND_BSN,PCT_GRASS_BSN,PCT_PASTURE_BSN,PCT_CROPS_BSN,PCT_AGRIC_BSN,PCT_WDYWET_BSN,PCT_EMHERBWET_BSN,PCT_WETLAND_BSN,FLAG_LU_BASIN,COMMENT_LU_BASIN
NLA06608-0001,1,PROB_Lake,Target_Sampled,3.757720078,375.7720078,3.757720078,0,0.632,0.551,0,0,0,0,0.716,0,0.005,1.504,0.066,0,0.282,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.761,16.8,14.7,31.5,0,0,0,0,0,19.1,0.1,40,1.8,41.9,7.5,0.1,0,0,0,0,0,0,,
NLA06608-0002,1,PROB_Lake,Target_Sampled,2.290436081,229.0436081,2.290436081,0,0,0,0.022,0,0,0,0,0,0,1.372,0,0,0.036,0.102,0,0,0,0.007,0,0.663,0,0,0,0,0.089,0,0,0,0,2.291,0,0,0,1,0,0,0,1,0,0,59.9,0,59.9,1.6,4.5,0.3,0,0.3,28.9,3.9,32.8,,
NLA06608-0003,1,PROB_Lake,Target_Sampled,4.837379808,483.7379808,4.837379808,0,0.07,0,0.391,0.15,0.006,0,0.024,0,0.444,0.05,0.003,0,1.31,0.239,0,0,0,0.56,1.571,0.012,0,0,0,0,0.01,0,0,0,0,4.84,1.4,0,1.4,8.1,3.1,0.1,0,11.3,0.5,9.2,1,0.1,10.3,27.1,4.9,11.6,32.5,44.1,0.2,0.2,0.4,,
NLA06608-0004,1,PROB_Lake,Target_Sampled,4.702661694,470.2661694,4.702661694,0,0.364,0,0.021,0,0,0,0,0,0.158,1.582,0,0,2.357,0.051,0,0,0,0.064,0.014,0.081,0,0,0,0,0.007,0,0,0,0,4.699,7.7,0,7.7,0.4,0,0,0,0.4,0,3.4,33.6,0,37,50.1,1.1,1.4,0.3,1.7,1.7,0.1,1.8,,
NLA06608-0005,1,PROB_Lake,Target_Sampled,87.07638265,8707.638265,87.07638265,0,3.947,0.824,0,0,0,0,0.483,0,0,40.606,0,0,10.134,29.223,0,0,0,0.016,0.005,1.177,0,0,0,0,0.655,0,0,0,0,87.07,4.5,0.9,5.4,0,0,0,0,0,0.6,0,46.6,0,46.6,11.6,33.6,0,0,0,1.4,0.8,2.2,,
NLA06608-0006,1,PROB_Lake,Target_Sampled,23.08342257,2308.342257,23.08342257,0,1.185,0,1.214,0.171,0.002,0,0,0,14.86,0.736,0.154,0,0.131,0.004,0,0,0,4.072,0.235,0.284,0,0,0,0,0.031,0,0,0,0,23.079,5.1,0,5.1,5.3,0.7,0,0,6,0,64.4,3.2,0.7,68.3,0.6,0,17.6,1,18.6,1.2,0.1,1.3,,
NLA06608-0007,1,PROB_Lake,Target_Sampled,9.127280415,912.7280415,9.127280415,0,0.847,0,0.3,0,0,0,0,0,4.98,0.839,0,0,0.005,0.092,0,0,0,0.734,0.213,0.143,0,0,0,0,0.975,0,0,0,0,9.128,9.3,0,9.3,3.3,0,0,0,3.3,0,54.6,9.2,0,63.8,0.1,1,8,2.3,10.3,1.6,10.7,12.3,,
NLA06608-0008,1,PROB_Lake,Target_Sampled,13.32280668,1332.280668,13.32280668,0,1.024,0,0.812,0.146,0,0,0.01,0,4.469,0.08,0.066,0,0.024,0.996,0,0,0,2.651,2.922,0.094,0,0,0,0,0.03,0,0,0,0,13.324,7.7,0,7.7,6.1,1.1,0,0,7.2,0.1,33.5,0.6,0.5,34.6,0.2,7.5,19.9,21.9,41.8,0.7,0.2,0.9,,
NLA06608-0010,1,PROB_Lake,Target_Sampled,2.93251514,293.251514,2.93251514,0,0.32,0,1.117,0.453,0.008,0,0,0,0.584,0.005,0.02,0,0,0.05,0,0,0,0.072,0.021,0.281,0,0,0,0,0.005,0,0,0,0,2.936,10.9,0,10.9,38.1,15.4,0.3,0,53.8,0,19.9,0.2,0.7,20.8,0,1.7,2.5,0.7,3.2,9.6,0.2,9.8,,
NLA06608-0012,1,PROB_Lake,Target_Sampled,83.21774471,8321.774471,83.21774471,0,2.208,0,3.582,0.484,0.027,0.018,0.041,0,9.005,2.142,0,0,0,50.857,0,0,0,6.752,8.095,0,0,0,0,0,0,0,0,0,0,83.211,2.7,0,2.7,4.3,0.6,0,0,4.9,0,10.8,2.6,0,13.4,0,61.1,8.1,9.7,17.8,0,0,0,,
