SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,DISTANCE_BUFR,BUFFERAREA_KM2,BUFFERAREA_HA,MISSDATA_KM2_BUFR,NLCD11_KM2_BUFR,NLCD12_KM2_BUFR,NLCD21_KM2_BUFR,NLCD22_KM2_BUFR,NLCD23_KM2_BUFR,NLCD24_KM2_BUFR,NLCD31_KM2_BUFR,NLCD32_KM2_BUFR,NLCD41_KM2_BUFR,NLCD42_KM2_BUFR,NLCD43_KM2_BUFR,NLCD51_KM2_BUFR,NLCD52_KM2_BUFR,NLCD71_KM2_BUFR,NLCD72_KM2_BUFR,NLCD73_KM2_BUFR,NLCD74_KM2_BUFR,NLCD81_KM2_BUFR,NLCD82_KM2_BUFR,NLCD90_KM2_BUFR,NLCD91_KM2_BUFR,NLCD92_KM2_BUFR,NLCD93_KM2_BUFR,NLCD94_KM2_BUFR,NLCD95_KM2_BUFR,NLCD96_KM2_BUFR,NLCD97_KM2_BUFR,NLCD98_KM2_BUFR,NLCD99_KM2_BUFR,LANDUSE_KM2_BUFR,PCT_OPENH20_BUFR,PCT_ICESNOW_BUFR,PCT_WATER_BUFR,PCT_DEVOPEN_BUFR,PCT_DEVLOW_BUFR,PCT_DEVMED_BUFR,PCT_DEVHIGH_BUFR,PCT_DEVELOPED_BUFR,PCT_BARREN_BUFR,PCT_DECID_BUFR,PCT_CONIF_BUFR,PCT_MIXED_BUFR,PCT_FOREST_BUFR,PCT_SHRUBLAND_BUFR,PCT_GRASS_BUFR,PCT_PASTURE_BUFR,PCT_CROPS_BUFR,PCT_AGRIC_BUFR,PCT_WDYWET_BUFR,PCT_EMHERBWET_BUFR,PCT_WETLAND_BUFR,FLAG_LU_BUFFER,COMMENT_LU_BUFFER
NLA06608-0001,1,PROB_Lake,Target_Sampled,0.001798644,1.244,124.4,0,0.632,0.01,0,0,0,0,0.032,0,0.006,0.429,0.001,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244,50.8,0.8,51.6,0,0,0,0,0,2.6,0.5,34.5,0.1,35.1,10.8,0,0,0,0,0,0,0,,
NLA06608-0002,1,PROB_Lake,Target_Sampled,0.001798644,0.569,56.9,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0.004,0.03,0,0,0,0,0,0.272,0,0,0,0,0.086,0,0,0,0,0.569,0,0,0,0,0,0,0,0,0,0,31.1,0,31.1,0.7,5.3,0,0,0,47.8,15.1,62.9,,
NLA06608-0003,1,PROB_Lake,Target_Sampled,0.001798644,0.388,38.8,0,0.054,0,0.016,0.007,0,0,0,0,0.156,0.055,0.005,0,0.091,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.388,13.9,0,13.9,4.1,1.8,0,0,5.9,0,40.2,14.2,1.3,55.7,23.5,0,0,0,0,0,1,1,,
NLA06608-0004,1,PROB_Lake,Target_Sampled,0.001798644,1.692,169.2,0,0.371,0,0,0,0,0,0,0,0.005,0.321,0,0,0.896,0.014,0,0,0,0.038,0,0.041,0,0,0,0,0.006,0,0,0,0,1.692,21.9,0,21.9,0,0,0,0,0,0,0.3,19,0,19.3,53,0.8,2.2,0,2.2,2.4,0.4,2.8,,
NLA06608-0005,1,PROB_Lake,Target_Sampled,0.001798644,0.598,59.8,0,0.194,0,0,0,0,0,0,0,0,0.214,0,0,0.072,0.043,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0.598,32.4,0,32.4,0,0,0,0,0,0,0,35.8,0,35.8,12,7.2,0,0,0,12.5,0,12.5,,
NLA06608-0006,1,PROB_Lake,Target_Sampled,0.001798644,1.59,159,0,0.591,0,0.04,0.006,0,0,0,0,0.601,0.25,0.008,0,0.013,0,0,0,0,0.081,0,0,0,0,0,0,0,0,0,0,0,1.59,37.2,0,37.2,2.5,0.4,0,0,2.9,0,37.8,15.7,0.5,54,0.8,0,5.1,0,5.1,0,0,0,,
NLA06608-0007,1,PROB_Lake,Target_Sampled,0.001798644,0.815,81.5,0,0.206,0,0.046,0,0,0,0,0,0.201,0.229,0,0,0,0.005,0,0,0,0.097,0.006,0,0,0,0,0,0.025,0,0,0,0,0.815,25.3,0,25.3,5.6,0,0,0,5.6,0,24.7,28.1,0,52.8,0,0.6,11.9,0.7,12.6,0,3.1,3.1,,
NLA06608-0008,1,PROB_Lake,Target_Sampled,0.001798644,1.525,152.5,0,0.521,0,0.084,0.011,0,0,0,0,0.767,0.002,0,0,0,0.038,0,0,0,0.009,0.02,0.068,0,0,0,0,0.005,0,0,0,0,1.525,34.2,0,34.2,5.5,0.7,0,0,6.2,0,50.3,0.1,0,50.4,0,2.5,0.6,1.3,1.9,4.5,0.3,4.8,,
NLA06608-0010,1,PROB_Lake,Target_Sampled,0.001798644,0.786,78.6,0,0.295,0,0.094,0.144,0,0,0,0,0.154,0,0.011,0,0,0,0,0,0,0.001,0,0.082,0,0,0,0,0.005,0,0,0,0,0.786,37.5,0,37.5,12,18.3,0,0,30.3,0,19.6,0,1.4,21,0,0,0.1,0,0.1,10.4,0.6,11,,
NLA06608-0012,1,PROB_Lake,Target_Sampled,0.001798644,4.154,415.4,0,1.799,0,0.265,0.033,0,0.018,0,0,0.844,0.181,0,0,0,0.907,0,0,0,0.102,0.005,0,0,0,0,0,0,0,0,0,0,4.154,43.3,0,43.3,6.4,0.8,0,0.4,7.6,0,20.3,4.4,0,24.7,0,21.8,2.5,0.1,2.6,0,0,0,,
NLA06608-0013,1,PROB_Lake,Target_Sampled,0.001798644,1.869,186.9,0,0.171,0,0.311,0.348,0.05,0.011,0.002,0,0.116,0.194,0.005,0,0,0,0,0,0,0.004,0.025,0.255,0,0,0,0,0.377,0,0,0,0,1.869,9.1,0,9.1,16.6,18.6,2.7,0.6,38.5,0.1,6.2,10.4,0.3,16.9,0,0,0.2,1.3,1.5,13.6,20.2,33.8,,
NLA06608-0014,1,PROB_Lake,Target_Sampled,0.001798644,0.46,46,0,0.215,0,0.029,0,0,0,0,0,0,0,0,0,0,0.077,0,0,0,0,0.027,0.013,0,0,0,0,0.099,0,0,0,0,0.46,46.7,0,46.7,6.3,0,0,0,6.3,0,0,0,0,0,0,16.7,0,5.9,5.9,2.8,21.5,24.3,,
NLA06608-0015,1,PROB_Lake,Target_Sampled,0.001798644,10.456,1045.6,0,4.544,0,0.232,0.424,0.067,0,0.01,0,0,0,0,0,3.816,0,0,0,0,0.025,1.288,0.043,0,0,0,0,0.007,0,0,0,0,10.456,43.5,0,43.5,2.2,4.1,0.6,0,6.9,0.1,0,0,0,0,36.5,0,0.2,12.3,12.5,0.4,0.1,0.5,,
NLA06608-0016,1,PROB_Lake,Target_Sampled,0.001798644,9.122,912.2,0,6.82,0,0.742,0.22,0.014,0,0,0,0.044,0,0,0,0,0.786,0,0,0,0,0.015,0.481,0,0,0,0,0,0,0,0,0,9.122,74.8,0,74.8,8.1,2.4,0.2,0,10.7,0,0.5,0,0,0.5,0,8.6,0,0.2,0.2,5.3,0,5.3,,
NLA06608-0019,1,PROB_Lake,Target_Sampled,0.001798644,2.451,245.1,0,1.079,0,0.049,0.001,0,0,0,0,0,0,0,0,0,1.238,0,0,0,0.047,0,0,0,0,0,0,0.037,0,0,0,0,2.451,44,0,44,2,0,0,0,2,0,0,0,0,0,0,50.5,1.9,0,1.9,0,1.5,1.5,,
NLA06608-0020,1,PROB_Lake,Target_Sampled,0.001798644,8.806,880.6,0,2.69,0,0.113,0.023,0,0,0,0,4.999,0,0,0,0,0.217,0,0,0,0.127,0.632,0.005,0,0,0,0,0,0,0,0,0,8.806,30.5,0,30.5,1.3,0.3,0,0,1.6,0,56.8,0,0,56.8,0,2.5,1.4,7.2,8.6,0.1,0,0.1,,
NLA06608-0021,1,PROB_Lake,Target_Sampled,0.001798644,51.263,5126.3,0,42.634,0,2.079,0.796,0.152,0.039,0.005,0,1.561,0.502,1.401,0,0.865,0.211,0,0,0,0.433,0.045,0.319,0,0,0,0,0.221,0,0,0,0,51.263,83.2,0,83.2,4.1,1.6,0.3,0.1,6.1,0,3,1,2.7,6.7,1.7,0.4,0.8,0.1,0.9,0.6,0.4,1,,
NLA06608-0023,1,PROB_Lake,Target_Sampled,0.001798644,0.352,35.2,0,0.077,0,0.025,0.046,0,0,0.006,0,0.052,0,0,0,0.086,0.036,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0.352,21.9,0,21.9,7.1,13.1,0,0,20.2,1.7,14.8,0,0,14.8,24.4,10.2,0,0,0,6.8,0,6.8,,
NLA06608-0024,1,PROB_Lake,Target_Sampled,0.001798644,131.336,13133.6,0,91.183,0,3.969,4.876,0.619,0.104,0,0,3.101,8.762,3.12,0,3.685,0,0,0,0,3.026,0.052,8.645,0,0,0,0,0.194,0,0,0,0,131.336,69.4,0,69.4,3,3.7,0.5,0.1,7.3,0,2.4,6.7,2.4,11.5,2.8,0,2.3,0,2.3,6.6,0.1,6.7,,
NLA06608-0025,1,PROB_Lake,Target_Sampled,0.001798644,0.58,58,0,0.121,0,0.031,0,0,0,0,0,0.302,0.084,0.013,0,0,0.001,0,0,0,0.019,0,0.009,0,0,0,0,0,0,0,0,0,0.58,20.9,0,20.9,5.3,0,0,0,5.3,0,52.1,14.5,2.2,68.8,0,0.2,3.3,0,3.3,1.6,0,1.6,,
NLA06608-0029,1,PROB_Lake,Target_Sampled,0.001798644,2.714,271.4,0,0.528,0,0.242,0.289,0.015,0.001,0.009,0,0.504,0.042,0.035,0,0,0,0,0,0,0.308,0.319,0.25,0,0,0,0,0.172,0,0,0,0,2.714,19.5,0,19.5,8.9,10.6,0.6,0,20.1,0.3,18.6,1.5,1.3,21.4,0,0,11.3,11.8,23.1,9.2,6.3,15.5,,
NLA06608-0031,1,PROB_Lake,Target_Sampled,0.001798644,1.266,126.6,0,0.202,0,0.093,0,0,0,0,0,0.716,0.056,0,0,0,0,0,0,0,0.165,0.024,0.01,0,0,0,0,0,0,0,0,0,1.266,16,0,16,7.3,0,0,0,7.3,0,56.6,4.4,0,61,0,0,13,1.9,14.9,0.8,0,0.8,,
NLA06608-0033,1,PROB_Lake,Target_Sampled,0.001798644,0.519,51.9,0,0,0,0.019,0.007,0,0,0,0,0,0.176,0,0,0.017,0,0,0,0,0,0,0.239,0,0,0,0,0.061,0,0,0,0,0.519,0,0,0,3.7,1.3,0,0,5,0,0,33.9,0,33.9,3.3,0,0,0,0,46.1,11.8,57.9,,
NLA06608-0036,1,PROB_Lake,Target_Sampled,0.001798644,0.512,51.2,0,0.067,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512,13.1,0,13.1,0,0,0,0,0,0,86.9,0,0,86.9,0,0,0,0,0,0,0,0,,
NLA06608-0037,1,PROB_Lake,Target_Sampled,0.001798644,4.752,475.2,0,2.686,0,0.554,0.108,0.013,0,0,0,0.754,0.305,0.022,0,0.015,0.015,0,0,0,0.258,0,0.022,0,0,0,0,0,0,0,0,0,4.752,56.5,0,56.5,11.7,2.3,0.3,0,14.3,0,15.9,6.4,0.5,22.8,0.3,0.3,5.4,0,5.4,0.5,0,0.5,,
NLA06608-0038,1,PROB_Lake,Target_Sampled,0.001798644,3.5,350,0,2.528,0,0.108,0.05,0.07,0.049,0.036,0,0.09,0.144,0.122,0,0.137,0.032,0,0,0,0,0.057,0.072,0,0,0,0,0.005,0,0,0,0,3.5,72.2,0,72.2,3.1,1.4,2,1.4,7.9,1,2.6,4.1,3.5,10.2,3.9,0.9,0,1.6,1.6,2.1,0.1,2.2,,
NLA06608-0041,1,PROB_Lake,Target_Sampled,0.001798644,25.553,2555.3,0,10.256,0,0.72,0.197,0.049,0,0.143,0,11.701,0.941,0.549,0,0,0.626,0,0,0,0.105,0.043,0.033,0,0,0,0,0.19,0,0,0,0,25.553,40.1,0,40.1,2.8,0.8,0.2,0,3.8,0.6,45.8,3.7,2.1,51.6,0,2.4,0.4,0.2,0.6,0.1,0.7,0.8,,
NLA06608-0042,1,PROB_Lake,Target_Sampled,0.001798644,1.613,161.3,0,0.364,0,0,0,0,0,0.239,0,0.013,0.633,0,0,0.089,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613,22.6,0,22.6,0,0,0,0,0,14.8,0.8,39.2,0,40,5.5,17,0,0,0,0,0,0,,
NLA06608-0043,1,PROB_Lake,Target_Sampled,0.001798644,0.798,79.8,0,0.224,0,0.028,0.074,0,0,0,0,0.021,0,0,0,0.023,0.014,0,0,0,0.1,0.045,0.251,0,0,0,0,0.018,0,0,0,0,0.798,28.1,0,28.1,3.5,9.3,0,0,12.8,0,2.6,0,0,2.6,2.9,1.8,12.5,5.6,18.1,31.5,2.3,33.8,,
NLA06608-0044,1,PROB_Lake,Target_Sampled,0.001798644,4.508,450.8,0,2.746,0,0,0,0,0,0,0,0,0,0,0,0,1.648,0,0,0,0,0,0.059,0,0,0,0,0.055,0,0,0,0,4.508,60.9,0,60.9,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,1.3,1.2,2.5,,
NLA06608-0045,1,PROB_Lake,Target_Sampled,0.001798644,1.074,107.4,0,0.133,0,0.015,0.005,0,0,0,0,0.462,0.165,0.026,0,0.014,0.011,0,0,0,0.06,0.013,0.125,0,0,0,0,0.045,0,0,0,0,1.074,12.4,0,12.4,1.4,0.5,0,0,1.9,0,43,15.4,2.4,60.8,1.3,1,5.6,1.2,6.8,11.6,4.2,15.8,,
NLA06608-0048,1,PROB_Lake,Target_Sampled,0.001798644,0.342,34.2,0,0.049,0,0.014,0,0,0,0,0,0.047,0,0,0,0,0,0,0,0,0,0.171,0.051,0,0,0,0,0.01,0,0,0,0,0.342,14.3,0,14.3,4.1,0,0,0,4.1,0,13.7,0,0,13.7,0,0,0,50,50,14.9,2.9,17.8,,
NLA06608-0049,1,PROB_Lake,Target_Sampled,0.001798644,0.527,52.7,0,0.085,0,0,0,0,0,0,0,0,0.412,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527,16.1,0,16.1,0,0,0,0,0,0,0,78.2,0,78.2,1.9,3.8,0,0,0,0,0,0,,
NLA06608-0050,1,PROB_Lake,Target_Sampled,0.001798644,0.456,45.6,0,0.102,0,0,0,0,0,0,0,0.212,0.012,0.092,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0.456,22.4,0,22.4,0,0,0,0,0,0,46.5,2.6,20.2,69.3,0,0,0,0,0,8.3,0,8.3,,
NLA06608-0053,1,PROB_Lake,Target_Sampled,0.001798644,8.481,848.1,0,5.021,0,0.077,0.054,0.07,0.042,0,0,0.568,0.917,0.023,0,0.025,0,0,0,0,0.64,0.193,0.433,0,0,0,0,0.418,0,0,0,0,8.481,59.2,0,59.2,0.9,0.6,0.8,0.5,2.8,0,6.7,10.8,0.3,17.8,0.3,0,7.5,2.3,9.8,5.1,4.9,10,,
NLA06608-0057,1,PROB_Lake,Target_Sampled,0.001798644,2.253,225.3,0,0.419,0,0.208,0.063,0.011,0,0,0,0.788,0.453,0.031,0,0.004,0.049,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,2.253,18.6,0,18.6,9.2,2.8,0.5,0,12.5,0,35,20.1,1.4,56.5,0.2,2.2,10.1,0,10.1,0,0,0,,
