SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_PHAB,AREA_HA,CLASSP,EcoP6,RDis_IX,RVeg_OE,LitCvr_OE,LitRipCvr_OE,RDIS_COND,RVEG_COND,LITCVR_COND,LITRIPCVR_COND,UID
NLA06608-0001,1,PROB_Lake,Target_Sampled,Target,48.9790286,-114.0218399,MT,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_MT_(50,100]",0.02820818,35.10944309,7.594532,MT,NO,WMTNS,WMT,41,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,10,10010001,,,YES,YES,66.2930555,R,WEST,0,1.1058,0.6562,0.9946,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0001+2007+1
NLA06608-0002,1,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES,YES,14.43799807,S,CPL,0.7436,0.8249,1.4194,1.0871,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0002+2007+1
NLA06608-0002,2,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES,YES,14.43799807,S,CPL,0.5333,0.2833,1.8325,1.0325,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0002+2007+2
NLA06608-0003,1,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES,YES,5.70173656,T,CPL,0.5619,0.5049,1.1522,0.8043,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0003+2007+1
NLA06608-0003,2,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES,YES,5.70173656,T,CPL,0.6252,0.1207,0.4532,0.2794,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,3:MOST DISTURBED,3:MOST DISTURBED,NLA06608-0003+2007+2
NLA06608-0004,1,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES,YES,65.38630923,S,WEST,0.5149,0.4301,1.6399,0.7196,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0004+2007+1
NLA06608-0004,2,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES,YES,65.38630923,S,WEST,0.6,0.4254,0.3472,0.3824,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,2:INTERMEDIATE DISTURBANCE,3:MOST DISTURBED,NLA06608-0004+2007+2
NLA06608-0005,1,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES,YES,19.48761255,R,WEST,0.2643,1.5152,2.0305,1.5777,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0005+2007+1
NLA06608-0005,2,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES,YES,19.48761255,R,WEST,0.3797,1.2363,1.4138,1.2315,2:INTERMEDIATE DISTURBANCE,1:LEAST DISTURBED,1:LEAST DISTURBED,1:LEAST DISTURBED,NLA06608-0005+2007+2
NLA06608-0006,1,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES,YES,56.19974819,R,NAP,0.1333,0.5534,1.2903,0.7878,1:LEAST DISTURBED,3:MOST DISTURBED,1:LEAST DISTURBED,2:INTERMEDIATE DISTURBANCE,NLA06608-0006+2007+1
