SITE_ID,YEAR,VISIT_NO,UID,ST,SITE_TYPE,LAKE_SAMP,SAMPLED_PHAB,DATEPHAB,AREA_HA,WSA_ECO3,WSA_ECO9,CLASSP,EcoP6,ssiBedBld,ssiNATBedBld,rviLowWood,RVegQ_7,RVegQ_8,L_RVegQ_8,LRCVQ_7A,LRCVQ_7B,LRCVQ_7C,LRCVQ_7D,LRCVQ_8D,L_LRCVQ_8D,ElevXLat,ElevDLat,ElevXLon,XER,XER_X_Elev,WMT,RDisIXAgAdj5,RDisIXAgAdj4,RDisIXAgAdj3,RDisIXAgAdj2,RDis_InEx,RDis_IX,RvegQ_Var,RVegQ,LogRVegQ,Pre3A_L_RVegQ_8,Adj3A_L_RVegQ_8,LOE_RVQ_west,LitCvrQ_Var,LitCvrQ,LogLitCvrQ,Pre3A_L_LitCvrQ,Adj3A_L_LitCvrQ,LOE_LitCv_west,LitRipCVQ_Var,LitRipCVQ,LogLitRipCvQ,Pre3A_L_LRCvQ_8D,Adj3A_L_LRCvQ_8D,LOE_LitRipCv_west,RVeg_OE,LitCvr_OE,LitRipCvr_OE
NLA06608-0001,2007,1,NLA06608-0001+2007+1,MT,PROB_Lake,Target_Sampled,YES,7/31/2007,66.2930555,WMTNS,WMT,R,WEST,0.161411508,0.161411508,1.198468013,0.342419432,0.307575099,-0.498153557,0.268431938,0.219820827,0.203617124,0.192814654,0.175392488,-0.731907867,78654.24334,32.7810519,-183082.7654,0,0,1,0,0,0,0,0,0,RVegQ_8,0.307575099,-0.498153557,-0.541820162,0.043666605,0.043666605,LITCVR_D,0.043209877,-1.274007749,-1.09101829,-0.182989459,-0.182989459,LRCVQ_8D,0.175392488,-0.731907867,-0.729554856,-0.002353011,-0.002353011,1.105774587,0.656161193,0.994596642
NLA06608-0002,2007,1,NLA06608-0002+2007+1,SC,PROB_Lake,Target_Sampled,YES,6/14/2007,14.43799807,PLNLOW,CPL,S,CPL,0,0,0.792839382,0.240236778,0.26960562,-0.553454103,0.545118389,0.332618389,0.384172294,0.246394517,0.261078938,-0.566904225,161.874979,0.148324344,-391.919934,0,0,0,0.743617021,0.72654321,0.702941176,0.668181818,0.611904762,0.743617021,RVegQ_2,0.23921124,-0.603432373,,,,LITCVR_B,0.425,-0.361510743,,,,LRCVQ_2B,0.33210562,-0.465839791,,,,0.824866346,1.419363457,1.087088773
NLA06608-0002,2007,1,NLA06608-0002+2007+1,SC,PROB_Lake,Target_Sampled,YES,6/14/2007,14.43799807,PLNLOW,CPL,S,CPL,0,0,0.792839382,0.240236778,0.26960562,-0.553454103,0.545118389,0.332618389,0.384172294,0.246394517,0.261078938,-0.566904225,161.874979,0.148324344,-391.919934,0,0,0,0.743617021,0.72654321,0.702941176,0.668181818,0.611904762,0.743617021,RVegQ_2,0.23921124,-0.603432373,,,,LITCVR_B,0.425,-0.361510743,,,,LRCVQ_2B,0.33210562,-0.465839791,,,,0.824866346,1.419363457,1.087088773
NLA06608-0002,2007,2,NLA06608-0002+2007+2,SC,PROB_Lake,Target_Sampled,YES,7/23/2007,14.43799807,PLNLOW,CPL,S,CPL,0,0,0.309066066,0.104971257,0.091083333,-0.995320445,0.592485628,0.326833455,0.331643805,0.173866027,0.166922066,-0.752217999,161.8748369,0.148324474,-391.9097175,0,0,0,0.533333333,0.511320755,0.482608696,0.443589744,0.3875,0.533333333,RVegQ_2,0.082166667,-1.035426119,,,,LITCVR_B,0.548695652,-0.252824708,,,,LRCVQ_2B,0.315431159,-0.487540867,,,,0.283333333,1.832467195,1.032507887
NLA06608-0002,2007,2,NLA06608-0002+2007+2,SC,PROB_Lake,Target_Sampled,YES,7/23/2007,14.43799807,PLNLOW,CPL,S,CPL,0,0,0.309066066,0.104971257,0.091083333,-0.995320445,0.592485628,0.326833455,0.331643805,0.173866027,0.166922066,-0.752217999,161.8748369,0.148324474,-391.9097175,0,0,0,0.533333333,0.511320755,0.482608696,0.443589744,0.3875,0.533333333,RVegQ_2,0.082166667,-1.035426119,,,,LITCVR_B,0.548695652,-0.252824708,,,,LRCVQ_2B,0.315431159,-0.487540867,,,,0.283333333,1.832467195,1.032507887
NLA06608-0003,2007,1,NLA06608-0003+2007+1,TX,PROB_Lake,Target_Sampled,YES,8/29/2007,5.701736559,PLNLOW,CPL,T,CPL,0,0,0.312860082,0.166809497,0.123210451,-0.875461701,0.428404749,0.255904749,0.227832691,0.157832691,0.136033168,-0.835548492,493.636,0.627506908,-1722.340893,0,0,0,0.561904762,0.561904762,0.561904762,0.561904762,0.561904762,0.561904762,RVegQ_2,0.146420902,-0.805705214,,,,LITCVR_B,0.345,-0.449771647,,,,LRCVQ_2B,0.245710451,-0.592251522,,,,0.504899663,1.152189159,0.804289529
NLA06608-0003,2007,1,NLA06608-0003+2007+1,TX,PROB_Lake,Target_Sampled,YES,8/29/2007,5.701736559,PLNLOW,CPL,T,CPL,0,0,0.312860082,0.166809497,0.123210451,-0.875461701,0.428404749,0.255904749,0.227832691,0.157832691,0.136033168,-0.835548492,493.636,0.627506908,-1722.340893,0,0,0,0.561904762,0.561904762,0.561904762,0.561904762,0.561904762,0.561904762,RVegQ_2,0.146420902,-0.805705214,,,,LITCVR_B,0.345,-0.449771647,,,,LRCVQ_2B,0.245710451,-0.592251522,,,,0.504899663,1.152189159,0.804289529
NLA06608-0003,2007,2,NLA06608-0003+2007+2,TX,PROB_Lake,Target_Sampled,YES,9/6/2007,5.701736559,PLNLOW,CPL,T,CPL,0,0,0.1725,0.049285714,0.2675,-0.556737013,0.160337302,0.092490079,0.084450796,0.054651414,0.163758556,-0.7600538,493.636,0.627506908,-1722.321339,0,0,0,0.62517337,0.62517337,0.62517337,0.62517337,0.62517337,0.62517337,RVegQ_2,0.035,-1.346787486,,,,LITCVR_B,0.135694444,-0.836557008,,,,LRCVQ_2B,0.085347222,-1.020691955,,,,0.120689655,0.453175849,0.279368976
NLA06608-0003,2007,2,NLA06608-0003+2007+2,TX,PROB_Lake,Target_Sampled,YES,9/6/2007,5.701736559,PLNLOW,CPL,T,CPL,0,0,0.1725,0.049285714,0.2675,-0.556737013,0.160337302,0.092490079,0.084450796,0.054651414,0.163758556,-0.7600538,493.636,0.627506908,-1722.321339,0,0,0,0.62517337,0.62517337,0.62517337,0.62517337,0.62517337,0.62517337,RVegQ_2,0.035,-1.346787486,,,,LITCVR_B,0.135694444,-0.836557008,,,,LRCVQ_2B,0.085347222,-1.020691955,,,,0.120689655,0.453175849,0.279368976
NLA06608-0004,2007,1,NLA06608-0004+2007+1,CO,PROB_Lake,Target_Sampled,YES,7/10/2007,65.38630923,WMTNS,WMT,S,WEST,0.062162162,0,0.12728836,0.039070805,0.073851351,-1.076489934,0.163285403,0.091410403,0.11915724,0.074573907,0.09196418,-0.991552371,82805.65779,59.14292732,-239908.6965,0,0,1,0.514864865,0.498484848,0.477586207,0.45,0.411904762,0.514864865,RVegQ_8,0.073851351,-1.076489934,-0.710016342,-0.366473592,-0.366473592,LITCVR_D,0.110077008,-0.920540143,-1.135349,0.214808857,0.214808857,LRCVQ_8D,0.09196418,-0.991552371,-0.848626011,-0.14292636,-0.14292636,0.430057383,1.63986787,0.71957098
