SITE_ID,YEAR,VISIT_NO,UID,ST,DATEPHAB,SAMPLED_PHAB,sifpIsland,sixDepth,sivDepth,sinDepth,L_sixDepth,L_sivDepth,CVLitDepth,lzoFilm,lzfpFilm,lziFilmVariety,bsfpBedrock,bsfpBoulders,bsfpCobble,bsfpGravel,bsfpSand,bsfpSilt,bsfpOrganic,bsfpWood,bsfcBedrock,bsfcBoulders,bsfcCobble,bsfcGravel,bsfcSand,bsfcSilt,bsfcOrganic,bsfcWood,bsiStaVariety,bsiSiteVariety,bsiStStaVariety,bsvBedrock,bsvBoulders,bsvCobble,bsvGravel,bsvSand,bsvSilt,bsvOrganic,bsvWood,bsnBedrock,bsnBoulders,bsnCobble,bsnGravel,bsnSand,bsnSilt,bsnOrganic,bsnWood,bsxLdia,bsvLdia,bs16Ldia,bs25Ldia,bs50Ldia,bs75Ldia,bs84Ldia,bsopClass,bsofClass,bsfBlack,bsfBrown,bsfGray,bsfRed,bsfOtherColor,bsoColor,bsnColor,bsfNoneOdor,bsfAnoxic,bsfChemical,bsfH2S,bsfOil,bsfOtherOdor,bsoOdor,bsnOdor,amfpEmergent,amfpFloating,amfpSubmergent,amfpAll,amfcEmergent,amfcFloating,amfcSubmergent,amfcAll,amfcFltEmg,amvEmergent,amvFloating,amvSubmergent,amvAll,amiqAll,amidAll,amnEmergent,amnFloating,amnSubmergent,amnAll,amiTotal,fcfpAquatic,fcfpBoulders,fcfpBrush,fcfpLedges,fcfpLivetrees,fcfpOverhang,fcfpSnag,fcfpStructures,fcfcAquatic,fcfcBoulders,fcfcBrush,fcfcLedges,fcfcLiveTrees,fcfcOverhang,fcfcSnag,fcfcStructures,fcfpAll,fciAll,fciBig,fciNatural,fciRipVeg,SomeNatCvr,fcvAquatic,fcvBoulders,fcvBrush,fcvLedges,fcvLivetrees,fcvOverhang,fcvSnag,fcvStructures,fcnAquatic,fcnBoulders,fcnBrush,fcnLedges,fcnLiveTrees,fcnOverhang,fcnSnag,fcnStructures,fcnAll,rvfpCanBroadleaf,rvfpCanConiferous,rvfpCanDeciduous,rvfpCanMixed,rvfpCanNone,rvfpUndBroadleaf,rvfpUndConiferous,rvfpUndDeciduous,rvfpUndMixed,rvfpUndNone,rvnCanopy,rvnUnderstory,rvfpCanBig,rvfpCanSmall,rvfpUndNonw,rvfpUndWoody,rvfpGndBare,rvfpGndInundated,rvfpGndNonw,rvfpGndWoody,rvfcCanBig,rvfcCanSmall,rvfcUndNonw,rvfcUndWoody,rvfcGndBare,rvfcGndInundated,rvfcGndNonw,rvfcGndWoody,rvvCanBig,rvvCanSmall,rvvUndNonw,rvvUndWoody,rvvGndBare,rvvGndInundated,rvvGndNonw,rvvGndWoody,rvnCanBig,rvnCanSmall,rvnUndNonw,rvnUndWoody,rvnGndBare,rvnGndInundated,rvnGndNonw,rvnGndWoody,rviCanopy,rviUnderstory,rviGround,rviWoody,rviTallWood,rviHerbs,rviCanUnd,rviTotalVeg,FLAG_PHABMET,COMMENT_PHABMET
NLA06608-0001,2007,1,NLA06608-0001+2007+1,MT,7/31/2007,YES,0,3.033333333,4.546702102,9,0.496006599,0.667144831,1.498912781,N,0,0,0.222222222,1,1,0.888888889,0.555555556,0.111111111,0,0.222222222,0.104765605,0.080799611,0.502165495,0.2151023,0.080998424,0.005050505,0,0.01111806,4,7,1.75,0.297631235,0.055820699,0.343131477,0.261690104,0.113139723,0.015151515,0,0.022070578,9,9,9,9,9,9,9,9,0.314365679,0.126530045,0.20119784,0.228166126,0.319159604,0.348485122,0.348485122,"Boulders, Cobble",Cobble,0,0.777777778,0.222222222,0,0,BR,9,1,0,0,0,0,0,N,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0.333333333,0.222222222,0.222222222,0,0.333333333,0,0,0,0.016666667,0.011111111,0.069444444,0,0.097222222,0,0,0.555555556,0.194444444,0.183333333,0.194444444,0.011111111,0.194444444,0,0.025,0.022047928,0.190303121,0,0.197026507,0,0,9,9,9,9,9,9,9,9,9,0,0.777777778,0,0,0.222222222,0,0,0.333333333,0.666666667,0,9,9,0.555555556,0.777777778,1,1,0.111111111,0,1,1,0.05,0.230555556,0.161111111,0.536111111,0.037037037,0,0.300606061,0.662356902,0.079056942,0.168531237,0.105409255,0.189617671,0.111111111,0,0.149141098,0.193173546,9,9,9,9,9,9,9,9,0.280555556,0.697222222,0.672222222,1.283333333,0.816666667,0.366666667,0.977777778,1.65,,
NLA06608-0002,2007,1,NLA06608-0002+2007+1,SC,6/14/2007,YES,0,0.91,0.799235746,10,0.004321374,-0.046126438,0.87828104,N,0,0,0,0,0,0,0,1,1,0.111111111,0,0,0,0,0,0.271549172,0.723322623,0.005698006,2.1,3,1.428571429,0,0,0,0,0,0.357323168,0.354164742,0.017094017,10,10,10,10,10,10,10,9,-0.351820729,0,-0.351820729,-0.351820729,-0.351820729,-0.351820729,-0.351820729,"Silt, Organic",Organic,1,0,0,0,0,BL,10,1,0,0,0,0,0,N,10,1,1,0,1,0.4775,0.635,0,0.815,1.1125,0.156989915,0.126491106,0,0.126491106,0,0.3,10,10,10,10,1.1125,1,0,0.2,0,0,0.1,0,0,0.815,0,0.03,0,0,0.005,0,0,1,0.85,0.005,0.85,0.03,0.035,0.126491106,0,0.078881064,0,0,0.015811388,0,0,10,10,10,10,10,10,10,10,10,0,0.2,0.2,0.4,0.2,0,0,0.5,0.5,0,10,10,0.6,0.8,1,1,0,0.2,1,1,0.13,0.205,0.39,0.44,0,0.027422481,0.619738137,0.352839382,0.127366488,0.220100987,0.218962199,0.238397427,0,0.073257138,0.285787659,0.25637922,10,10,10,10,10,10,10,10,0.335,0.86,0.9175,1.1275,0.79,0.955,1.195,2.0825,,
NLA06608-0002,2007,1,NLA06608-0002+2007+1,SC,6/14/2007,YES,0,0.91,0.799235746,10,0.004321374,-0.046126438,0.87828104,N,0,0,0,0,0,0,0,1,1,0.111111111,0,0,0,0,0,0.271549172,0.723322623,0.005698006,2.1,3,1.428571429,0,0,0,0,0,0.357323168,0.354164742,0.017094017,10,10,10,10,10,10,10,9,-0.351820729,0,-0.351820729,-0.351820729,-0.351820729,-0.351820729,-0.351820729,"Silt, Organic",Organic,1,0,0,0,0,BL,10,1,0,0,0,0,0,N,10,1,1,0,1,0.4775,0.635,0,0.815,1.1125,0.156989915,0.126491106,0,0.126491106,0,0.3,10,10,10,10,1.1125,1,0,0.2,0,0,0.1,0,0,0.815,0,0.03,0,0,0.005,0,0,1,0.85,0.005,0.85,0.03,0.035,0.126491106,0,0.078881064,0,0,0.015811388,0,0,10,10,10,10,10,10,10,10,10,0,0.2,0.2,0.4,0.2,0,0,0.5,0.5,0,10,10,0.6,0.8,1,1,0,0.2,1,1,0.13,0.205,0.39,0.44,0,0.027422481,0.619738137,0.352839382,0.127366488,0.220100987,0.218962199,0.238397427,0,0.073257138,0.285787659,0.25637922,10,10,10,10,10,10,10,10,0.335,0.86,0.9175,1.1275,0.79,0.955,1.195,2.0825,,
NLA06608-0002,2007,2,NLA06608-0002+2007+2,SC,7/23/2007,YES,0,1.28,1.393476867,10,0.139879086,0.1741985,1.088653802,N,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.043843844,0.956156156,0,1.5,2,1.333333333,0,0,0,0,0,0.06818867,0.06818867,0,10,10,10,10,10,10,10,10,-0.175910365,0.185425805,-0.351820729,-0.351820729,-0.175910365,0,0,Organic,Organic,0,1,0,0,0,BR,10,1,0,0,0,0,0,N,10,1,0,0.3,1,0.875,0,0.055,0.875,0.875,0,0,0.103949774,0,0,0,10,10,10,10,0.93,1,0,0.4,0,0.2,0.5,0.1,0,0.875,0,0.0925,0,0.01,0.0975,0.005,0,1,1.08,0.0975,1.08,0.1075,0.2,0,0,0.186357631,0,0.021081851,0.184259027,0.015811388,0,10,10,10,10,10,10,10,10,10,0,0.1,0.2,0,0.7,0,0,0.8,0.2,0,10,10,0.2,0.3,1,1,0,0.1,1,1,0.01,0.0975,0.472777778,0.107222222,0,0.033333333,0.764822823,0.201843844,0.021081851,0.273975364,0.300878344,0.092446181,0,0.105409255,0.232524612,0.182254277,10,10,10,10,10,10,10,10,0.1075,0.5925,0.71,0.3275,0.2175,1.0575,0.7,1.385,,
NLA06608-0002,2007,2,NLA06608-0002+2007+2,SC,7/23/2007,YES,0,1.28,1.393476867,10,0.139879086,0.1741985,1.088653802,N,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.043843844,0.956156156,0,1.5,2,1.333333333,0,0,0,0,0,0.06818867,0.06818867,0,10,10,10,10,10,10,10,10,-0.175910365,0.185425805,-0.351820729,-0.351820729,-0.175910365,0,0,Organic,Organic,0,1,0,0,0,BR,10,1,0,0,0,0,0,N,10,1,0,0.3,1,0.875,0,0.055,0.875,0.875,0,0,0.103949774,0,0,0,10,10,10,10,0.93,1,0,0.4,0,0.2,0.5,0.1,0,0.875,0,0.0925,0,0.01,0.0975,0.005,0,1,1.08,0.0975,1.08,0.1075,0.2,0,0,0.186357631,0,0.021081851,0.184259027,0.015811388,0,10,10,10,10,10,10,10,10,10,0,0.1,0.2,0,0.7,0,0,0.8,0.2,0,10,10,0.2,0.3,1,1,0,0.1,1,1,0.01,0.0975,0.472777778,0.107222222,0,0.033333333,0.764822823,0.201843844,0.021081851,0.273975364,0.300878344,0.092446181,0,0.105409255,0.232524612,0.182254277,10,10,10,10,10,10,10,10,0.1075,0.5925,0.71,0.3275,0.2175,1.0575,0.7,1.385,,
NLA06608-0003,2007,1,NLA06608-0003+2007+1,TX,8/29/2007,YES,0,1.19,0.513051871,10,0.11058971,-0.212502778,0.431136026,N,0.1,0.1,0,0,0,0,1,0.7,1,0.9,0,0,0,0,0.563754469,0.133447018,0.231785357,0.071013156,3.6,4,1.111111111,0,0,0,0,0.209469909,0.221366827,0.082765833,0.057352149,10,10,10,10,10,10,10,10,-0.126800518,0.081869044,-0.214277813,-0.098741763,-0.098741763,-0.076734896,-0.076734896,"Sand, Organic",Sand,0,1,0,0,0,BR,10,0.5,0.5,0,0,0,0,"A, N",10,0.9,0,0.1,0.9,0.2675,0,0.005,0.2675,0.2675,0.233348214,0,0.015811388,0.233348214,0,0.5375,10,10,10,10,0.2725,1,0,0.9,0.3,0.2,1,0,0,0.285,0,0.065,0.035,0.03,0.275,0,0,1,0.69,0.31,0.69,0.095,0.405,0.259058123,0,0.066874675,0.078351062,0.078881064,0.177951304,0,0,10,10,10,10,10,10,10,10,10,0,0,0.6,0,0.4,0,0,1,0,0,10,10,0.2,0.6,1,0.777777778,0.555555556,1,1,0.555555556,0.01,0.09,0.277777778,0.222222222,0.115500241,0.154841804,0.639020095,0.09063786,0.021081851,0.112546287,0.188515767,0.226192826,0.157724198,0.131745355,0.176163362,0.13437799,10,10,9,9,9,9,9,9,0.1,0.5,0.538888889,0.345,0.3,0.672222222,0.55,0.95,,
NLA06608-0003,2007,1,NLA06608-0003+2007+1,TX,8/29/2007,YES,0,1.19,0.513051871,10,0.11058971,-0.212502778,0.431136026,N,0.1,0.1,0,0,0,0,1,0.7,1,0.9,0,0,0,0,0.563754469,0.133447018,0.231785357,0.071013156,3.6,4,1.111111111,0,0,0,0,0.209469909,0.221366827,0.082765833,0.057352149,10,10,10,10,10,10,10,10,-0.126800518,0.081869044,-0.214277813,-0.098741763,-0.098741763,-0.076734896,-0.076734896,"Sand, Organic",Sand,0,1,0,0,0,BR,10,0.5,0.5,0,0,0,0,"A, N",10,0.9,0,0.1,0.9,0.2675,0,0.005,0.2675,0.2675,0.233348214,0,0.015811388,0.233348214,0,0.5375,10,10,10,10,0.2725,1,0,0.9,0.3,0.2,1,0,0,0.285,0,0.065,0.035,0.03,0.275,0,0,1,0.69,0.31,0.69,0.095,0.405,0.259058123,0,0.066874675,0.078351062,0.078881064,0.177951304,0,0,10,10,10,10,10,10,10,10,10,0,0,0.6,0,0.4,0,0,1,0,0,10,10,0.2,0.6,1,0.777777778,0.555555556,1,1,0.555555556,0.01,0.09,0.277777778,0.222222222,0.115500241,0.154841804,0.639020095,0.09063786,0.021081851,0.112546287,0.188515767,0.226192826,0.157724198,0.131745355,0.176163362,0.13437799,10,10,9,9,9,9,9,9,0.1,0.5,0.538888889,0.345,0.3,0.672222222,0.55,0.95,,
NLA06608-0003,2007,2,NLA06608-0003+2007+2,TX,9/6/2007,YES,0,1.47,0.784644293,10,0.195899652,-0.05323132,0.533771628,N,0,0,0,0,0,0.166666667,0.875,1,0.166666667,0.285714286,0,0,0,0.116161616,0.415815296,0.583936508,0.006666667,0.013877551,2.1,5,2.380952381,0,0,0,0.284536687,0.270211662,0.291531608,0.016329932,0.024211571,6,6,6,6,8,10,6,7,-0.68562756,0.804326386,-2.110924375,-0.872071632,-0.241369599,-0.137865081,-0.137865081,Silt,Silt,0,0.666666667,0.333333333,0,0,BR,9,0.222222222,0,0,0.777777778,0,0,H,9,1,0,0,1,0.1325,0,0,0.1325,0.1325,0.260887907,0,0,0.260887907,0,0.4125,10,9,9,10,0.1325,1,0,0.666666667,0,0,0.777777778,0,0.125,0.1325,0,0.055555556,0,0,0.083333333,0,0.00625,1,0.277638889,0.089583333,0.271388889,0.055555556,0.138888889,0.260887907,0,0.076829537,0,0,0.096824584,0,0.01767767,10,8,9,8,9,9,8,8,10,0,0,0.5,0,0.5,0,0,1,0,0,10,9,1,0.8,1,1,0.125,0,1,0.125,0.05,0.04,0.36,0.11,0.006756757,0,0.944594595,0.0625,0,0.02236068,0.338542628,0.096609178,0.019110994,0,0.157135558,0.176776695,4,5,10,10,8,8,10,8,0.08,0.47,0.49,0.175,0.15,0.825,0.51,1,,
NLA06608-0003,2007,2,NLA06608-0003+2007+2,TX,9/6/2007,YES,0,1.47,0.784644293,10,0.195899652,-0.05323132,0.533771628,N,0,0,0,0,0,0.166666667,0.875,1,0.166666667,0.285714286,0,0,0,0.116161616,0.415815296,0.583936508,0.006666667,0.013877551,2.1,5,2.380952381,0,0,0,0.284536687,0.270211662,0.291531608,0.016329932,0.024211571,6,6,6,6,8,10,6,7,-0.68562756,0.804326386,-2.110924375,-0.872071632,-0.241369599,-0.137865081,-0.137865081,Silt,Silt,0,0.666666667,0.333333333,0,0,BR,9,0.222222222,0,0,0.777777778,0,0,H,9,1,0,0,1,0.1325,0,0,0.1325,0.1325,0.260887907,0,0,0.260887907,0,0.4125,10,9,9,10,0.1325,1,0,0.666666667,0,0,0.777777778,0,0.125,0.1325,0,0.055555556,0,0,0.083333333,0,0.00625,1,0.277638889,0.089583333,0.271388889,0.055555556,0.138888889,0.260887907,0,0.076829537,0,0,0.096824584,0,0.01767767,10,8,9,8,9,9,8,8,10,0,0,0.5,0,0.5,0,0,1,0,0,10,9,1,0.8,1,1,0.125,0,1,0.125,0.05,0.04,0.36,0.11,0.006756757,0,0.944594595,0.0625,0,0.02236068,0.338542628,0.096609178,0.019110994,0,0.157135558,0.176776695,4,5,10,10,8,8,10,8,0.08,0.47,0.49,0.175,0.15,0.825,0.51,1,,
NLA06608-0004,2007,1,NLA06608-0004+2007+1,CO,7/10/2007,YES,0,1.27768,1.367419159,10,0.139148354,0.166554185,1.070236021,S,0.8,0.8,0,0.1,0.1,0.2,0,0.9,0.5,0,0,0.065714286,0.028571429,0.036017316,0,0.817772318,0.051924652,0,1.8,5,2.777777778,0,0.207806818,0.09035079,0.095522074,0,0.309708252,0.092227396,0,10,10,10,10,9,10,10,10,-0.260625719,0.248664874,-0.351820729,-0.351820729,-0.351820729,-0.351820729,-0.230395217,Silt,Silt,0,1,0,0,0,BR,10,0.333333333,0.111111111,0,0,0,0.555555556,O,9,0.9,0.2,0.7,0.9,0.4075,0.0625,0.095,0.4475,0.47,0.332091437,0.180758433,0.109163486,0.292605631,0.325,0.75,10,10,10,10,0.565,1,0,0.2,0,0,0,0,0,0.2575,0,0.03,0,0,0,0,0,1,0.2875,0,0.2875,0.03,0.03,0.305743629,0,0.078881064,0,0,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0.3,0,0.7,0,0,0.3,0.2,0.5,10,10,0.2,0.2,0.2,0.5,0.6,0.1,0.9,0.3,0.03,0.0825,0.0625,0.0975,0.384818663,0.005405405,0.579987572,0.02978836,0.078881064,0.190047509,0.180758433,0.184259027,0.413472615,0.017093393,0.391707648,0.055434234,10,10,10,10,10,10,10,10,0.1125,0.16,0.445,0.225,0.21,0.4875,0.2725,0.7125,,
