SITE_ID,YEAR,VISIT_NO,UID,ST,DATEPHAB,SAMPLED_PHAB,ssfpBedrock,ssfpBoulders,ssfpCobble,ssfpGravel,ssfpSand,ssfpSilt,ssfpOrganic,ssfpWood,ssfpOther,ssfcBedrock,ssfcBoulders,ssfcCobble,ssfcGravel,ssfcSand,ssfcSilt,ssfcOrganic,ssfcWood,ssfcOther,ssiStaVariety,ssiSiteVariety,ssiStStaVariety,ssvBedrock,ssvBoulders,ssvCobble,ssvGravel,ssvSand,ssvSilt,ssvOrganic,ssvWood,ssvOther,ssnBedrock,ssnBoulders,ssnCobble,ssnGravel,ssnSand,ssnSilt,ssnOrganic,ssnWood,ssnOther,ssxLdia,ssvLdia,ss16Ldia,ss25Ldia,ss50Ldia,ss75Ldia,ss84Ldia,ssopClass,ssofClass,hipwBuildings,hipwCommercial,hipwRoads,hipwWalls,hipwDocks,hipwPowerlines,hipwLandfill,hipwLawn,hipwPark,hipwCrops,hipwOrchard,hipwPasture,hiiAll,hiiNonAg,hiiAg,hiiAllCirca,hiiNonAgCirca,hiiAgCirca,hifpAny,hifpAnyCirca,hinBuildings,hinCommercial,hinRoads,hinWalls,hinDocks,hinPowerlines,hinLandfill,hinLawn,hinPark,hinCrops,hinOrchard,hinPasture,hipwAg,hipwNonag,hipwAll,hinAg,hinNonag,hinAll,lmfpBedrock,lmfpCobble,lmfpSand,lmfpMud,lmoSubstrate,lmnSubstrate,lmpwHuman,lmnHuman,lmnCover,lmfpLittle,lmfpPatchy,lmfpContinuous,lmoCover,lmnCoverTypes,lmfpWoody,lmfpVeg,lmfpBoulders,lmfpFill,lmfpArtificial,lmfpNone,bffFlat,bffGradual,bffSteep,bffVertical,bfoAngle,bfnAngle,bfxHorizDist,bfxVertHeight,bfnHorizDist,bfnVertHeight,L_HorizDist,L_VertHeight,L_RtHzVrt,RDisIn,RDisInAg,RDisInNonAG,RDisInEx1,RDisInEx1a,RDisInEx2,RDisInEx2a,RDisLev_x1,RDisLev_x1a,RDisLev_x2,RDisLev_x2a,RVegQ_1,RVegQ_2,RVegQ_3,RVegQ_4,RVegQ_5,RVegQ_5a,RVegQ_6,RVegQ_6a,LITCVR_A,LITCVR_B,LITCVR_C,LITCVR_D,LRCVQ_1A,LRCVQ_1B,LRCVQ_1C,LRCVQ_1D,LRCVQ_2A,LRCVQ_2B,LRCVQ_2C,LRCVQ_2D,LRCVQ_3A,LRCVQ_3B,LRCVQ_3C,LRCVQ_3D,LRCVQ_4A,LRCVQ_4B,LRCVQ_4C,LRCVQ_4D,LRCVQ_5A,LRCVQ_5Aa,LRCVQ_5B,LRCVQ_5Ba,LRCVQ_5C,LRCVQ_5Ca,LRCVQ_5D,LRCVQ_5Da,LRCVQ_6A,LRCVQ_6Aa,LRCVQ_6B,LRCVQ_6Ba,LRCVQ_6C,LRCVQ_6Ca,LRCVQ_6D,LRCVQ_6Da,FLAG_PHABMET,COMMENT_PHABMET
NLA06608-0004,2007,2,NLA06608-0004+2007+2,CO,9/11/2007,YES,0,0.1,0.2,0.2,0.1,0.9,0.4,0.5,1,0,0.016666667,0.041723164,0.055282486,0.038983051,0.318899059,0.067313525,0.043290544,0.417841505,3.4,7,2.058823529,0,0.052704628,0.120501413,0.126977815,0.123275231,0.207686191,0.106591358,0.062564764,0.328909342,10,10,10,10,10,10,10,10,10,-0.257207656,0.217515514,-0.351820729,-0.351820729,-0.351820729,-0.351820729,-0.062809221,Other,Other,0.25,0,0.15,0.1,0.05,0.05,0.1,0,0.05,0,0,0.65,1.4,0.75,0.65,0.4,0.1,0.3,1,0.4,10,10,10,10,10,10,10,8,10,10,10,10,0.216666667,0.085227273,0.118644068,30,88,118,0,0.1,0,0.9,M,10,1,10,10,0.5,0.3,0.2,NO COVER,10,,0.9,0.1,,,,0.2,0.8,0,0,GRADUAL,10,0.85,0.2,10,10,0.267171728,0.079181246,0.187990482,0.583333333,0.393939394,0.428571429,0.791666667,0.491666667,0.763762616,0.483045892,2,2,2,2,0.09727027,0.095905405,0.197769042,0.217833977,0.108704821,0.082853693,0.179515519,0.145047348,0.24,0.12,0.09320132,0.015423542,0.168635135,0.108635135,0.095235795,0.056346906,0.167952703,0.107952703,0.094553363,0.055664474,0.218884521,0.158884521,0.145485181,0.106596292,0.228916988,0.168916988,0.155517648,0.11662876,0.174352411,0.161426846,0.114352411,0.101426846,0.100953071,0.088027506,0.062064182,0.049138618,0.20975776,0.192523674,0.14975776,0.132523674,0.13635842,0.119124334,0.097469531,0.080235445,,
NLA06608-0004,2007,2,NLA06608-0004+2007+2,CO,9/11/2007,YES,0,0.1,0.2,0.2,0.1,0.9,0.4,0.5,1,0,0.016666667,0.041723164,0.055282486,0.038983051,0.318899059,0.067313525,0.043290544,0.417841505,3.4,7,2.058823529,0,0.052704628,0.120501413,0.126977815,0.123275231,0.207686191,0.106591358,0.062564764,0.328909342,10,10,10,10,10,10,10,10,10,-0.257207656,0.217515514,-0.351820729,-0.351820729,-0.351820729,-0.351820729,-0.062809221,Other,Other,0.25,0,0.15,0.1,0.05,0.05,0.1,0,0.05,0,0,0.65,1.4,0.75,0.65,0.4,0.1,0.3,1,0.4,10,10,10,10,10,10,10,8,10,10,10,10,0.216666667,0.085227273,0.118644068,30,88,118,0,0.1,0,0.9,M,10,1,10,10,0.5,0.3,0.2,NO COVER,10,,0.9,0.1,,,,0.2,0.8,0,0,GRADUAL,10,0.85,0.2,10,10,0.267171728,0.079181246,0.187990482,0.583333333,0.393939394,0.428571429,0.791666667,0.491666667,0.763762616,0.483045892,2,2,2,2,0.09727027,0.095905405,0.197769042,0.217833977,0.108704821,0.082853693,0.179515519,0.145047348,0.24,0.12,0.09320132,0.015423542,0.168635135,0.108635135,0.095235795,0.056346906,0.167952703,0.107952703,0.094553363,0.055664474,0.218884521,0.158884521,0.145485181,0.106596292,0.228916988,0.168916988,0.155517648,0.11662876,0.174352411,0.161426846,0.114352411,0.101426846,0.100953071,0.088027506,0.062064182,0.049138618,0.20975776,0.192523674,0.14975776,0.132523674,0.13635842,0.119124334,0.097469531,0.080235445,,
NLA06608-0005,2007,1,NLA06608-0005+2007+1,ID,7/18/2007,YES,0,0.1,0.5,0.6,0.7,0.6,0.9,1,1,0,0.020833333,0.064274641,0.16293363,0.10954352,0.198821566,0.110942474,0.133985851,0.198664985,5.4,7,1.296296296,0,0.065880785,0.085470604,0.208145528,0.138893343,0.306329713,0.107013328,0.138787295,0.104925776,10,10,10,10,10,10,10,10,10,-0.006960815,0.223785924,-0.336951225,-0.214277813,0.05919455,0.149736422,0.189580231,"Wood, Other",Silt,0.1,0,0.3,0,0.2,0,0.1,0,0.05,0,0,0,0.75,0.75,0,0.1,0.1,0,0.8,0.1,10,10,10,10,10,10,10,10,10,10,10,10,0,0.083333333,0.0625,30,90,120,0,0,0.7,0.3,S,10,0,10,10,0.5,0.5,0,"NO COVER, PATCHY COVER",10,0.9,0.4,0.1,,,,0.2,0.4,0.4,0,"GRADUAL, STEEP",10,1.43,0.52,10,10,0.385606274,0.181843588,0.203762686,0.428571429,0,0.428571429,0.614285714,0.264285714,0.585540044,0.207019668,2,1,2,2,0.458571429,0.187857143,0.270811688,0.170357143,0.352667978,0.357542433,0.192193668,0.198692941,0.4225,0.298206522,0.216956163,0.140567274,0.440535714,0.378388975,0.337763796,0.299569351,0.305178571,0.243031832,0.202406653,0.164212208,0.346655844,0.284509105,0.243883926,0.205689481,0.296428571,0.234281832,0.193656653,0.155462208,0.387583989,0.390021216,0.32543725,0.327874477,0.284812071,0.287249298,0.246617626,0.249054853,0.307346834,0.31059647,0.245200095,0.248449731,0.204574915,0.207824552,0.166380471,0.169630107,,
NLA06608-0005,2007,1,NLA06608-0005+2007+1,ID,7/18/2007,YES,0,0.1,0.5,0.6,0.7,0.6,0.9,1,1,0,0.020833333,0.064274641,0.16293363,0.10954352,0.198821566,0.110942474,0.133985851,0.198664985,5.4,7,1.296296296,0,0.065880785,0.085470604,0.208145528,0.138893343,0.306329713,0.107013328,0.138787295,0.104925776,10,10,10,10,10,10,10,10,10,-0.006960815,0.223785924,-0.336951225,-0.214277813,0.05919455,0.149736422,0.189580231,"Wood, Other",Silt,0.1,0,0.3,0,0.2,0,0.1,0,0.05,0,0,0,0.75,0.75,0,0.1,0.1,0,0.8,0.1,10,10,10,10,10,10,10,10,10,10,10,10,0,0.083333333,0.0625,30,90,120,0,0,0.7,0.3,S,10,0,10,10,0.5,0.5,0,"NO COVER, PATCHY COVER",10,0.9,0.4,0.1,,,,0.2,0.4,0.4,0,"GRADUAL, STEEP",10,1.43,0.52,10,10,0.385606274,0.181843588,0.203762686,0.428571429,0,0.428571429,0.614285714,0.264285714,0.585540044,0.207019668,2,1,2,2,0.458571429,0.187857143,0.270811688,0.170357143,0.352667978,0.357542433,0.192193668,0.198692941,0.4225,0.298206522,0.216956163,0.140567274,0.440535714,0.378388975,0.337763796,0.299569351,0.305178571,0.243031832,0.202406653,0.164212208,0.346655844,0.284509105,0.243883926,0.205689481,0.296428571,0.234281832,0.193656653,0.155462208,0.387583989,0.390021216,0.32543725,0.327874477,0.284812071,0.287249298,0.246617626,0.249054853,0.307346834,0.31059647,0.245200095,0.248449731,0.204574915,0.207824552,0.166380471,0.169630107,,
NLA06608-0005,2007,2,NLA06608-0005+2007+2,ID,8/22/2007,YES,0,0.2,0.5,0.6,0.9,0.4,0.7,0.8,0.9,0,0.011269841,0.049452943,0.244028898,0.231102764,0.076105422,0.086453086,0.135580542,0.166006505,5,7,1.4,0,0.023761857,0.085012205,0.322014542,0.32203117,0.118481553,0.097404783,0.139990233,0.138409958,10,10,10,10,10,10,10,10,10,0.013788556,0.210226819,-0.212213601,-0.160094239,0.011200281,0.169853184,0.19262193,"Sand, Other",Gravel,0.05,0,0.3,0,0.1,0,0.3,0,0.1,0,0,0,0.85,0.85,0,0.6,0.6,0,0.7,0.3,10,10,10,10,10,10,10,10,10,10,10,10,0,0.094444444,0.070833333,30,90,120,0,0,0.8,0.2,S,10,0.05,10,10,0.3,0.6,0.1,PATCHY COVER,10,0.7,0.3,,,0.1,0.2,0.1,0.7,0.1,0.1,GRADUAL,10,2.3,0.57,10,10,0.51851394,0.195899652,0.322614287,0.459459459,0,0.459459459,0.57972973,0.37972973,0.567116938,0.371265185,2,2,2,2,0.373622642,0.110433962,0.199433962,0.163719677,0.282865286,0.283517311,0.136487048,0.137356415,0.19,0.190652174,0.131501889,0.094835223,0.281811321,0.282137408,0.252562265,0.234228932,0.150216981,0.150543068,0.120967926,0.102634592,0.194716981,0.195043068,0.165467926,0.147134592,0.176859838,0.177185925,0.147610783,0.12927745,0.236432643,0.236758656,0.23675873,0.237084743,0.207183588,0.2075096,0.188850254,0.189176267,0.163243524,0.163678207,0.163569611,0.164004294,0.133994469,0.134429152,0.115661135,0.116095819,,
NLA06608-0005,2007,2,NLA06608-0005+2007+2,ID,8/22/2007,YES,0,0.2,0.5,0.6,0.9,0.4,0.7,0.8,0.9,0,0.011269841,0.049452943,0.244028898,0.231102764,0.076105422,0.086453086,0.135580542,0.166006505,5,7,1.4,0,0.023761857,0.085012205,0.322014542,0.32203117,0.118481553,0.097404783,0.139990233,0.138409958,10,10,10,10,10,10,10,10,10,0.013788556,0.210226819,-0.212213601,-0.160094239,0.011200281,0.169853184,0.19262193,"Sand, Other",Gravel,0.05,0,0.3,0,0.1,0,0.3,0,0.1,0,0,0,0.85,0.85,0,0.6,0.6,0,0.7,0.3,10,10,10,10,10,10,10,10,10,10,10,10,0,0.094444444,0.070833333,30,90,120,0,0,0.8,0.2,S,10,0.05,10,10,0.3,0.6,0.1,PATCHY COVER,10,0.7,0.3,,,0.1,0.2,0.1,0.7,0.1,0.1,GRADUAL,10,2.3,0.57,10,10,0.51851394,0.195899652,0.322614287,0.459459459,0,0.459459459,0.57972973,0.37972973,0.567116938,0.371265185,2,2,2,2,0.373622642,0.110433962,0.199433962,0.163719677,0.282865286,0.283517311,0.136487048,0.137356415,0.19,0.190652174,0.131501889,0.094835223,0.281811321,0.282137408,0.252562265,0.234228932,0.150216981,0.150543068,0.120967926,0.102634592,0.194716981,0.195043068,0.165467926,0.147134592,0.176859838,0.177185925,0.147610783,0.12927745,0.236432643,0.236758656,0.23675873,0.237084743,0.207183588,0.2075096,0.188850254,0.189176267,0.163243524,0.163678207,0.163569611,0.164004294,0.133994469,0.134429152,0.115661135,0.116095819,,
NLA06608-0006,2007,1,NLA06608-0006+2007+1,CT,7/17/2007,YES,0.3,1,0.9,0.7,0.7,0.7,1,1,1,0.078700129,0.09101103,0.196327901,0.063223244,0.057496741,0.149167651,0.047292978,0.1222728,0.194507526,7.3,8,1.095890411,0.128255363,0.072520808,0.133269122,0.067622889,0.076981141,0.22008153,0.028438348,0.178051672,0.133160339,10,10,10,10,10,10,10,10,10,0.185447121,0.258710392,-0.236710745,0.119477707,0.306953658,0.366136264,0.395883761,"Boulders, Organic, Wood, Other",Cobble,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,10,10,10,10,10,10,10,10,10,10,10,10,0,0.022222222,0.016666667,30,90,120,0.111111111,0.666666667,0,0.222222222,C,9,0.26,10,10,0.2,0.7,0.1,PATCHY COVER,10,0.5,0.7,0.6,,,,0,0.8,0.2,0,GRADUAL,10,2.98,1.2,10,10,0.599883072,0.342422681,0.257460391,0.166666667,0,0.166666667,0.133333333,0.133333333,0.129099445,0.129099445,1,1,1,1,0.358240741,0.148472222,0.170290404,0.062757937,0.28139242,0.278581546,0.130476089,0.126728256,0.5025,0.403423913,0.282150595,0.18909504,0.43037037,0.380832327,0.320195668,0.27366789,0.325486111,0.275948068,0.215311409,0.168783631,0.336395202,0.286857159,0.2262205,0.179692722,0.282628968,0.233090925,0.172454266,0.125926488,0.39194621,0.390540773,0.342408167,0.341002729,0.281771508,0.280366071,0.23524373,0.233838293,0.316488044,0.314614128,0.266950001,0.265076085,0.206313342,0.204439426,0.159785564,0.157911648,,
NLA06608-0006,2007,1,NLA06608-0006+2007+1,CT,7/17/2007,YES,0.3,1,0.9,0.7,0.7,0.7,1,1,1,0.078700129,0.09101103,0.196327901,0.063223244,0.057496741,0.149167651,0.047292978,0.1222728,0.194507526,7.3,8,1.095890411,0.128255363,0.072520808,0.133269122,0.067622889,0.076981141,0.22008153,0.028438348,0.178051672,0.133160339,10,10,10,10,10,10,10,10,10,0.185447121,0.258710392,-0.236710745,0.119477707,0.306953658,0.366136264,0.395883761,"Boulders, Organic, Wood, Other",Cobble,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.2,0.2,0,0.2,0.2,0,0.1,0.1,10,10,10,10,10,10,10,10,10,10,10,10,0,0.022222222,0.016666667,30,90,120,0.111111111,0.666666667,0,0.222222222,C,9,0.26,10,10,0.2,0.7,0.1,PATCHY COVER,10,0.5,0.7,0.6,,,,0,0.8,0.2,0,GRADUAL,10,2.98,1.2,10,10,0.599883072,0.342422681,0.257460391,0.166666667,0,0.166666667,0.133333333,0.133333333,0.129099445,0.129099445,1,1,1,1,0.358240741,0.148472222,0.170290404,0.062757937,0.28139242,0.278581546,0.130476089,0.126728256,0.5025,0.403423913,0.282150595,0.18909504,0.43037037,0.380832327,0.320195668,0.27366789,0.325486111,0.275948068,0.215311409,0.168783631,0.336395202,0.286857159,0.2262205,0.179692722,0.282628968,0.233090925,0.172454266,0.125926488,0.39194621,0.390540773,0.342408167,0.341002729,0.281771508,0.280366071,0.23524373,0.233838293,0.316488044,0.314614128,0.266950001,0.265076085,0.206313342,0.204439426,0.159785564,0.157911648,,
NLA06608-0006,2007,2,NLA06608-0006+2007+2,CT,8/30/2007,YES,0.222222222,0.9,0.8,0.8,0.7,0.7,1,1,1,0.022081129,0.158666787,0.123352608,0.109793286,0.080428206,0.13089462,0.066237374,0.133012003,0.177742101,7.1,8,1.126760563,0.052923385,0.112406266,0.099061037,0.101298526,0.084738767,0.216318453,0.057350934,0.219961999,0.145596595,9,10,10,10,10,10,10,10,10,0.196237249,0.240403895,0.091546586,0.111683992,0.218707482,0.284520074,0.493010763,"Organic, Wood, Other",Other,0,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.3,0.3,10,10,10,10,10,10,10,10,10,10,10,10,0,0.055555556,0.041666667,30,90,120,0.111111111,0.555555556,0.111111111,0.222222222,C,9,0.5,10,10,0.1,0.8,0.1,PATCHY COVER,10,0.2,0.2,0.7,,,,0.1,0.3,0.6,0,STEEP,10,4.5,1.82,10,10,0.740362689,0.450249108,0.290113581,0.333333333,0,0.333333333,0.316666667,0.316666667,0.316227766,0.316227766,2,2,2,2,0.478333333,0.2675,0.292272727,0.077142857,0.370402542,0.364525578,0.210385208,0.202549255,0.4325,0.233641304,0.16346164,0.096517195,0.455416667,0.355987319,0.320897486,0.287425264,0.35,0.250570652,0.21548082,0.182008598,0.362386364,0.262957016,0.227867183,0.194394961,0.254821429,0.155392081,0.120302248,0.086830026,0.401451271,0.398512789,0.302021923,0.299083441,0.266932091,0.263993609,0.233459869,0.230521386,0.321442604,0.317524627,0.222013256,0.21809528,0.186923424,0.183005447,0.153451202,0.149533225,,
NLA06608-0006,2007,2,NLA06608-0006+2007+2,CT,8/30/2007,YES,0.222222222,0.9,0.8,0.8,0.7,0.7,1,1,1,0.022081129,0.158666787,0.123352608,0.109793286,0.080428206,0.13089462,0.066237374,0.133012003,0.177742101,7.1,8,1.126760563,0.052923385,0.112406266,0.099061037,0.101298526,0.084738767,0.216318453,0.057350934,0.219961999,0.145596595,9,10,10,10,10,10,10,10,10,0.196237249,0.240403895,0.091546586,0.111683992,0.218707482,0.284520074,0.493010763,"Organic, Wood, Other",Other,0,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.3,0.3,10,10,10,10,10,10,10,10,10,10,10,10,0,0.055555556,0.041666667,30,90,120,0.111111111,0.555555556,0.111111111,0.222222222,C,9,0.5,10,10,0.1,0.8,0.1,PATCHY COVER,10,0.2,0.2,0.7,,,,0.1,0.3,0.6,0,STEEP,10,4.5,1.82,10,10,0.740362689,0.450249108,0.290113581,0.333333333,0,0.333333333,0.316666667,0.316666667,0.316227766,0.316227766,2,2,2,2,0.478333333,0.2675,0.292272727,0.077142857,0.370402542,0.364525578,0.210385208,0.202549255,0.4325,0.233641304,0.16346164,0.096517195,0.455416667,0.355987319,0.320897486,0.287425264,0.35,0.250570652,0.21548082,0.182008598,0.362386364,0.262957016,0.227867183,0.194394961,0.254821429,0.155392081,0.120302248,0.086830026,0.401451271,0.398512789,0.302021923,0.299083441,0.266932091,0.263993609,0.233459869,0.230521386,0.321442604,0.317524627,0.222013256,0.21809528,0.186923424,0.183005447,0.153451202,0.149533225,,
