VARNUM	NAME	LABEL	TYPE	LENGTH
1	SITE_ID	Unique site identification number	2	24
2	VISIT_NO	Lake visit number. 1-1st field sampling visit; 2-2nd field sampling visit	1	
3	SITE_TYPE	PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake	2	9
4	LAKE_SAMP	Evaluation status	2	20
5	DATEPHYT	Date phytosample collected	1	
6	SAMPLED_PHYT	Phytoplankton sample collected?	2	16
7	SAMPLE_CATEGORY	(P)rimary or Field (D)uplicate	2	4
8	INDXSAMP_PHYT	Index phytoplankton sample for site (YES/NO)-typically the Visit 1 Primary sample	2	3
9	SAMPLE_TYPE	Type of sample (soft ALGAE/DIATOM)	2	6
10	SAMPLE_DEPTH	Depth of integrated sample (typically 2 m)	1	
11	PHYT_VOLUME	Sample volume (mL)	1	
12	PRESERVED_PHYT	Sample preserved (Y/blank)	2	8
13	FLAG_FLD_PHYT	Field flag for phytoplankton	2	8
14	COMMENT_FLD_PHYT	Comment and field flag explanations for phytoplankton	2	1000
15	SAMPLE_ID	Sample ID number	1	
16	LAB_ID	Sample ID assiged by laboratory	2	10
17	INIT_VOL	Initial volume (mL) or weight of sample (typically 1/3 of 1000 mL)	1	
18	CONC_VOL	Volume of concentrated sample (mL) used for fixed count	1	
19	TOT_AREA	Area of slide or counting chamber bottom (mm2)	1	
20	CNT_AREA	Area counted (mm2)	1	
21	TAXANAME	Unique taxon name	2	106
22	LAB_TAXON	Lab Taxon ID number	2	7
23	COUNT	Number of cells (if natural units)	1	
24	PROPORTION	Relative abundance (count/total counted)	1	
25	UNITCELLS	Estimated number of cells (if natural units)	2	1
26	CNT_UNIT	Counting unit (C=cells N=natural unit)	2	1
27	DIVISION	Division name (from count and taxa files)	2	31
28	ORDER	Order name (from count and taxa files)	2	17
29	FAMILY	Family name (from count and taxa files)	2	17
30	GENUS	Genus name (from count and taxa files)	2	20
31	SPECIES	Species name (from count and taxa files)	2	17
32	VARIETY	Variety name (from count and taxa files)	2	26
33	DISTINCT	Distinct taxon within sample (assigned at Lab)? (Y/N)	2	1
34	TAXONOMIST	Initials of taxonomist assigning the taxon name	2	13
35	COMMENT_LAB_PHYT	Laboratory personnel comments	2	255
36	SOURCELAB	Laboratory submitting data	2	2
37	SOURCEDATE	Date results submitted (YYYYMMDD)	2	8
38	DATATYPE	4 character code for type of sample taken	2	8
