SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,DATE_COL,SAMPLED_PHYT,DATEPHYT,SAMPLE_CATEGORY,INDXSAMP_PHYT,SAMPLE_DEPTH,PHYT_VOLUME,PRESERVED_PHYT,SAMPLE_ID,FLAG_FLD_PHYT,COMMENT_FLD_PHYT,LAB_ID,SAMPLE_TYPE,INIT_VOL,CONC_VOL,TOT_AREA,CNT_AREA,SOURCELAB,SOURCEDATE,TAXONOMIST_CNT,COMMENT_PHYT_LAB,DATATYPE,VISIT_ID
NLA06608-0001,1,PROB_Lake,Target_Sampled,7/31/2007,YES,7/31/2007,P,YES,2,1000,,507623,,,5069.24.48,ALGAE,333,3,394,28.28611482,EA,20081217b,KMM,,PHYT,7468
NLA06608-0002,1,PROB_Lake,Target_Sampled,6/14/2007,YES,6/14/2007,P,YES,1.1,1000,Y,514183,,,5069.38.03,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7469
NLA06608-0002,2,PROB_Lake,Target_Sampled,7/23/2007,YES,7/23/2007,P,NO,0.8,1000,Y,512913,,,5069.38.02,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7470
NLA06608-0002,2,PROB_Lake,Target_Sampled,7/23/2007,YES,7/23/2007,D,NO,0.8,1000,Y,512383,,,5069.38.01,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7470
NLA06608-0003,1,PROB_Lake,Target_Sampled,8/29/2007,YES,8/29/2007,P,YES,1.4,1000,Y,509043,,,5069.41.49,ALGAE,25,25,380,0.315,EA,20081217b,JS,No slide required. Lyngbya bloom. Also lots of micro flagellates.,PHYT,7471
NLA06608-0003,2,PROB_Lake,Target_Sampled,9/6/2007,YES,9/6/2007,P,NO,0.94,1000,Y,514903,,,5069.41.50,ALGAE,25,25,380,0.225,EA,20081217b,JS,No slide required. Sample full of Lyngbya bloom.,PHYT,7472
NLA06608-0004,1,PROB_Lake,Target_Sampled,7/10/2007,YES,7/10/2007,P,YES,2,980,Y,508553,,,5069.05.22,ALGAE,333,4.2,254.4690049,30.59,EA,20081217b,EEW,,PHYT,7473
NLA06608-0004,2,PROB_Lake,Target_Sampled,9/11/2007,YES,9/11/2007,P,NO,2,980,Y,503313,,,5069.05.09,ALGAE,333,20,254.4690049,3.94,EA,20081217b,EEW,,PHYT,7474
NLA06608-0004,2,PROB_Lake,Target_Sampled,9/11/2007,YES,9/11/2007,D,NO,2,980,Y,508533,,,5069.05.21,ALGAE,333,20,254.4690049,4.75,EA,20081217b,EEW,,PHYT,7474
NLA06608-0005,1,PROB_Lake,Target_Sampled,7/18/2007,YES,7/18/2007,P,YES,2,1000,Y,502963,,,5069.10.24,ALGAE,25,25,380,18.45,EA,20081217b,JS,"Overall comment: Slide required, sparse, 2 hours! Much fine debris!",PHYT,7475
NLA06608-0005,2,PROB_Lake,Target_Sampled,8/22/2007,YES,8/22/2007,P,NO,2,1000,Y,511073,,,5069.10.27,ALGAE,25,25,380,9.45,EA,20081217b,JS,No slide required.,PHYT,7476
NLA06608-0005,2,PROB_Lake,Target_Sampled,8/22/2007,YES,8/22/2007,D,NO,2,1000,Y,517313,,,5069.10.26,ALGAE,25,25,380,16.2,EA,20081217b,JS,100-300 cells/colony. Indistinct large colony.,PHYT,7476
NLA06608-0006,1,PROB_Lake,Target_Sampled,7/17/2007,YES,7/17/2007,P,YES,2,1000,Y,508843,F1,15 ML LUGOLS,5069.06.03,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7477
NLA06608-0006,2,PROB_Lake,Target_Sampled,8/30/2007,YES,8/30/2007,P,NO,2,1000,Y,510043,,,5069.06.04,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7478
NLA06608-0006,2,PROB_Lake,Target_Sampled,8/30/2007,YES,8/30/2007,D,NO,2,1000,Y,513973,,,5069.06.05,ALGAE,333,2,394,11.88,EA,20081217b,JKE,,PHYT,7478
NLA06608-0007,1,PROB_Lake,Target_Sampled,7/24/2007,YES,7/24/2007,P,YES,2,1000,Y,505213,,,FS000110,ALGAE,,,530.9292,7.87846,WI,20080415,Dawn Perkins,,PHYT,7479
NLA06608-0007,2,PROB_Lake,Target_Sampled,9/6/2007,YES,9/6/2007,P,NO,2,1000,Y,515803,,,FS000170,ALGAE,,,530.9292,3.48118,WI,20080415,Dawn Perkins,,PHYT,7480
NLA06608-0008,1,PROB_Lake,Target_Sampled,7/12/2007,YES,7/12/2007,P,YES,2,1000,Y,513443,,,5069.13.18,ALGAE,333,1,394,11.88,EA,20081217b,JKE,,PHYT,7481
NLA06608-0008,2,PROB_Lake,Target_Sampled,8/22/2007,YES,8/22/2007,P,NO,2,1000,Y,513933,,,5069.13.19,ALGAE,333,1,394,11.88,EA,20081217b,JKE,,PHYT,7482
NLA06608-0010,1,PROB_Lake,Target_Sampled,7/17/2007,YES,7/17/2007,P,YES,2,1000,Y,503793,,,5069.20.02,ALGAE,25,25,380,6.75,EA,20081217b,JS,Slide required,PHYT,7483
NLA06608-0010,2,PROB_Lake,Target_Sampled,8/18/2007,YES,8/18/2007,P,NO,2,1000,Y,515313,,,5069.20.28,ALGAE,25,25,380,4.05,EA,20081217b,JS,Slide required.,PHYT,7484
