SITE_ID,VISIT_NO,SAMPLE_CATEGORY,OTU_OE5,ABUND_OE5
NLA06608-0001,1,P,Achnanthidium,2.509746971
NLA06608-0001,1,P,Amphora,5.019493942
NLA06608-0001,1,P,Aulacoseira,5.019493942
NLA06608-0001,1,P,Chaoborus,9.65893E-06
NLA06608-0001,1,P,Coelastrum,20.07797577
NLA06608-0001,1,P,Cryptomonas,8.784114398
NLA06608-0001,1,P,Cyclotella,102.8996258
NLA06608-0001,1,P,Cymbella,3.764620456
NLA06608-0001,1,P,Fragilaria,2.509746971
NLA06608-0001,1,P,Gomphonema,2.509746971
NLA06608-0001,1,P,Keratella_cceo,1.93179E-05
NLA06608-0001,1,P,Komma,1.254873485
NLA06608-0001,1,P,Leptolyngbya,30.11696365
NLA06608-0001,1,P,Navicula,1.254873485
NLA06608-0001,1,P,Nitzschia,1.254873485
NLA06608-0001,1,P,Oocystis,7.529240912
NLA06608-0001,1,P,Pinnularia,2.509746971
NLA06608-0001,1,P,Surirella,2.509746971
NLA06608-0001,1,P,Trachelomonas,5.019493942
NLA06608-0002,1,P,Anabaena,59.75672642
NLA06608-0002,1,P,Aphanocapsa,312.7268683
NLA06608-0002,1,P,Aphanothece,478.0538114
NLA06608-0002,1,P,Bosmina,8.37108E-05
NLA06608-0002,1,P,Chaoborus,0.000167422
NLA06608-0002,1,P,Chroococcus,398.3781762
NLA06608-0002,1,P,Cryptomonas,9.959454404
NLA06608-0002,1,P,Cyclopidae,0.000795252
NLA06608-0002,1,P,Diaptomidae,8.37108E-05
NLA06608-0002,1,P,Dinobryon,1.991890881
NLA06608-0002,1,P,Euglena,45.81349026
NLA06608-0002,1,P,Frustulia,3.983781762
NLA06608-0002,1,P,Kirchneriella,3477.841478
NLA06608-0002,1,P,Lecanidae,0.000943649
NLA06608-0002,1,P,Lepadella,0.000235912
NLA06608-0002,1,P,Limnothrix,65.73239907
NLA06608-0002,1,P,Mallomonas,55.77294466
NLA06608-0002,1,P,Microcystis,4661.024661
NLA06608-0002,1,P,Oscillatoria,29.87836321
NLA06608-0002,1,P,Peridinium,1.991890881
NLA06608-0002,1,P,Phacus,3.983781762
NLA06608-0002,1,P,Platydorina,99.59454404
NLA06608-0002,1,P,Ploesoma,0.000235912
NLA06608-0002,1,P,Polyarthra,0.000235912
NLA06608-0002,1,P,Scenedesmus,7.967563523
NLA06608-0002,1,P,Selenastrum,41.8297085
NLA06608-0002,1,P,Spirulina,41.8297085
NLA06608-0002,1,P,Synchaeta,0.000471824
NLA06608-0002,1,P,Synura,47.80538114
NLA06608-0002,1,P,Trachelomonas,37.84592673
NLA06608-0002,1,P,Trichocerca,0.000235912
NLA06608-0002,2,D,Anabaena,258.9458145
NLA06608-0002,2,D,Ankistrodesmus,7.967563523
NLA06608-0002,2,D,Anuraeopsis,0.005085429
NLA06608-0002,2,D,Aphanocapsa,13.94323617
NLA06608-0002,2,D,Bosmina,9.41746E-05
NLA06608-0002,2,D,Brachionus_angularis,0.000376698
NLA06608-0002,2,D,Chlamydomonas,3.983781762
NLA06608-0002,2,D,Chlorococcum,15.93512705
NLA06608-0002,2,D,Chroococcus,79.67563523
NLA06608-0002,2,D,Closterium,9.959454404
NLA06608-0002,2,D,Coelastrum,159.3512705
NLA06608-0002,2,D,Conochilidae,0.001883492
NLA06608-0002,2,D,Crucigenia,215.1242151
NLA06608-0002,2,D,Cryptomonas,67.72428995
NLA06608-0002,2,D,Cyclopidae,0.000376698
NLA06608-0002,2,D,Diaphanosoma,9.41746E-05
NLA06608-0002,2,D,Dinobryon,13.94323617
NLA06608-0002,2,D,Euglena,13.94323617
NLA06608-0002,2,D,Frustulia,7.967563523
NLA06608-0002,2,D,Gloeocapsa,63.74050818
NLA06608-0002,2,D,Gloeocystis,3.983781762
NLA06608-0002,2,D,Hexarthra,0.003201936
NLA06608-0002,2,D,Hydrodictyon,49.79727202
NLA06608-0002,2,D,Kellicottia_bostoniensis,0.004520381
NLA06608-0002,2,D,Keratella_cceo,0.002071841
NLA06608-0002,2,D,Keratella_taurocephala,0.005462127
NLA06608-0002,2,D,Kirchneriella,1824.572047
NLA06608-0002,2,D,Lecanidae,0.001130095
NLA06608-0002,2,D,Microcystis,2987.836321
NLA06608-0002,2,D,Nephrocytium,15.93512705
NLA06608-0002,2,D,Oocystis,23.90269057
NLA06608-0002,2,D,Oscillatoria,29.87836321
NLA06608-0002,2,D,Peridinium,29.87836321
NLA06608-0002,2,D,Phacus,3.983781762
NLA06608-0002,2,D,Platydorina,298.7836321
NLA06608-0002,2,D,Platyias,0.000188349
NLA06608-0002,2,D,Polyarthra,0.001695143
NLA06608-0002,2,D,Pompholyx,0.000188349
NLA06608-0002,2,D,Staurastrum,1.991890881
NLA06608-0002,2,D,Synechococcus,23.90269057
NLA06608-0002,2,D,Synura,31.87025409
NLA06608-0002,2,D,Trachelomonas,7.967563523
NLA06608-0002,2,D,Volvox,199.1890881
NLA06608-0002,2,P,Anabaena,1613.431613
NLA06608-0002,2,P,Anuraeopsis,0.003766984
NLA06608-0002,2,P,Aphanocapsa,254.9620327
NLA06608-0002,2,P,Aphanothece,398.3781762
NLA06608-0002,2,P,Closterium,1.991890881
NLA06608-0002,2,P,Coelastrum,159.3512705
NLA06608-0002,2,P,Coelosphaerium,39.83781762
NLA06608-0002,2,P,Conochilidae,0.00244854
NLA06608-0002,2,P,Crucigenia,246.9944692
NLA06608-0002,2,P,Cryptomonas,15.93512705
NLA06608-0002,2,P,Cyclopidae,0.001506794
NLA06608-0002,2,P,Cyclotella,3.983781762
NLA06608-0002,2,P,Cylindrospermopsis,43.82159938
NLA06608-0002,2,P,Daphnia_ambigua,0.000188349
NLA06608-0002,2,P,Diaphanosoma,0.000188349
NLA06608-0002,2,P,Diaptomidae,0.000470873
NLA06608-0002,2,P,Dinobryon,3.983781762
NLA06608-0002,2,P,Eudorina,39.83781762
NLA06608-0002,2,P,Euglena,1.991890881
NLA06608-0002,2,P,Frustulia,3.983781762
NLA06608-0002,2,P,Gloeocapsa,31.87025409
NLA06608-0002,2,P,Hexarthra,0.001506794
NLA06608-0002,2,P,Kellicottia_bostoniensis,0.001318444
NLA06608-0002,2,P,Keratella_cceo,0.001318444
NLA06608-0002,2,P,Keratella_taurocephala,0.001130095
NLA06608-0002,2,P,Kirchneriella,1605.46405
NLA06608-0002,2,P,Lecanidae,0.000188349
NLA06608-0002,2,P,Lepadella,0.000188349
NLA06608-0002,2,P,Mallomonas,5.975672642
NLA06608-0002,2,P,Microcystis,2868.322868
NLA06608-0002,2,P,Notommatidae,0.000188349
NLA06608-0002,2,P,Oocystis,7.967563523
NLA06608-0002,2,P,Oscillatoria,119.5134528
NLA06608-0002,2,P,Peridinium,25.89458145
NLA06608-0002,2,P,Platydorina,298.7836321
NLA06608-0002,2,P,Platyias,0.000188349
NLA06608-0002,2,P,Ploesoma,0.000376698
NLA06608-0002,2,P,Polyarthra,0.000753397
NLA06608-0002,2,P,Selenastrum,9.959454404
NLA06608-0002,2,P,Synchaeta,0.000188349
NLA06608-0002,2,P,Synechococcus,59.75672642
NLA06608-0002,2,P,Synura,31.87025409
NLA06608-0002,2,P,Temoridae,0.000188349
NLA06608-0002,2,P,Trachelomonas,11.95134528
NLA06608-0002,2,P,Volvox,1394.323617
NLA06608-0003,1,P,Achnanthidium,48.25396825
NLA06608-0003,1,P,Anuraeopsis,0.000271223
NLA06608-0003,1,P,Asplanchna,0.001084891
NLA06608-0003,1,P,Brachionus_angularis,0.010939322
NLA06608-0003,1,P,Brachionus_caudatus,0.003164267
NLA06608-0003,1,P,Brachionus_havanaensis,0.000904076
NLA06608-0003,1,P,Chromulina,193.015873
NLA06608-0003,1,P,Chroococcus,386.031746
NLA06608-0003,1,P,Chroomonas,337.7777778
NLA06608-0003,1,P,Conochilidae,0.00036163
NLA06608-0003,1,P,Cosmarium,48.25396825
NLA06608-0003,1,P,Cryptomonas,579.047619
NLA06608-0003,1,P,Cyclopidae,7.53397E-05
NLA06608-0003,1,P,Discostella,48.25396825
NLA06608-0003,1,P,Filinia,0.000180815
NLA06608-0003,1,P,Gastropus,9.04076E-05
NLA06608-0003,1,P,Gymnodinium,241.2698413
NLA06608-0003,1,P,Hexarthra,0.000452038
NLA06608-0003,1,P,Keratella_cceo,0.000813669
NLA06608-0003,1,P,Lyngbya,14958.73016
NLA06608-0003,1,P,Merismopedia,193.015873
NLA06608-0003,1,P,Microcystis,22148.57143
NLA06608-0003,1,P,Navicula,96.50793651
NLA06608-0003,1,P,Peridinium,193.015873
NLA06608-0003,1,P,Planktosphaeria,241.2698413
NLA06608-0003,1,P,Polyarthra,0.001175299
NLA06608-0003,1,P,Pyrenomonas,241.2698413
NLA06608-0003,1,P,Raphidiopsis,723.8095238
NLA06608-0003,1,P,Scenedesmus,144.7619048
NLA06608-0003,1,P,Tetraedron,144.7619048
NLA06608-0003,1,P,Treubaria,48.25396825
NLA06608-0003,2,P,Ankistrodesmus,135.1111111
NLA06608-0003,2,P,Asplanchna,0.000458589
NLA06608-0003,2,P,Brachionus_angularis,0.006092687
NLA06608-0003,2,P,Brachionus_caudatus,0.000196538
NLA06608-0003,2,P,Brachionus_havanaensis,0.000524102
NLA06608-0003,2,P,Chlorella,337.7777778
NLA06608-0003,2,P,Conochilidae,0.000262051
NLA06608-0003,2,P,Crucigenia,67.55555556
NLA06608-0003,2,P,Discostella,270.2222222
NLA06608-0003,2,P,Euglena,135.1111111
NLA06608-0003,2,P,Gymnodinium,540.4444444
NLA06608-0003,2,P,Hexarthra,0.000196538
NLA06608-0003,2,P,Keratella_cceo,0.000589615
NLA06608-0003,2,P,Lyngbya,20604.44444
NLA06608-0003,2,P,Microcystis,33777.77778
NLA06608-0003,2,P,Peridinium,202.6666667
NLA06608-0003,2,P,Raphidiopsis,1013.333333
NLA06608-0003,2,P,Scenedesmus,67.55555556
NLA06608-0003,2,P,Synechocystis,5742.222222
NLA06608-0003,2,P,Tetraedron,135.1111111
NLA06608-0003,2,P,Trichocerca,0.000131026
NLA06608-0003,2,P,Uroglena,202.6666667
NLA06608-0004,1,P,Anabaena,506.7661549
NLA06608-0004,1,P,Asplanchna,0.011895739
NLA06608-0004,1,P,Asterionella,23.08251637
NLA06608-0004,1,P,Aulacoseira,88.13324434
NLA06608-0004,1,P,Bosmina,2.6435E-05
NLA06608-0004,1,P,Ceriodaphnia,1.32175E-05
NLA06608-0004,1,P,Chromulina,3.147615869
NLA06608-0004,1,P,Cryptomonas,46.16503275
NLA06608-0004,1,P,Dactylococcopsis,3.147615869
NLA06608-0004,1,P,Diaptomidae,7.93049E-05
NLA06608-0004,1,P,Dinobryon,14.68887406
NLA06608-0004,1,P,Gomphonema,1.04920529
NLA06608-0004,1,P,Hexarthra,0.002379148
NLA06608-0004,1,P,Keratella_cceo,0.87076811
NLA06608-0004,1,P,Kirchneriella,58.75549622
NLA06608-0004,1,P,Komma,3.147615869
NLA06608-0004,1,P,Mallomonas,2.098410579
NLA06608-0004,1,P,Ochromonas,18.88569521
NLA06608-0004,1,P,Oocystis,13.63966877
NLA06608-0004,1,P,Polyarthra,0.007137444
NLA06608-0004,1,P,Scenedesmus,20.98410579
NLA06608-0004,1,P,Sellaphora,1.04920529
NLA06608-0004,1,P,Sphaerocystis,12.59046348
NLA06608-0004,1,P,Staurastrum,1.04920529
NLA06608-0004,1,P,Synchaeta,0.026170626
NLA06608-0004,1,P,Synechocystis,12.59046348
NLA06608-0004,1,P,Synedra,26.23013224
NLA06608-0004,1,P,Trachelomonas,31.47615869
NLA06608-0004,2,D,Ankistrodesmus,32.17562888
NLA06608-0004,2,D,Aphanizomenon,611.3369488
NLA06608-0004,2,D,Asplanchna,0.001808152
NLA06608-0004,2,D,Aulacoseira,7754.326561
NLA06608-0004,2,D,Bosmina,0.000783533
NLA06608-0004,2,D,Brachionus_caudatus,0.056655441
NLA06608-0004,2,D,Ceriodaphnia,0.00138625
NLA06608-0004,2,D,Chromulina,4761.993075
NLA06608-0004,2,D,Chydoridae,3.01359E-05
NLA06608-0004,2,D,Closterium,32.17562888
NLA06608-0004,2,D,Coelastrum,1544.430186
NLA06608-0004,2,D,Conochilidae,0.017478806
NLA06608-0004,2,D,Cryptomonas,160.8781444
NLA06608-0004,2,D,Cyclopidae,0.000693125
NLA06608-0004,2,D,Dactylococcopsis,32.17562888
NLA06608-0004,2,D,Diaptomidae,0.004972419
NLA06608-0004,2,D,Dictyosphaerium,418.2831755
NLA06608-0004,2,D,Filinia,0.00482174
NLA06608-0004,2,D,Hexarthra,0.005424457
NLA06608-0004,2,D,Nitzschia,160.8781444
NLA06608-0004,2,D,Ochromonas,128.7025155
NLA06608-0004,2,D,Oocystis,321.7562888
NLA06608-0004,2,D,Polyarthra,0.007835327
NLA06608-0004,2,D,Pompholyx,0.009643479
NLA06608-0004,2,D,Schroederia,32.17562888
NLA06608-0004,2,D,Sphaerocystis,128.7025155
NLA06608-0004,2,D,Synchaeta,0.00482174
NLA06608-0004,2,D,Synechocystis,3217.562888
NLA06608-0004,2,D,Synedra,32.17562888
NLA06608-0004,2,D,Trachelomonas,64.35125777
NLA06608-0004,2,D,Trichocerca,0.001808152
NLA06608-0004,2,P,Ankistrodesmus,38.79041553
NLA06608-0004,2,P,Aphanizomenon,1202.502882
NLA06608-0004,2,P,Asplanchna,0.001356114
NLA06608-0004,2,P,Aulacoseira,6827.113134
NLA06608-0004,2,P,Bosmina,0.001145163
NLA06608-0004,2,P,Brachionus_caudatus,0.057634856
NLA06608-0004,2,P,Ceriodaphnia,0.003254674
NLA06608-0004,2,P,Chromulina,5353.077344
NLA06608-0004,2,P,Chrysococcus,38.79041553
NLA06608-0004,2,P,Closterium,38.79041553
NLA06608-0004,2,P,Conochilidae,0.008136686
NLA06608-0004,2,P,Cryptomonas,116.3712466
NLA06608-0004,2,P,Cyclopidae,0.001687609
NLA06608-0004,2,P,Diaphanosoma,0.000452038
NLA06608-0004,2,P,Diaptomidae,0.006599756
NLA06608-0004,2,P,Filinia,0.006780571
NLA06608-0004,2,P,Hexarthra,0.015595314
NLA06608-0004,2,P,Keratella_cceo,0.080688799
NLA06608-0004,2,P,Nitzschia,38.79041553
NLA06608-0004,2,P,Ochromonas,116.3712466
NLA06608-0004,2,P,Polyarthra,0.008814743
NLA06608-0004,2,P,Pompholyx,0.0047464
NLA06608-0004,2,P,Schroederia,38.79041553
NLA06608-0004,2,P,Sphaerocystis,775.8083107
