SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,REF_NUTR,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_OE5,INDXSAMP_OE5,OE5,OE5_COND,OE5_COND_985,OE5_COND_R,SHORT_ID,FLAG_OE5,COMMENT_OE5
NLA06608-0001,1,PROB_Lake,Target_Sampled,Target,48.9790286,-114.0218399,MT,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_MT_(50,100]",0.02820818,35.10944309,7.594532,MT,NO,WMTNS,WMT,41,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,Y,10,10010001,,,YES,YES,YES,0.504031,3:> 40% TAXA LOSS,3:> 20-50% TAXA LOSS,3: MOST DISTURBED,L0001,,
NLA06608-0002,1,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,N,3,3050201,,,YES,YES,YES,0.592696,3:> 40% TAXA LOSS,3:> 20-50% TAXA LOSS,3: MOST DISTURBED,L0002,,
NLA06608-0002,2,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,N,3,3050201,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0003,1,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,N,12,12110111,,,YES,YES,YES,0.601566,2:> 20-40% TAXA LOSS,3:> 20-50% TAXA LOSS,3: MOST DISTURBED,L0004,,
NLA06608-0003,2,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,N,12,12110111,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0004,1,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,N,14,14080202,,,YES,YES,YES,1.032252,1:<= 20% TAXA LOSS,1:<= 10% TAXA LOSS,1:LEAST DISTURBED,L0006,,
NLA06608-0004,2,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,N,14,14080202,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,OE5 not calculated
NLA06608-0005,1,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,N,17,17060201,,,YES,YES,YES,0.98863,1:<= 20% TAXA LOSS,1:<= 10% TAXA LOSS,1:LEAST DISTURBED,L0008,,
NLA06608-0005,2,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,N,17,17060201,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,OE5 not calculated
NLA06608-0006,1,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,Y,1,1100005,,,YES,"YES, PARTIAL",YES,0.263796,9:NO DATA,9:NO DATA,9:NO DATA,L0010,X,No zooplankton data-- O/E value likely invalid
NLA06608-0006,2,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,Y,1,1100005,,,YES,"YES, PARTIAL",NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,No zooplankton data-- O/E value not calculated
NLA06608-0007,1,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,Y,7,7050007,,,YES,YES,YES,0.815667,1:<= 20% TAXA LOSS,2:> 10-20% TAXA LOSS,2:INTERMEDIATE DISTURBANCE,L0012,,
NLA06608-0007,2,PROB_Lake,Target_Sampled,Target,45.5806455,-92.040018,WI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_WI_(20,50]",0.00595348,166.3520122,159.855637,WI,NO,PLNLOW,UMW,51,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,REF,Y,7,7050007,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0008,1,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,N,7,7100008,,,YES,YES,YES,0.69845,2:> 20-40% TAXA LOSS,3:> 20-50% TAXA LOSS,3: MOST DISTURBED,L0014,,
NLA06608-0008,2,PROB_Lake,Target_Sampled,Target,41.292111,-93.5904049,IA,Region_7,"(20,50]",NESLake,NLALake,Panel_1,NESLake,0.12642225,7.83385336,3.3965736,IA,NO,PLNLOW,TPL,47,VI,Corn Belt and Northern Great Plains,VI,MAN-MADE,PLNLOW MAN-MADE,C,SO-SO,N,7,7100008,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0010,1,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,N,4,4090005,,,YES,YES,YES,1.04288,1:<= 20% TAXA LOSS,1:<= 10% TAXA LOSS,1:LEAST DISTURBED,L0017,,
NLA06608-0010,2,PROB_Lake,Target_Sampled,Target,42.6182301,-83.5058877,MI,Region_5,"(20,50]",,NLALake,Panel_1,"UMW_MI_(20,50]",0.00580105,170.7230091,81.5811743,MI_LP,YES,PLNLOW,UMW,56,VII,Mostly Glaciated Dairy Region,VII,NATURAL,PLNLOW NATURAL,C,SO-SO,N,4,4090005,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0012,1,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,Y,11,11050003,,,YES,YES,YES,0.753562,2:> 20-40% TAXA LOSS,3:> 20-50% TAXA LOSS,2:INTERMEDIATE DISTURBANCE,L0020,,
NLA06608-0012,2,PROB_Lake,Target_Sampled,Target,35.9907882,-96.8717873,OK,Region_6,"(50,100]",,NLALake,Panel_1,"SPL_OK_(50,100]",0.07881169,12.56632614,3.4512251,OK,NO,PLNLOW,SPL,27,V,South Central Cultivated Great Plains,V,MAN-MADE,PLNLOW MAN-MADE,C,TRASH,Y,11,11050003,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
NLA06608-0013,1,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,N,2,2040202,,,YES,YES,YES,0.631016,2:> 20-40% TAXA LOSS,3:> 20-50% TAXA LOSS,3: MOST DISTURBED,L0022,,
NLA06608-0013,2,PROB_Lake,Target_Sampled,Target,39.9742803,-74.5625512,NJ,Region_2,"(20,50]",,NLALake,Panel_1,"CPL_NJ_(20,50]",0.01630549,60.73864422,147.9090567,NJ,YES,PLNLOW,CPL,84,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,N,2,2040202,,,YES,NOT CALCULATED,NO,,9:NO DATA,9:NO DATA,9:NO DATA,,K,Littoral habitat data not collected. O/E value not calculated
