SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_OE5,INDXSAMP_OE5,OE5,FLAG_OE5,COMMENT_OE5,SAMPLED_ZOOP,SAMPLED_PHYT,WSA_ECO3,AREA_HA,SAMPLED_PHAB,SHORT_ID
NLA06608-0001,1,PROB_Lake,Target_Sampled,YES,YES,0.504031,,,YES,YES,WMTNS,66.2930555,YES,L0001
NLA06608-0002,1,PROB_Lake,Target_Sampled,YES,YES,0.592696,,,YES,YES,PLNLOW,14.43799807,YES,L0002
NLA06608-0002,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,14.43799807,YES,
NLA06608-0003,1,PROB_Lake,Target_Sampled,YES,YES,0.601566,,,YES,YES,PLNLOW,5.701736559,YES,L0004
NLA06608-0003,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,5.701736559,YES,
NLA06608-0004,1,PROB_Lake,Target_Sampled,YES,YES,1.032252,,,YES,YES,WMTNS,65.38630923,YES,L0006
NLA06608-0004,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,65.38630923,YES,
NLA06608-0005,1,PROB_Lake,Target_Sampled,YES,YES,0.98863,,,YES,YES,WMTNS,19.48761255,YES,L0008
NLA06608-0005,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,OE5 not calculated,YES,YES,WMTNS,19.48761255,YES,
NLA06608-0006,1,PROB_Lake,Target_Sampled,"YES, PARTIAL",YES,0.263796,X,No zooplankton data-- O/E value likely invalid,SAMPLE LOST,YES,EHIGH,56.19974819,YES,L0010
NLA06608-0006,2,PROB_Lake,Target_Sampled,"YES, PARTIAL",NO,,K,No zooplankton data-- O/E value not calculated,SAMPLE LOST,YES,EHIGH,56.19974819,YES,
NLA06608-0007,1,PROB_Lake,Target_Sampled,YES,YES,0.815667,,,YES,YES,PLNLOW,25.4747633,YES,L0012
NLA06608-0007,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,25.4747633,YES,
NLA06608-0008,1,PROB_Lake,Target_Sampled,YES,YES,0.69845,,,YES,YES,PLNLOW,48.7370362,YES,L0014
NLA06608-0008,2,PROB_Lake,Target_Sampled,NOT CALCULATED,NO,,K,Littoral habitat data not collected. O/E value not calculated,YES,YES,PLNLOW,48.7370362,YES,
NLA06608-0010,1,PROB_Lake,Target_Sampled,YES,YES,1.04288,,,YES,YES,PLNLOW,30.03733238,YES,L0017
