SITE_ID,YEAR,VISIT_NO,DATE_PROFILE,SAMPLED_PROFILE,DEPTH,METALIMNION,TEMP_FIELD,DO_FIELD,PH_FIELD,COND_FIELD,FLAG_PROFILE,COMMENT_PROFILE
NLA06608-0001,2007,1,7/31/2007,YES,0,,16.3,8.3,8.1,150,,
NLA06608-0001,2007,1,7/31/2007,YES,1,,16.3,8.2,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,2,,16.3,8.2,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,3,,16.3,8.2,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,4,,16.3,8.2,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,5,,16.3,8.2,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,6,,16.1,8.6,8.2,153,,
NLA06608-0001,2007,1,7/31/2007,YES,7,,10.7,10.8,8.4,144,,
NLA06608-0001,2007,1,7/31/2007,YES,8,,10.2,11,8.4,143,,
NLA06608-0002,2007,1,6/14/2007,YES,0,,29.19,,5.5,52.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,1,6/14/2007,YES,0.5,,24,,5.3,46.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,1,6/14/2007,YES,1,,21.9,,5.5,62,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,1,6/14/2007,YES,1.5,,18.8,,5.6,72.3,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,1,6/14/2007,YES,1.9,,17.2,,5.7,76.8,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,2,7/23/2007,YES,0,,25.6,,5.1,43.5,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,2,7/23/2007,YES,0.5,,25,,5.1,42.9,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0002,2007,2,7/23/2007,YES,0.8,,23.9,,5,51.7,K,DISSOLVED OXYGEN DATA NOT COLLECTED OR INVALID
NLA06608-0003,2007,1,8/29/2007,YES,0,,30.6,8.3,8.4,1132,,
NLA06608-0003,2007,1,8/29/2007,YES,0.5,,30.3,8.2,8.4,1134,,
NLA06608-0003,2007,1,8/29/2007,YES,1,,29.9,7.8,8.4,1128,,
NLA06608-0003,2007,1,8/29/2007,YES,1.5,,29.6,5.7,8.2,1120,,
NLA06608-0003,2007,1,8/29/2007,YES,2,T,29.4,4,8,1144,,
NLA06608-0003,2007,2,9/6/2007,YES,0,,30,9,8.4,1221,,
NLA06608-0003,2007,2,9/6/2007,YES,1,,29.9,9,8.4,1218.6,,
NLA06608-0003,2007,2,9/6/2007,YES,2,,29,4.1,8,1196.8,,
NLA06608-0004,2007,1,7/10/2007,YES,0,,20.6,6.7,8.2,296,,
NLA06608-0004,2007,1,7/10/2007,YES,1,,20.6,6.7,8.4,296,,
NLA06608-0004,2007,1,7/10/2007,YES,2,,20.5,6.6,8.4,296,,
NLA06608-0004,2007,1,7/10/2007,YES,3,,20.5,6.6,8.4,296,,
NLA06608-0004,2007,1,7/10/2007,YES,4,,20.4,6.5,8.4,296,,
NLA06608-0004,2007,1,7/10/2007,YES,5,T,20.1,5.4,8.2,296,,
NLA06608-0004,2007,1,7/10/2007,YES,5.7,B,19,2.2,7.8,296,,
NLA06608-0004,2007,2,9/11/2007,YES,0,,18.8,6.2,8.3,298,,
NLA06608-0004,2007,2,9/11/2007,YES,1,,18.8,6.1,8.4,299,,
NLA06608-0004,2007,2,9/11/2007,YES,2,,18.7,6,8.4,301,,
NLA06608-0004,2007,2,9/11/2007,YES,3,,18.7,6.1,8.4,302,,
NLA06608-0004,2007,2,9/11/2007,YES,4,,18.7,6.3,8.4,302,,
NLA06608-0004,2007,2,9/11/2007,YES,5,,18.6,6.2,8.4,303,,
NLA06608-0004,2007,2,9/11/2007,YES,5.5,,18.6,6.1,8.4,304,,
NLA06608-0005,2007,1,7/18/2007,YES,0,,20.1,8.12,7.51,40.1,,
NLA06608-0005,2007,1,7/18/2007,YES,1,,20.1,8.19,7.51,40.1,,
NLA06608-0005,2007,1,7/18/2007,YES,2,,20.1,7.82,7.51,40.1,,
NLA06608-0005,2007,1,7/18/2007,YES,3,,20.1,7.65,7.66,40.1,,
NLA06608-0005,2007,1,7/18/2007,YES,4,,20.1,7.66,8.02,40.1,,
NLA06608-0005,2007,1,7/18/2007,YES,5,,19.9,7.8,8.1,40.8,,
NLA06608-0005,2007,1,7/18/2007,YES,5.6,,19.9,7.8,8,40.8,,
NLA06608-0005,2007,2,8/22/2007,YES,0,,17.5,7.7,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,1,,17.6,7.7,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,2,,17.6,7.7,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,3,,17.6,7.7,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,4,,17.6,7.7,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,5,,17.6,7.6,8.3,54,,
NLA06608-0005,2007,2,8/22/2007,YES,6,,17.4,7.5,8.1,54,,
NLA06608-0005,2007,2,8/22/2007,YES,6.4,,17.3,7.4,8,54,,
NLA06608-0006,2007,1,7/17/2007,YES,0,,25.3,8.56,8.15,77,,
NLA06608-0006,2007,1,7/17/2007,YES,1,,25.3,8.56,8.15,77,,
NLA06608-0006,2007,1,7/17/2007,YES,2,,25.1,8.64,8.1,77,,
NLA06608-0006,2007,1,7/17/2007,YES,3,,25,8.55,8.1,77,,
NLA06608-0006,2007,1,7/17/2007,YES,4,T,24.5,8.83,8.1,77,,
NLA06608-0006,2007,1,7/17/2007,YES,5,,17.6,9.55,7.1,74,,
NLA06608-0006,2007,1,7/17/2007,YES,6,,14.2,7.76,6.8,72,,
NLA06608-0006,2007,1,7/17/2007,YES,7,,10.4,6.39,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,8,,8.4,6.58,6.5,72,,
NLA06608-0006,2007,1,7/17/2007,YES,9,B,7.54,7.48,6.5,73,,
NLA06608-0006,2007,1,7/17/2007,YES,10,,7.07,7.6,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,11,,6.79,7.64,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,12,,6.51,8.01,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,13,,6.33,8.11,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,14,,6.06,8,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,15,,5.94,7.8,6.6,74,,
NLA06608-0006,2007,1,7/17/2007,YES,16,,5.89,7.86,6.6,74,,
NLA06608-0006,2007,1,7/17/2007,YES,17,,5.81,7.99,6.6,73,,
NLA06608-0006,2007,1,7/17/2007,YES,18,,5.74,8.04,6.6,74,,
NLA06608-0006,2007,1,7/17/2007,YES,19,,5.7,7.67,6.6,74,,
NLA06608-0006,2007,1,7/17/2007,YES,20,,5.64,6.83,6.6,75,,
NLA06608-0006,2007,1,7/17/2007,YES,21,,5.55,6.21,6.5,75,,
NLA06608-0006,2007,1,7/17/2007,YES,22,,5.53,5.2,6.5,76,,
NLA06608-0006,2007,1,7/17/2007,YES,23,,5.51,4.45,6.5,77,,
NLA06608-0006,2007,1,7/17/2007,YES,24,,5.46,1.83,6.6,87,,
NLA06608-0006,2007,2,8/30/2007,YES,0,,24.7,8.84,7.85,83,,
NLA06608-0006,2007,2,8/30/2007,YES,1,,24.4,8.51,7.82,83,,
NLA06608-0006,2007,2,8/30/2007,YES,2,,24.3,8.49,7.8,82,,
NLA06608-0006,2007,2,8/30/2007,YES,3,,24.2,8.49,7.78,82,,
NLA06608-0006,2007,2,8/30/2007,YES,4,T,22.8,8.55,7.71,82,,
NLA06608-0006,2007,2,8/30/2007,YES,5,,20.7,7.07,7.3,81,,
NLA06608-0006,2007,2,8/30/2007,YES,6,,14.9,3.04,6.63,78,,
NLA06608-0006,2007,2,8/30/2007,YES,7,,10.7,3.22,6.51,77,,
NLA06608-0006,2007,2,8/30/2007,YES,8,,8.71,4.71,6.48,77,,
NLA06608-0006,2007,2,8/30/2007,YES,9,B,7.81,5.44,6.46,76,,
NLA06608-0006,2007,2,8/30/2007,YES,10,,7.26,5.68,6.46,77,,
NLA06608-0006,2007,2,8/30/2007,YES,11,,6.88,5.95,6.47,76,,
NLA06608-0006,2007,2,8/30/2007,YES,12,,6.66,6.24,6.48,77,,
NLA06608-0006,2007,2,8/30/2007,YES,13,,6.38,6.13,6.47,77,,
NLA06608-0006,2007,2,8/30/2007,YES,14,,6.22,6.13,6.47,77,,
NLA06608-0006,2007,2,8/30/2007,YES,15,,6.12,6.32,6.48,77,,
NLA06608-0006,2007,2,8/30/2007,YES,16,,6.06,6.31,6.48,77,,
NLA06608-0006,2007,2,8/30/2007,YES,17,,6,6.22,6.48,77,,
NLA06608-0006,2007,2,8/30/2007,YES,18,,5.92,5.8,6.45,77,,
NLA06608-0006,2007,2,8/30/2007,YES,19,,5.85,4.66,6.42,78,,
NLA06608-0006,2007,2,8/30/2007,YES,20,,5.78,4.08,6.38,78,,
NLA06608-0006,2007,2,8/30/2007,YES,21,,5.73,2.91,6.35,79,,
NLA06608-0006,2007,2,8/30/2007,YES,22,,5.7,1.74,6.35,81,,
NLA06608-0006,2007,2,8/30/2007,YES,23,,5.69,1.01,6.36,82,,
NLA06608-0006,2007,2,8/30/2007,YES,23.5,,5.67,0.62,6.48,87,,
NLA06608-0007,2007,1,7/24/2007,YES,0,,26.7,8.17,7.15,34.2,,
NLA06608-0007,2007,1,7/24/2007,YES,1,,26.4,8.12,7.14,35,,
NLA06608-0007,2007,1,7/24/2007,YES,2,,23.9,8.3,7.14,27.3,,
NLA06608-0007,2007,1,7/24/2007,YES,3,,23.7,8.09,7.11,27.2,,
NLA06608-0007,2007,1,7/24/2007,YES,4,,23.2,7.68,6.46,31.7,,
NLA06608-0007,2007,1,7/24/2007,YES,5,T,17.4,8.28,6.01,27.5,,
NLA06608-0007,2007,1,7/24/2007,YES,6,,12.4,7.58,5.87,28.9,,
NLA06608-0007,2007,1,7/24/2007,YES,7,,8.9,8.17,5.95,25.2,,
NLA06608-0007,2007,1,7/24/2007,YES,8,,6,7.88,5.9,23.3,,
NLA06608-0007,2007,1,7/24/2007,YES,9,,5.5,7.6,5.85,22.8,,
NLA06608-0007,2007,1,7/24/2007,YES,10,B,5.2,7.27,5.83,32.2,,
NLA06608-0007,2007,1,7/24/2007,YES,11,,5,6.67,5.76,30.8,,
NLA06608-0007,2007,1,7/24/2007,YES,12,,4.9,5.97,5.72,28.4,,
NLA06608-0007,2007,1,7/24/2007,YES,13,,4.9,5.43,5.63,32.4,,
NLA06608-0007,2007,1,7/24/2007,YES,14,,4.8,4.65,5.65,32.2,,
NLA06608-0007,2007,1,7/24/2007,YES,15,,4.8,3.92,5.62,33.3,,
NLA06608-0007,2007,1,7/24/2007,YES,16,,4.8,2,5.62,35.6,,
NLA06608-0007,2007,1,7/24/2007,YES,17,,4.8,1.05,5.63,34.4,,
NLA06608-0007,2007,1,7/24/2007,YES,18,,4.8,0.72,5.76,37.8,,
NLA06608-0007,2007,1,7/24/2007,YES,18.5,,4.8,0.71,5.76,39.4,,
NLA06608-0007,2007,2,9/6/2007,YES,0,,23.5,8.33,6.7,20.9,,
NLA06608-0007,2007,2,9/6/2007,YES,1,,23.5,8.3,6.8,20.8,,
NLA06608-0007,2007,2,9/6/2007,YES,2,,23.5,8.3,6.9,20.8,,
NLA06608-0007,2007,2,9/6/2007,YES,3,,22.6,8.7,7.3,20.5,,
NLA06608-0007,2007,2,9/6/2007,YES,4,,21.7,8.7,7.2,20.6,,
NLA06608-0007,2007,2,9/6/2007,YES,5,,19.7,6.9,5.9,20.8,,
NLA06608-0007,2007,2,9/6/2007,YES,6,,14.9,5,5.3,21.5,,
NLA06608-0007,2007,2,9/6/2007,YES,7,,9.3,5.3,5.3,21.5,,
NLA06608-0007,2007,2,9/6/2007,YES,8,,7,5.3,5.2,21.2,,
NLA06608-0007,2007,2,9/6/2007,YES,9,,5.8,4.7,5.2,21.4,,
NLA06608-0007,2007,2,9/6/2007,YES,10,,5.3,4.2,5.1,21.4,,
NLA06608-0007,2007,2,9/6/2007,YES,11,,5.1,3.9,5.2,21.6,,
NLA06608-0007,2007,2,9/6/2007,YES,12,,4.9,3.1,5.2,22,,
NLA06608-0007,2007,2,9/6/2007,YES,13,,4.9,2.6,5.2,23.1,,
NLA06608-0007,2007,2,9/6/2007,YES,14,,4.8,2.4,5.1,22.3,,
NLA06608-0007,2007,2,9/6/2007,YES,15,,4.8,1.6,5.2,22.4,,
NLA06608-0007,2007,2,9/6/2007,YES,16,,4.7,1.3,5.2,22.6,,
NLA06608-0007,2007,2,9/6/2007,YES,17,,4.7,1.1,5.2,22.7,,
NLA06608-0007,2007,2,9/6/2007,YES,18,,4.7,0.9,5.2,22.7,,
NLA06608-0007,2007,2,9/6/2007,YES,18.5,,4.7,0.8,5.2,22.9,,
NLA06608-0008,2007,1,7/12/2007,YES,0,,27.3,6.6,8.7,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,1,7/12/2007,YES,1,,27.3,6.2,8.7,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,1,7/12/2007,YES,2,T,27.2,5.8,8.7,,,
NLA06608-0008,2007,1,7/12/2007,YES,3,,24.5,0.2,7.4,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,1,7/12/2007,YES,4,,20.9,0.1,7.4,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,1,7/12/2007,YES,4.8,B,18,0.1,7.4,,,
NLA06608-0008,2007,2,8/22/2007,YES,0,,28.8,7.5,9.4,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,2,8/22/2007,YES,1,T,28.7,7.4,9.4,,,
NLA06608-0008,2007,2,8/22/2007,YES,2,,27.3,1.5,8.2,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,2,8/22/2007,YES,3,,26.3,0.5,7.8,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,2,8/22/2007,YES,4,,22,0.2,7.1,,K,CONDUCTIVITY DATA NOT COLLECTED OR INVALID
NLA06608-0008,2007,2,8/22/2007,YES,5,B,18.3,0.1,7,,,
NLA06608-0010,2007,1,7/17/2007,YES,0,,23.8,10,8.4,626,,
NLA06608-0010,2007,1,7/17/2007,YES,1,,23.8,9.9,8.4,626,,
NLA06608-0010,2007,1,7/17/2007,YES,2,,23.8,9.9,8.4,626,,
NLA06608-0010,2007,1,7/17/2007,YES,3,,23.8,9.8,8.4,626,,
NLA06608-0010,2007,1,7/17/2007,YES,4,,23.6,9.4,8.3,626,,
NLA06608-0010,2007,1,7/17/2007,YES,5,,23.2,8.5,8.2,631,,
NLA06608-0010,2007,1,7/17/2007,YES,6,T,21.8,8.6,8.1,658,,
NLA06608-0010,2007,1,7/17/2007,YES,7,,16.3,4,7.5,714,,
NLA06608-0010,2007,1,7/17/2007,YES,8,,14.5,1.3,7.4,718,,
NLA06608-0010,2007,1,7/17/2007,YES,9,B,10.9,0.4,7.2,715,,
NLA06608-0010,2007,1,7/17/2007,YES,10,,9.5,0.3,7.1,713,,
NLA06608-0010,2007,1,7/17/2007,YES,11,,8.8,0.2,7.1,723,,
