SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,TNT,LAT_DD,LON_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED,SAMPLED_CORE,INDXSAMP_CORE,INDXSAMP_LDC,SAMPLE_ID,SAMPLE_TYPE,PRIMESEDT,SAMPLE_CATEGORY,LDC_ADJ,LDC_COND
NLA06608-0001,1,PROB_Lake,Target_Sampled,Target,48.9790286,-114.0218399,MT,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_MT_(50,100]",0.02820818,35.10944309,7.594532,MT,NO,WMTNS,WMT,41,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,10,10010001,,,YES,NO,YES,YES,,,,,,4:NOT ASSESSED
NLA06608-0002,1,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES,YES (Top only),YES,YES,514187,SEDT,1,P,8.3991,1:LEAST DISTURBED
NLA06608-0002,2,PROB_Lake,Target_Sampled,Target,33.036064,-79.9837905,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES,YES (Top only),NO,NO,512917,SEDT,,P,-3.1937,1:LEAST DISTURBED
NLA06608-0003,1,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES,YES (Top only),YES,YES,509047,SEDT,1,P,11.783,1:LEAST DISTURBED
NLA06608-0003,2,PROB_Lake,Target_Sampled,Target,28.0477421,-97.8598661,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES,YES (Top only),NO,NO,514907,SEDT,,P,5.5854,1:LEAST DISTURBED
NLA06608-0004,1,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES,YES (Top only),YES,YES,508557,SEDT,1,P,-7.8229,2:INTERMEDIATE DISTURBANCE
NLA06608-0004,2,PROB_Lake,Target_Sampled,Target,37.4166201,-108.4045832,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES,YES (Top only),NO,NO,503317,SEDT,,P,-9.5081,2:INTERMEDIATE DISTURBANCE
NLA06608-0005,1,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES,YES (Both),YES,YES,502967,SEDT,1,P,2.4812,1:LEAST DISTURBED
NLA06608-0005,2,PROB_Lake,Target_Sampled,Target,43.9292093,-114.8403862,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES,YES (Both),NO,NO,511077,SEDT,,P,1.4,1:LEAST DISTURBED
NLA06608-0006,1,PROB_Lake,Target_Sampled,Target,41.6831462,-73.1465177,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES,YES (Both),YES,YES,508847,SEDT,1,P,-15.8486,2:INTERMEDIATE DISTURBANCE
