SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-0002,514187,1,YES,SEDT,P,1,8.399121001
NLA06608-0002,512917,2,NO,SEDT,P,,-3.193707718
NLA06608-0003,509047,1,YES,SEDT,P,1,11.7829658
NLA06608-0003,514907,2,NO,SEDT,P,,5.585403511
NLA06608-0004,508557,1,YES,SEDT,P,1,-7.822884403
NLA06608-0004,503317,2,NO,SEDT,P,,-9.50810032
NLA06608-0004,508537,2,NO,SEDT,D,,-3.528821608
NLA06608-0005,502967,1,YES,SEDT,P,1,2.481201139
NLA06608-0005,502968,1,YES,SEDB,P,,7.436478823
NLA06608-0005,511077,2,NO,SEDT,P,,1.399983523
NLA06608-0005,511078,2,NO,SEDB,P,,10.49402211
NLA06608-0006,508847,1,YES,SEDT,P,1,-15.84857408
NLA06608-0006,508848,1,YES,SEDB,P,,-5.935742733
NLA06608-0006,510047,2,NO,SEDT,P,,-12.15392212
NLA06608-0006,510048,2,NO,SEDB,P,,1.545075598
NLA06608-0007,505217,1,YES,SEDT,P,1,12.16478878
NLA06608-0007,505218,1,YES,SEDB,P,,5.13891629
NLA06608-0007,515807,2,NO,SEDT,P,,12.79049025
NLA06608-0007,515808,2,NO,SEDB,P,,7.869787275
NLA06608-0008,513447,1,YES,SEDT,P,1,-11.14887994
NLA06608-0008,513937,2,NO,SEDT,P,,-6.055455677
NLA06608-0010,503797,1,YES,SEDT,P,1,-14.62872109
NLA06608-0010,503798,1,YES,SEDB,P,,-1.497049308
NLA06608-0010,515417,2,NO,SEDT,P,,-21.84299552
NLA06608-0010,515418,2,NO,SEDB,P,,-6.692597616
NLA06608-0012,502617,1,YES,SEDT,P,1,2.604217349
NLA06608-0012,516817,2,NO,SEDT,P,,-19.75225622
NLA06608-0013,517188,1,YES,SEDT,P,1,3.234844706
NLA06608-0014,512407,1,YES,SEDT,P,1,-24.79648802
NLA06608-0014,512408,1,YES,SEDB,P,,-28.29018366
NLA06608-0014,503247,2,NO,SEDT,P,,-25.87042304
NLA06608-0015,504787,1,YES,SEDT,P,1,-8.524399685
NLA06608-0015,507688,2,NO,SEDT,P,,2.779119809
NLA06608-0015,510098,2,NO,SEDT,D,,3.343553368
NLA06608-0016,514467,1,YES,SEDT,P,1,-6.594157904
NLA06608-0016,505407,2,NO,SEDT,P,,-15.40496847
NLA06608-0019,502678,1,YES,SEDT,P,1,-35.87981714
NLA06608-0019,502677,1,YES,SEDB,P,,-31.73901192
NLA06608-0019,504738,2,NO,SEDT,P,,-36.68068058
NLA06608-0019,504737,2,NO,SEDB,P,,-25.08377982
NLA06608-0020,517807,1,YES,SEDT,P,1,-7.790334981
NLA06608-0021,504667,2,YES,SEDT,P,2,-22.62978186
NLA06608-0021,504668,2,YES,SEDB,P,,-13.92457186
NLA06608-0023,508957,1,YES,SEDT,P,1,-1.979565853
NLA06608-0023,516887,2,NO,SEDT,P,,-1.887961497
NLA06608-0024,514777,1,YES,SEDT,P,1,-20.55154134
NLA06608-0024,504167,2,NO,SEDT,P,,-5.340988317
NLA06608-0025,514337,1,YES,SEDT,P,1,6.975770905
NLA06608-0025,509417,2,NO,SEDT,P,,-3.912789352
NLA06608-0029,505097,1,YES,SEDT,P,1,2.519465
NLA06608-0029,505098,1,YES,SEDB,P,,18.36957312
NLA06608-0029,505358,2,NO,SEDT,P,,10.12985039
NLA06608-0029,505138,2,NO,SEDB,P,,6.847707008
NLA06608-0031,515047,1,YES,SEDT,P,1,-19.95346932
NLA06608-0031,509328,2,NO,SEDT,P,,-25.70185447
NLA06608-0033,506238,1,YES,SEDT,P,1,-6.971657262
NLA06608-0033,506237,1,YES,SEDB,P,,-5.439334036
NLA06608-0033,517707,2,NO,SEDT,P,,-9.379853228
NLA06608-0033,517708,2,NO,SEDB,P,,-7.857600265
NLA06608-0037,508837,1,YES,SEDT,P,1,-32.03568745
NLA06608-0037,508838,1,YES,SEDB,P,,-17.12990591
NLA06608-0037,517837,2,NO,SEDT,P,,-28.13705308
NLA06608-0037,517838,2,NO,SEDB,P,,-16.43118338
NLA06608-0038,505567,1,YES,SEDT,P,1,13.38236195
NLA06608-0038,505568,1,YES,SEDB,P,,6.060361225
NLA06608-0038,509087,2,NO,SEDT,P,,1.938382295
NLA06608-0038,509088,2,NO,SEDB,P,,3.286890827
NLA06608-0041,502587,1,YES,SEDT,P,1,4.174238562
NLA06608-0041,502498,2,NO,SEDT,P,,8.477816066
NLA06608-0042,505927,1,YES,SEDT,P,1,-12.70933464
NLA06608-0042,511667,2,NO,SEDT,P,,-7.93239933
NLA06608-0043,512707,1,YES,SEDT,P,1,-7.666143488
NLA06608-0043,512708,1,YES,SEDB,P,,0.082326749
NLA06608-0043,513107,2,NO,SEDT,P,,-15.62380839
NLA06608-0043,513108,2,NO,SEDB,P,,4.988591533
NLA06608-0044,503707,1,YES,SEDT,P,1,-24.09948681
NLA06608-0044,514468,1,YES,SEDB,P,,-17.48468723
NLA06608-0044,513707,2,NO,SEDT,P,,-15.34346007
NLA06608-0044,513708,2,NO,SEDB,P,,-17.1585893
NLA06608-0045,505707,1,YES,SEDT,P,1,-3.065625952
NLA06608-0045,502077,2,NO,SEDT,P,,0.135152746
NLA06608-0048,513007,1,YES,SEDT,P,1,-14.92214518
NLA06608-0048,513008,1,YES,SEDB,P,,-36.86537982
NLA06608-0048,510547,2,NO,SEDT,P,,-19.74564721
NLA06608-0048,510548,2,NO,SEDB,P,,-27.43031197
NLA06608-0049,509747,1,YES,SEDT,P,1,8.15040067
NLA06608-0050,508677,1,YES,SEDT,P,1,-2.067437857
NLA06608-0050,508678,1,YES,SEDB,P,,-4.3896045
NLA06608-0050,511067,2,NO,SEDT,P,,2.351415444
NLA06608-0050,511068,2,NO,SEDB,P,,2.707112345
NLA06608-0053,506807,1,YES,SEDT,P,1,-5.256123824
NLA06608-0053,506808,1,YES,SEDB,P,,6.716003009
NLA06608-0053,517547,2,NO,SEDT,P,,-12.37470085
NLA06608-0053,517548,2,NO,SEDB,P,,-17.09461608
NLA06608-0057,514817,1,YES,SEDT,P,1,-23.64252375
NLA06608-0057,506877,2,NO,SEDT,P,,-15.32904042
NLA06608-0057,507297,2,NO,SEDT,D,,-11.9813201
NLA06608-0061,502437,1,YES,SEDT,P,1,5.660096572
