SITE_ID,VISIT_NO,SAMPLED_CORE,DATECORE,SAMPLED_INF,INDXSAMP_INF,SAMPLE_CATEGORY,SAMPLE_ID_TOP,SAMPLE_ID_BOT,FLAG_FLD_CORE,COMMENT_FLD_CORE,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,CORE_LENGTH,CORE_CONFIDENCE,COMMENT_CONFIDENCE,SITE_TYPE,LAKE_SAMP,LAKE_ORIGIN
NLA06608-0001,1,NO,,NO CORE SAMPLE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0002,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0002,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0003,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0003,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0004,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0004,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0005,1,YES (Both),7/18/2007,YES,YES,P,502967,502968,IM,CORE LENGTH AND BOTTOM INTERVALS NOT RECORDED,7.951140874,18.68379447,-10.73265359,Yes,197.0682117,222.1782183,-25.11000663,Yes,61.50524457,59.63885735,1.866387223,Yes,7.913622887,7.773034146,0.140588741,No,,NO,?No depth inf; little dist; OK in core long enough,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0005,2,YES (Both),8/22/2007,NO LAB DATA,NO,P,511077,511078,,,,,,,,,,,,,,,,,,,35.2,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0006,1,YES (Both),7/17/2007,YES,YES,P,508847,508848,,,8.74742,3.772565266,4.974854734,Yes,368.8574661,167.0288021,201.828664,Yes,120.1349425,52.14268948,67.99225306,Yes,7.811089468,7.514697719,0.296391749,No,39.5,UNCERTAIN,"Reservior, creation date unknown",PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0006,2,YES (Both),8/30/2007,NO LAB DATA,NO,P,510047,510048,,,,,,,,,,,,,,,,,,,43,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0007,1,YES (Both),7/24/2007,YES,YES,P,505217,505218,,,6.296709807,7.502537209,-1.205827402,No,407.553267,409.648,-2.094733015,Yes,45.31997997,39.40059023,5.919389735,Yes,7.131703581,6.981378521,0.15032506,No,23.5,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0007,2,YES (Both),9/6/2007,NO LAB DATA,NO,P,515807,515808,,,,,,,,,,,,,,,,,,,17.5,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0008,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0008,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0010,1,YES (Both),7/17/2007,YES,YES,P,503797,503798,,,11.14017503,9.066460686,2.073714347,Yes,708.9987404,398.605,310.3937404,Yes,523.5338739,230.3259013,293.2079726,Yes,8.517787546,8.387290475,0.130497071,No,57,YES,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0010,2,YES (Both),8/18/2007,NO LAB DATA,NO,P,515417,515418,,,,,,,,,,,,,,,,,,,37.5,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0012,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0012,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0013,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0013,2,NO,,NO CORE SAMPLE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0014,1,YES (Both),8/6/2007,YES,YES,P,512407,512408,,,586.1050192,210.1702135,375.9348057,Yes,7423.480402,3150.94421,4272.536192,Yes,42385.20988,3422.342594,38962.86729,Yes,8.290952406,8.874097902,-0.583145496,No,25,UNCERTAIN,"Ag, row crops, but lots non-ag as well, but proba",PROB_Lake,Target_Sampled,NATURAL
NLA06608-0014,2,YES (Lost sample),8/23/2007,YES (LOST SAMPLE),NO,P,503247,503248,K,NO LAB DATA AVAILABLE,,,,,,,,,,,,,,,,,25,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0015,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0015,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0016,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0016,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0019,1,YES (Both),6/11/2007,YES,YES,P,502678,502677,,,345.728358,315.3133049,30.41505309,Yes,3616.229541,3831.354087,-215.1245454,Yes,2276.357915,3304.067329,-1027.709414,Yes,8.647922229,8.765858929,-0.1179367,No,25,NO,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0019,2,YES (Both),8/7/2007,NO LAB DATA,NO,P,504738,504737,,,,,,,,,,,,,,,,,,,32,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0020,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0020,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0021,1,NO,,NO CORE SAMPLE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0021,2,YES (Both),8/30/2007,NO LAB DATA,YES,P,504667,504668,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",,,,,,,,,,,,,,,,,44.5,,,PROB_Lake,Target_Sampled,NATURAL
NLA06608-0023,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0023,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0024,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0024,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0025,1,YES (Top only),,NOT DONE,YES,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
NLA06608-0025,2,YES (Top only),,NOT DONE,NO,,,,,,,,,,,,,,,,,,,,,,,,,PROB_Lake,Target_Sampled,MAN-MADE
