SITE_ID,VISIT_NO,SAMPLED_INF,INDXSAMP_INF,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,CORE_CONFIDENCE,SAMPLED,SITE_TYPE,LAKE_SAMP,TNT,LON_DD,LAT_DD,ST,EPA_REG,AREA_CAT7,NESLAKE,STRATUM,PANEL,DSGN_CAT,MDCATY,WGT,WGT_NLA,ADJWGT_CAT,URBAN,WSA_ECO3,WSA_ECO9,ECO_LEV_3,NUT_REG,NUTREG_NAME,ECO_NUTA,LAKE_ORIGIN,ECO3_X_ORIGIN,REF_CLUSTER,RT_NLA,HUC_2,HUC_8,FLAG_INFO,COMMENT_INFO,SAMPLED_CORE,PTL_INF_COND,PTL_INF_COND3,NTL_INF_COND,NTL_INF_COND3
NLA06608-0001,1,NO CORE SAMPLE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-114.0218399,48.9790286,MT,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_MT_(50,100]",0.02820818,35.10944309,7.594532,MT,NO,WMTNS,WMT,41,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,10,10010001,,,NO,02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0002,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-79.9837905,33.036064,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0002,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-79.9837905,33.036064,SC,Region_4,"(10,20]",,NLALake,Panel_1,"CPL_SC_(10,20]",0.00817201,121.1909255,60.6542271,SC,YES,PLNLOW,CPL,63,XIV,Eastern Coastal Plain,CPL,MAN-MADE,PLNLOW MAN-MADE,D,SO-SO,3,3050201,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0003,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.8598661,28.0477421,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0003,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-97.8598661,28.0477421,TX,Region_6,"(4,10]",,NLALake,Panel_1,"(4,10]",0.00131289,754.345388,210.5049403,TX,YES,PLNLOW,CPL,34,X,Texas-Louisiana Coastal and Mississippi Alluvial Plains,CPL,NATURAL,PLNLOW NATURAL,D,TRASH,12,12110111,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0004,1,NOT DONE,YES,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-108.4045832,37.4166201,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0004,2,NOT DONE,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-108.4045832,37.4166201,CO,Region_8,"(50,100]",,NLALake,Panel_1,"WMT_CO_(50,100]",0.04653754,21.28117139,9.1719403,CO,YES,WMTNS,WMT,21,II,Western Forested Mountains,II,MAN-MADE,WMTNS MAN-MADE,G,SO-SO,14,14080202,,,YES (Top only),00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED,00:NOT ASSESSED
NLA06608-0005,1,YES,YES,7.95,18.68,-10.73,Yes,197.07,222.18,-25.11,Yes,NO,YES,PROB_Lake,Target_Sampled,Target,-114.8403862,43.9292093,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
NLA06608-0005,2,NO LAB DATA,NO,,,,,,,,,,YES,PROB_Lake,Target_Sampled,Target,-114.8403862,43.9292093,ID,Region_10,"(10,20]",,NLALake,Panel_1,"WMT_ID_(10,20]",0.02042964,48.47728408,15.0273851,ID,NO,WMTNS,WMT,16,II,Western Forested Mountains,II,NATURAL,WMTNS NATURAL,F,REF,17,17060201,,,YES (Both),02:NO DATA,02:NO DATA,02:NO DATA,02:NO DATA
NLA06608-0006,1,YES,YES,8.75,3.77,4.97,Yes,368.86,167.03,201.83,Yes,UNCERTAIN,YES,PROB_Lake,Target_Sampled,Target,-73.1465177,41.6831462,CT,Region_1,"(50,100]",,NLALake,Panel_1,"NAP_CT_(50,100]",0.05700922,17.3721618,19.5774988,CT,YES,EHIGH,NAP,59,XIV,Eastern Coastal Plain,CPL,MAN-MADE,EHIGH MAN-MADE,B,REF,1,1100005,,,YES (Both),01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.,01:INSUFF. CORE LEN.
