VARNUM	NAME	LABEL	TYPE	LENGTH
1	SITE_ID	ID Assigned to Each Site	2	50
2	VISIT_NO	Sequential Visit Number Within Year	1	
3	SAMPLED_CORE	Sediment core sample collected?	2	20
4	DATECORE	Date sediment core sample collected	1	
5	SAMPLED_INF	"Sediment core samples (Top, Bottom) used for diatom-inferred chemistry?"	2	20
6	INDXSAMP_INF	Index sample for site (YES/NO); typically visit 1)	2	3
7	SAMPLE_CATEGORY	(P)rimary or Field (D)uplicate	2	4
8	SAMPLE_ID_TOP	Sample ID number (top slice)	1	
9	SAMPLE_ID_BOT	Sample ID number (bottom slice)	1	
10	FLAG_FLD_CORE	Field data qualifier flags for sediment core samples	2	8
11	COMMENT_FLD_CORE	Comments and field flag explanations for sediment core samples	2	1000
12	PTL_INF_TOP	Diatom-inferred Total Phosphorus in top core sample based on jackknifed values (ug/L)	1	
13	PTL_INF_BOT	Diatom-inferred Total Phosphorus in bottom core sample based on jackknifed values (ug/L)	1	
14	PTL_INF_DIF	Difference (Top - Bottom) in Diatom-inferred Total Phosphorus (ug/L)	1	
15	PTL_SIGTEST	Is PTL_INF_DIF significantly different from 0? (Yes/No)	2	3
16	NTL_INF_TOP	Diatom-inferred Total Nitrogen in top core sample based on jackknifed values (ug/L)	1	
17	NTL_INF_BOT	Diatom-inferred Total Nitrogen in bottom core sample based on jackknifed values (ug/L)	1	
18	NTL_INF_DIF	Difference (Top - Bottom) in Diatom-inferred Total Nitrogen (ug/L)	1	
19	NTL_SIGTEST	Is NTL_INF_DIF significantly different from 0? (Yes/No)	2	3
20	COND_INF_TOP	Diatom-inferred Conductivity in top core sample based on jackknifed values (uS/cm)	1	
21	COND_INF_BOT	Diatom-inferred Conductivity in bottom core sample based on jackknifed values (uS/cm)	1	
22	COND_INF_DIF	Difference (Top - Bottom) in Diatom-inferred Conductivity (uS/cm)	1	
23	COND_SIGTEST	Is COND_INF_DIF significantly different from 0? (Yes/No)	2	3
24	PH_INF_TOP	Diatom-inferred pH in top core sample based on jackknifed values	1	
25	PH_INF_BOT	Diatom-inferred pH in bottom core sample based on jackknifed values	1	
26	PH_INF_DIF	Difference (Top - Bottom) in Diatom-inferred pH	1	
27	PH_SIGTEST	Is PH_INF_DIF significantly different from 0? (Yes/No)	2	3
28	CORE_LENGTH	Length of sediment core (cm)	1	
29	CORE_CONFIDENCE	Does bottom slice represent pre-disturbance conditions? (YES/NO/UNCERTAIN)	2	9
30	COMMENT_CONFIDENCE	Comment for CORE_CONFIDENCE	2	50
31	SITE_TYPE	PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake	2	10
32	LAKE_SAMP	"Eval. status. _Denied (access denied). _Inaccess (physically inaccessible). _Other. _LT_4ha (< 4ha). _Shallow (< 1m deep). _Vegetated (< 1000 m2 open H2O). _Saline (tidal). Special_Purpose (aquacult., disposal, WWT, or evap.). Not_Lake (other)"	2	20
33	LAKE_ORIGIN	"Lake origin (MAN-MADE, NATURAL [which includes natural lakes augmented by dams])"	2	9
