SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_CORE,DATECORE,INDXSAMP_CORE,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_CLASS,CORE_LENGTH,INTERVAL_FROM,INTERVAL_TO,FLAG_FLD_CORE,COMMENT_FLD_CORE,DATATYPE,VISIT_ID
NLA06608-0001,1,PROB_Lake,Target_Sampled,NO,,YES,,,,,,,,K,NO CORE SAMPLE COLLECTED,CORE,
NLA06608-0002,1,PROB_Lake,Target_Sampled,YES (Top only),6/14/2007,YES,P,514187,SEDT,TOP,35,0,1,,,CORE,7469
NLA06608-0002,2,PROB_Lake,Target_Sampled,YES (Top only),7/23/2007,NO,P,512917,SEDT,TOP,19,0,1,,,CORE,7470
NLA06608-0003,1,PROB_Lake,Target_Sampled,YES (Top only),8/29/2007,YES,P,509047,SEDT,TOP,37,0,1,,,CORE,7471
NLA06608-0003,2,PROB_Lake,Target_Sampled,YES (Top only),9/6/2007,NO,P,514907,SEDT,TOP,14,0,1,IM,CORE LENGTH CHANGED (0.14)-PRESUMED RECORDED AS M,CORE,7472
NLA06608-0004,1,PROB_Lake,Target_Sampled,YES (Top only),7/10/2007,YES,P,508557,SEDT,TOP,42.4,0,1,,,CORE,7473
NLA06608-0004,2,PROB_Lake,Target_Sampled,YES (Top only),9/11/2007,NO,P,503317,SEDT,TOP,49.4,0,1,,,CORE,7474
NLA06608-0004,2,PROB_Lake,Target_Sampled,YES (Top only),9/11/2007,NO,D,508537,SEDT,TOP,46.4,0,1,,,CORE,7474
NLA06608-0005,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,502967,SEDT,TOP,,0,1,IM,CORE LENGTH NOT RECORDED,CORE,7475
NLA06608-0005,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,502968,SEDB,BOT,,,,IM,CORE LENGTH AND BOTTOM INTERVALS NOT RECORDED,CORE,7475
