VARNUM	NAME	LABEL	TYPE	LENGTH
1	SITE_ID	Unique site identification number	2	24
2	VISIT_NO	Lake visit number. 1-1st field sampling visit; 2-2nd field sampling visit	1	
3	SITE_TYPE	PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake	2	9
4	LAKE_SAMP	Evaluation status	2	20
5	SAMPLED_CORE	Sediment core sample collected?	2	20
6	DATECORE	Date sediment core sample collected	1	
7	INDXSAMP_CORE	Index sediment core sample for site (YES/NO)-typically the Visit 1 Primary sample	2	3
8	SAMPLE_CATEGORY	(P)rimary or Field (D)uplicate	2	4
9	SAMPLE_ID	Sample ID number	1	
10	SAMPLE_TYPE	4 character code for type of sample taken	2	4
11	SAMPLE_CLASS	Sediment sample from SED/TOP/BOTTOM	2	3
12	CORE_LENGTH	Length of sediment core (cm)	1	
13	INTERVAL_FROM	Depth of the bottom of the sediment core slice	1	
14	INTERVAL_TO	End of sediment core	1	
15	FLAG_FLD_CORE	Field data qualifier flags for sediment core samples	2	8
16	COMMENT_FLD_CORE	Comments and field flag explanations for sediment core samples	2	1000
17	DATATYPE	Type of data	2	4
18	VISIT_ID	ID of site visit	1	
