SITE_ID,VISIT_NO,INDXSAMP_INF,CORE_CONFIDENCE,COMMENT_CONFIDENCE,NUT_REG_INF,NUT_REG,LAKE_ORIGIN,LAKE_ORIGIN_INF,REF_CLUSTER,WSA_ECO9,SITE_TYPE,ST,LAKENAME,RT_NLA,PH_FIELD,COND,NTL,PTL,DOC,PTL_INF_TOP,PTL_INF_BOT,PTL_INF_DIF,PTL_SIGTEST,NTL_INF_TOP,NTL_INF_BOT,NTL_INF_DIF,NTL_SIGTEST,COND_INF_TOP,COND_INF_BOT,COND_INF_DIF,COND_SIGTEST,PH_INF_TOP,PH_INF_BOT,PH_INF_DIF,PH_SIGTEST,ELEV_PT,DOM_GEOL,ECO3_PT,LAKEAREA_KM2,BASINAREA_KM2,BASIN_LAKE_RATIO,PC_DISTOT,PC_URB,PC_URB_INT,PC_CROP,PC_AG,PC_WET
NLA06608-0005,1,YES,NO,?No depth inf; little dist; OK in core long enough,2,II,Natural,1,F,WMT,PROB_Lake,ID,,REF,7.905,54,76.5,3.5,1.45,7.951140874,18.68379447,-10.73265359,Yes,197.0682117,222.1782183,-25.11000663,Yes,61.50524457,59.63885735,1.866387223,Yes,7.913622887,7.773034146,0.140588741,No,207.23,Sedimentary,47,12.4145445,8067.741708,649.8620799,0.024116757,0,0,0.005742085,0.024116757,2.103899983
NLA06608-0019,1,YES,NO,,5,V,Natural,1,E,NPL,PROB_Lake,ND,Doyles Lake,TRASH,8.71,3638.5,6812.5,1088.5,44.99,345.728358,315.3133049,30.41505309,Yes,3616.229541,3831.354087,-215.1245454,Yes,2276.357915,3304.067329,-1027.709414,Yes,8.647922229,8.765858929,-0.1179367,No,405.58,Granitic,51,0.152656489,22.31798124,146.1973963,32.05138266,3.097068039,0.175573223,10.74268213,28.95431462,1.575796943
NLA06608-0044,1,YES,NO,Road built along shore,4,IV,Natural,1,E,SPL,PROB_Lake,NE,,TRASH,8.55,290.5,5424.5,562,16.68,270.4481377,186.9441516,83.50398606,Yes,2552.090497,2472.157477,79.93302049,Yes,335.1029314,493.1437512,-158.0408198,Yes,8.741437316,8.838653261,-0.097215944,No,1562.41,Sedimentary,25,1.898165636,13.81937163,7.280382371,0.20118549,0.20118549,0.026692915,0,0,4.831911953
NLA06608-0062,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,9.05,3862.5,2823.5,136,28.53,179.1331669,369.1698966,-190.0367297,Yes,3036.620406,3643.818826,-607.1984197,Yes,4550.448073,3152.331392,1398.116682,Yes,8.921446518,8.925266925,-0.003820408,No,1709.58,Volcanic,5,3.858957067,426.6587385,110.563225,23.145961,2.563596104,0,19.36802989,20.58236489,3.557142919
NLA06608-0073,2,YES,NO,"Reservoir, shallow core",3,III,Man-made,2,G,XER,PROB_Lake,NV,Soda Lake,TRASH,9.45,26720,1402.5,4772,22.25,683.6189792,265.4689235,418.1500558,Yes,3942.249753,1841.164339,2101.085415,Yes,1032.62014,834.3220227,198.298117,Yes,8.887481937,8.681099431,0.206382506,No,1441,Sedimentary,18,77.64919182,19953.89549,256.9749282,4.79337065,4.79337065,1.369534471,0,0,1.685580888
NLA06608-0124,1,YES,NO,Several signs of watershed dist; ag and grazing?,4,IV,Natural,1,E,SPL,PROB_Lake,NE,North Twin Lake,SO-SO,9.5,7382,340,213,290.57,405.517431,759.8776552,-354.3602243,Yes,5523.183118,6696.867877,-1173.684758,Yes,2623.204678,978.7208758,1644.483802,Yes,9.706160622,9.047619436,0.658541186,Yes,551.86,Sedimentary,69,0.181703168,25.02461963,137.7225279,0,0,0,0,0,4.633897968
NLA06608-0126,1,YES,NO,,5,V,Natural,1,E,NPL,PROB_Lake,ND,,TRASH,9.05,1488,6373.5,555.5,31.03,500.6388895,563.3667833,-62.72789381,Yes,5326.910946,4903.674102,423.2368447,Yes,1397.715311,638.265503,759.4498077,Yes,8.561977302,8.920760467,-0.358783165,No,599.28,Sedimentary,42,0.153270818,16.26981932,106.1507958,78.36526482,2.594876319,0,75.7703885,75.7703885,1.124446405
NLA06608-0195,1,YES,NO,Short core,5,V,Natural,1,E,NPL,PROB_Lake,ND,,SO-SO,8.35,1120,1955,447,16.66,293.205016,563.019195,-269.814179,Yes,2621.651359,5112.113036,-2490.461677,Yes,1704.077384,3670.070092,-1965.992708,Yes,8.466125154,8.821543444,-0.35541829,No,178.4,Granitic,59,1.257232953,5.39113596,4.28809629,74.35883114,9.079362689,4.367288382,65.27946845,65.27946845,7.700218989
NLA06608-0222,1,YES,NO,Short core,5,V,Man-made,2,E,NPL,PROB_Lake,ND,Tioga Dam,SO-SO,8.6,1705,2008,114,22.93,177.000598,166.2482156,10.75238244,Yes,2870.289948,1377.217656,1493.072292,Yes,820.8420578,557.5477105,263.2943473,Yes,8.774725691,8.524567311,0.25015838,No,256.59,Granitic,51,0.834867672,4.74525223,5.683837558,69.09642188,6.166136931,0.198268069,62.93028495,62.93028495,3.330903551
NLA06608-0226,1,YES,NO,"Reservoir, core too short",14,XIV,Man-made,2,B,NAP,PROB_Lake,NH,,SO-SO,6.3,51,328,8,3.69,9.13283,7.83597078,1.29685922,No,343.9764076,271.3245674,72.65184022,Yes,41.82189161,28.68345165,13.13843996,Yes,6.687514227,6.614330356,0.073183871,No,429.56,Sedimentary,29,0.091270622,6.950936038,76.15743033,19.4456396,19.4456396,4.077311529,0,0,3.763672181
