SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,AREA_HA,SAMPLED_ASSESS,DATE_ASSESS,RES_RESIDENCES,RES_LAWNS,RES_CONSTRUCTION,RES_PIPES,RES_DUMPING,RES_ROADS,RES_BRIDGES,RES_SEWAGE,RES_STRING,REC_TRAILS,REC_PARKS,REC_PRIMITIVE,REC_RESORTS,REC_MARINAS,REC_TRASH,REC_FILMS,REC_STRING,AGR_CROPLAND,AGR_PASTURE,AGR_LIVESTOCK,AGR_ORCHARDS,AGR_POULTRY,AGR_FEEDLOT,AGR_WITHDRAWL,AGR_STRING,IND_INDUSTRIAL,IND_MINES,IND_OIL,IND_POWER,IND_LOGGING,IND_FIRE,IND_ODORS,IND_COMMERCIAL,IND_STRING,MAN_LIMING,MAN_TREATMENT,MAN_ANGLING,MAN_DRINKING_WATER,MAN_MACROPHYTE,MAN_LEVEL_FLUCTUATIONS,MAN_FISH_STOCKING,MAN_STRING,RES_SCORE,REC_SCORE,AGR_SCORE,IND_SCORE,MAN_SCORE,HYDRO_TYPE,OUTLET_DAMS,FLIGHT_HAZARDS,MBOAT_DENSITY,SWIMMABILITY,LAKE_LEVEL,LEVEL_CHANGES,RCH_FOREST,RCH_GRASS,RCH_SHRUB,RCH_WETLAND,RCH_BARE_GROUND,RCH_AGRICULTURE,RCH_SHOREMODS,RCH_DEVELOPMENT,MACRY_FLOAT,MACRY_SUBMERGED,MACRY_DENSITY,PRISTINE,APPEALING,BIOTIC_INTEGRITY,TROPHIC_STATE,RECREATIONAL_VALUE,GENERAL_ASSESSMENT,WILDLIFE,VISUAL_ASSESSMENT,ALGAL_ABUNDANCE,NUTRIENT_SOURCES,TROPHIC_OTHER,CONDITIONS,OBSERVATIONS,FLAG_ASSESS,COMMENT_ASSESS,PHOTOGRAPHS
NLA06608-0001,1,PROB_Lake,Target_Sampled,66.2930555,YES,7/31/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,DRAINAGE,NONE,NO,BANNED,GOOD,NO,,05-25,05-25,75-100,,05-25,,,,,,ABSENT,5,5,EXCELLENT,OLIGOTROPHIC,EXCELLENT,"PRISTINE, ALPINE LAKE IN WILDERNESS",,VERY CLEAR,VERY LITTLE GREEN ALGAE,,,NO LOCAL CONTACTS,BACK COUNTRY LAKE THAT IS PRISTINE.,,DUE TO SHORE LINE STEEPINESS SITE J WAS NOT SAMPLED. THE PROPORTION OF DISTANCES BETWEEN PHSICAL HABITAT SITES WAS DECREASED DUE TO SHORELINE CONDITIONS. THE SOUTH SHORE WAS NOT SAMPLED BECAUSE OF THIS. INDEX SITE WAS SAMPLED AT AN ACCESSIBLE LOCATION. WATER SURFACE VERY ROUGH (WHITECAPS).,N
NLA06608-0002,1,PROB_Lake,Target_Sampled,14.43799807,YES,6/14/2007,,,,,,L,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,RESERVOIR,ARTIFICIAL,NO,BANNED,UNSWIMMABLE,NO,,25-75,05-25,05-25,25-75,0-05,0-05,0-05,,75-100,0-05,HIGH,5,2,EXCELLENT,MESOTROPHIC,GOOD,NO IMPACTS NEAR LAKE.,"GREEN HERON, ALLIGATOR, NUMEROUS FROGS","SHALLOW, CLEAN, DENSELY VEGETATED BLACKWATER LAKE.",NONE OBSERVED,UNKNOWN,,DUCK HUNTING IS PRIMARY RECREATION. VEG TOO DENSE FOR SWIMMING AND FISHING AND GENERAL BOATING.,PRIVATE TIMBER FARM. SMALL DOCK PRESENT.,,,Y
NLA06608-0002,2,PROB_Lake,Target_Sampled,14.43799807,YES,7/23/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,H,,,HM,,,,,,,,,0,0,0,8,0,RESERVOIR,ARTIFICIAL,NO,RESTRICTED,UNSWIMMABLE,YES,0.1,75-100,0-05,,05-25,,,0-05,,75-100,0-05,HIGH,4,3,GOOD,EUTROPHIC,POOR,LOCATED IN TIMBER FARM. VERY LARGE AMOUNT OF EMERGENT MACROPHYTES. LITTLE WILD LIFE OBSERVED.,"MINNOWS, CATTLE EGRET",MODERATE TO HIGH BIOMASS,MODERATE TO HIGH ALGAL ABUNDANCE (CHLOROPHYLL A - 150ML),SITE LOCATED IN TIMBER FARM.,,MAJORITY OF LAKE 2 METERS OR LESS IN DEPTH. LAKE IS HEAVILY INUNDATED WITH MACRO. DIFFICULT TO NAVIGATE. ALLIGATORS PRESENT IN LAKE.,PRIVATE LAKE NOT ACCESSIBLE TO PUBLIC. LOOKS TO BE USED FOR DUCK HUNTING. SMALL DOCK LOCATED ON SOUTH SHORE. NO HEALTH CONCERNS.,,,N
NLA06608-0003,1,PROB_Lake,Target_Sampled,5.701736559,YES,8/29/2007,M,M,,,,L,,,MML,,H,,,,L,,HL,,,,,,,,,,,,,,,,,,,,L,,,,,L,7,6,0,0,1,RESERVOIR,NONE,NO,RESTRICTED,FAIR,YES,0.5,25-75,25-75,05-25,05-25,0-05,0-05,0-05,05-25,05-25,0-05,SPARSE,3,4,GOOD,MESOTROPHIC,GOOD,PLEASANT SMALL LAKE IN RV PARK SETTING,"EGRET ROOKERY, FISH",PLEASANT PARK LAKE,VERY LITTLE ALGAE OBSERVED,NONE OBSERVED,,,"ACCESSIBLE, SMALL BOAT, SWIMMABLE",,LAKE IS ONE OF THREE LAKES FED BY SEEPAGE UNDER DAM FROM LAKE CORPUS CHRISTI.,N
NLA06608-0003,2,PROB_Lake,Target_Sampled,5.701736559,YES,9/6/2007,L,M,,,,L,,,MLL,L,H,,,,,,HL,,,,,,,,,,,,,,,,,,,,L,,,,,L,5,6,0,0,1,,ARTIFICIAL,NO,RESTRICTED,FAIR,NO,,05-25,05-25,25-75,05-25,05-25,0-05,0-05,0-05,25-75,0-05,SPARSE,3,2,FAIR,EUTROPHIC,,LAKE IN FAIR CONDITION. PROBABLY DOES NOT RECEIVE TOO MANY DISTURBANCES,EGRETS,WATER WAS MODERATELY TURBID,MODERATELY ABUNDANT,RUNOFF,,,NO SWIMMING ALLOWED. MOTOR BOATS RESTRICTED. NO ACTIVITY ON LAKE.,,,Y
NLA06608-0004,1,PROB_Lake,Target_Sampled,65.38630923,YES,7/10/2007,M,,,,,L,,L,MLL,,,,,,,L,L,L,M,M,,,,,LMM,,,,,,,,,,,,L,,,M,L,LLM,5,1,7,0,5,RESERVOIR,ARTIFICIAL,YES,LOW,UNSWIMMABLE,YES,1.9,25-75,05-25,25-75,05-25,0-05,05-25,05-25,05-25,25-75,0-05,MODERATE,3,2,FAIR,EUTROPHIC,FAIR,RESERVOIR WATER SEEMS TO HAVE A LOT OF CHLOROPHYLL AND ALGAL BLOOMS. NOT MUCH EVIDENCE OF FISH AND BIRD LIFE.,"A FEW FISH, CRAWDADS, BIRDS (FEW), A FEW DUCKS, RED TAIL HAWK, BLUE HERON.",WATER A BIT CLOUDY; LARGE ALGAE COLONIES.,ALGAE ABUNDANT ON SIDE OF RESERVOIR NEAR FARM.,"FARMING, RANCHING, SHORELINE HOMES (?), ATMOS.","CATTLE GRAZING NEAR SHORELINE, MANURE SMELL.",COLORADO DIVISION OF WILDLIFE SWA,"EASY ACCESS FOR FISHING BOATS. GREAT LAUNCH, BUT SWIMMING PROHIBITED. WATER LOOKS TOO NUTRIENT-RICH FOR SWIMMING.",,QUITE PLACE FOR FISHING - SAW ONE FISHERMAN THIS A.M. DID NOT STAY LONG - NO BITES? EAST SIDE OF RESERVOIR AFFECTED BY COW MANURE ODOR DUE TO LOTS OF CATTLE GRAZING ON SHORELINE.,Y
NLA06608-0004,2,PROB_Lake,Target_Sampled,65.38630923,YES,9/11/2007,M,,,,,L,,L,MLL,,,,,,,L,L,L,L,M,,,,,LML,,,,,,,,,,,,L,,,M,L,LLM,5,1,5,0,5,RESERVOIR,ARTIFICIAL,YES,LOW,UNSWIMMABLE,NO,,25-75,05-25,25-75,05-25,0-05,05-25,05-25,05-25,25-75,0-05,MODERATE,3,3,FAIR,EUTROPHIC,FAIR,LOTS OF CHLOROPHYLL AND THICK ALGAL FORMATIONS.,"NOT TOO MANY FISH, DUCKS OR BIRDS SEEN THIS DAY.",WATER PRETTY CLOUDY WITH ALGAL BLOOMS.,ALGAL GROWTH ABUNDANT NEAR FARMING OPERATIONS.,"FARMING, CATTLE, SHORELINE HOMES, ATMOSPHERIC DEPOSITION.",,COLORADO DIVISION OF WILDLIFE.,NO SWIMMING. GREAT BOAT RAMP. NOT MUCH USE THIS DAY.,,QUIET PLACE FOR FISHING OR FOR CRAWFISH. CATTLE OPERATIONS MAKE FOR A MANURE SMELL AT ALL TIMES.,Y
NLA06608-0005,1,PROB_Lake,Target_Sampled,19.48761255,YES,7/18/2007,,,,,,L,,,L,H,H,H,L,L,L,,LHHLHL,,,,,,,,,,,,,,,,,,,,L,,,,,L,1,18,0,0,1,DRAINAGE,NONE,NO,BANNED,GOOD,NO,,75-100,25-75,25-75,0-05,0-05,0-05,,,0-05,05-25,SPARSE,4,4,GOOD,OLIGOTROPHIC,EXCELLENT,"CLEAR WATER, SURROUNDING AREA WAS AESTHETICALLY PLEASING. GOOD DEEP HOLES WITH LOTS OF SUBMERGENT PLANT GROWTH FOR FISH.","OSPREY, CORMORANT, COMMON MERGANSER, NUMEROUS SMALL FISH.","CLEAR WATER, LOTS OF MACROPHYTES IN CENTER",LITTLE OR NO ALGAE.,CAMPING AND RESORT FACILITIES.,,,"PEOPLE FISHING, SAILING, SWIMMING, CAMPING AND RV-ING.",,,N
NLA06608-0005,2,PROB_Lake,Target_Sampled,19.48761255,YES,8/22/2007,,,,,,L,,,L,M,M,M,M,,L,,MMMML,,,L,,,,,L,,,,,,,,,,,,L,,,,,L,1,13,1,0,1,DRAINAGE,NONE,NO,BANNED,GOOD,NO,,25-75,05-25,05-25,0-05,0-05,,0-05,,0-05,05-25,,4,4,GOOD,OLIGOTROPHIC,EXCELLENT,VERY PLEASANT,"DUCKS, GULLS",,VERY SPARSE,CAMPGROUNDS AND RESORT,,,SOME BOATING,,"MUCH COOLER THAN PREVIOUS VISIT, WITH MUCH LESS AQUATIC MACROPHYTE GROWTH.",Y
NLA06608-0006,1,PROB_Lake,Target_Sampled,56.19974819,YES,7/17/2007,,L,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,H,1,0,0,0,5,RESERVOIR,ARTIFICIAL,NO,BANNED,GOOD,,1.2,75-100,05-25,05-25,0-05,0-05,,0-05,0-05,0-05,0-05,SPARSE,4,5,EXCELLENT,MESOTROPHIC,EXCELLENT,"FOR THIS TYPE OF ARTIFICIAL IMPOUNDMENT, THE INTEGRITY WAS EXCELLENT EXCEPT FOR WATER LEVEL FLUCTUATIONS.","DOE, BEAVER LODGE AND CUT BRANCHES, 2 GREAT BLUE HERONS, 10 CANADA GEESE, BALD EAGLE, VARIOUS SONGBIRDS.",WATER CLARITY 3.2M,FILTER LIGHT YELLOW,"NONE ADJACENT, MINOR IN WATERSHED",,DRINKING WATER RESERVOIR,RECREATIONAL USE PROHIBITED,,DRINKING WATER STORAGE RESERVOIR. NO CHEMICAL TREATMENT.,Y
