VARNUM	NAME	LABEL	TYPE	LENGTH
1	SITE_ID	ID Assigned to Each Site	2	50
2	VISIT_NO	Sequential Visit Number Within Year	1	
3	SITE_TYPE	PROB_Samp: Lake is from probability sample and can be used for population estimation.  REF_Lake: Lake is not from probability sample and was selected as a candidate reference lake	2	10
4	LAKE_SAMP	"Eval. status. _Denied (access denied). _Inaccess (physically inaccessible). _Other. _LT_4ha (< 4ha). _Shallow (< 1m deep). _Vegetated (< 1000 m2 open H2O). _Saline (tidal). Special_Purpose (aquacult., disposal, WWT, or evap.). Not_Lake (other)"	2	20
5	AREA_HA	Lake polygon area (hectares) from NHD	1	
6	SAMPLED_ASSESS	Site Sample Status - Assessment Form	2	15
7	DATE_ASSESS	Date of visual assessment	1	
8	RES_RESIDENCES	Residential residences disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
9	RES_LAWNS	Residential maintained lawns disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
10	RES_CONSTRUCTION	Recreational construction disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
11	RES_PIPES	"Residential pipes, drains disturbances observed (Blank=none/Low/Moderate/Heavy)"	2	4
12	RES_DUMPING	Residential dumping disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
13	RES_ROADS	Residential roads disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
14	RES_BRIDGES	Recreational bridges/causeways disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
15	RES_SEWAGE	Residential sewage treatment disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
16	RES_STRING	Concatenated Residential Stressors	2	32
17	REC_TRAILS	Recreational hiking trails disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
18	REC_PARKS	Recreational parks disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
19	REC_PRIMITIVE	"Recreational primitive parks, camping disturbances observed (Blank=none/Low/Moderate/Heavy)"	2	4
20	REC_RESORTS	Recreational resorts disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
21	REC_MARINAS	Recreational marinas disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
22	REC_TRASH	Recreational trash/litter disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
23	REC_FILMS	"Recreational surface films, scums, slicks disturbances observed (Blank=none/Low/Moderate/Heavy)"	2	4
24	REC_STRING	Concatenated Recreation Stressors	2	28
25	AGR_CROPLAND	Agricultural cropland disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
26	AGR_PASTURE	Agricultural pasture disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
27	AGR_LIVESTOCK	Agricultural livestock disturbances observed (Blank=none/Low/Moderate/Heavy)	2	4
