SITE_ID,YEAR,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED,DATE_COL,SAMPLE_CATEGORY,DATECHEM,SAMPLED_CHEM,INDXSAMP_CHEM,PH_FIELD,PH_FIELD_DEPTH,SAMPLE_DEPTH,SAMPLE_ID_CHEM,LAB_ID_CHEM,PH_LAB,PHLAB_FLAG,COND,COND_FLAG,COND_RL_ALERT,ANC,ANC_FLAG,TURB,TURB_FLAG,TURB_RL_ALERT,TOC,TOC_FLAG,TOC_RL_ALERT,DOC,DOC_FLAG,DOC_RL_ALERT,NH4N_PPM,NH4,NH4_FLAG,NH4_RL_ALERT,NO3_NO2,NO3NO2_FLAG,NO3NO2_RL_ALERT,NTL_PPM,NTL,NTL_FLAG,NTL_RL_ALERT,PTL,PTL_FLAG,PTL_RL_ALERT,CL_PPM,CL,CL_FLAG,CL_RL_ALERT,NO3N_PPM,NO3,NO3_FLAG,NO3_RL_ALERT,SO4_PPM,SO4,SO4_FLAG,SO4_RL_ALERT,CA_PPM,CA,CA_FLAG,CA_RL_ALERT,MG_PPM,MG,MG_FLAG,MG_RL_ALERT,NA_PPM,NA,NA_FLAG,NA_RL_ALERT,K_PPM,K,K_FLAG,K_RL_ALERT,COLOR,COLOR_FLAG,COLOR_RL_ALERT,SIO2,SIO2_FLAG,SIO2_RL_ALERT,H,OH,NH4ION,CATSUM,ANSUM2,ANDEF2,SOBC,BALANCE2,ORGION,CONCAL2,CONDHO2,DAY_SHIP,DAYSHIP_ALERT,DATE_RECEIVED,DATE_FILTERED,DATEFILT_ALERT,PHLAB_HT,PHLAB_HT_ALERT,COND_HT,COND_HT_ALERT,ANC_HT,ANC_HT_ALERT,TURB_HT,TURB_HT_ALERT,TOC_HT,TOC_HT_ALERT,DOC_HT,DOC_HT_ALERT,NH4_HT,NH4_HT_ALERT,NO3NO2_HT,NO3NO2_HT_ALERT,NTL_HT,NTL_HT_ALERT,PTL_HT,PTL_HT_ALERT,CL_HT,CL_HT_ALERT,NO3_HT,NO3_HT_ALERT,SO4_HT,SO4_HT_ALERT,CA_HT,CA_HT_ALERT,MG_HT,MG_HT_ALERT,NA_HT,NA_HT_ALERT,K_HT,K_HT_ALERT,COLOR_HT,COLOR_HT_ALERT,SIO2_HT,SIO2_HT_ALERT,COM_FIELD_PH,COMMENT_FLD_CHEM,COMMENT_LAB_CHEM,COMMENT_IM_CHEM,INDXSAMP_CHLA,DATECHLA,SAMPLED_CHLA,CHLA,SAMPLE_ID_CHLA,LAB_ID_CHLA,CHLA_RL_ALERT,FLAG_FLD_CHLA,COMMENT_FLD_CHLA,FLAG_LAB_CHLA,COMMENT_LAB_CHLA,CHLA_HT_ALERT,CHLA_HT,DATESECCHI,SAMPLED_SECCHI,SECMEAN,CLEAR_TO_BOTTOM,COMMENT_SECCHI,VISIT_ID,FLAG_SECCHI
NLA06608-0001,2007,1,PROB_Lake,Target_Sampled,Yes,7/31/2007,P,7/31/2007,YES,YES,8.2,1,2,507621,0710690,7.63,,96.28,,N,924.3,,0.474,<RL (2),Y,0.37,,N,0.63,,N,0.01,0.71393,<RL (0.02),Y,0.12,,N,0.151,151,,N,6,,N,0.05,1.5,<RL (0.2),Y,0.131,9.352483,,N,2.226,46.34532,,N,13.93,695.107,,N,2.944,242.255872,,N,0.252,10.96139772,,N,0.131,3.3505346,,N,6,,N,1.182,,N,0.023,0.427,0.698985573,952.4,982.39,-29.99,951.67,-1.55,6.25,100.79,96.28,4,Y,8/4/2007,8/4/2007,N,4,Y,4,N,4,N,6,Y,23,Y,17,Y,9,N,6,N,36,Y,36,Y,156,Y,156,Y,156,Y,288,Y,288,Y,288,Y,288,Y,4,Y,6,N,,,,,YES,7/31/2007,YES,0.24,507622,0710690,N,,,,,Y,29,7/31/2007,YES,6.4,,,7468,
NLA06608-0002,2007,1,PROB_Lake,Target_Sampled,Yes,6/14/2007,P,6/14/2007,YES,YES,5.3,0.5,1.1,514181,0710048,6.05,,44.8,,N,104.48,,3.55,,N,15.9,,N,14.02,,N,0.019,1.356467,<RL (0.02),Y,0.005,<RL (0.02),Y,0.695,695,,N,36,,N,6.311,178.008066,,N,0.005,0.5,<RL (0.02),Y,0.818,17.03076,,N,3.414,170.3586,,N,0.775,63.7732,,N,2.526,109.8749629,,N,0.152,3.8876432,,N,71,,N,1.695,,N,0.891,0.011,1.355704612,350.14,301.34,48.8,347.89,7.49,129.26,39.41,38.31,2,N,6/16/2007,6/16/2007,N,8,Y,7,N,8,Y,4,Y,14,N,13,N,13,N,6,N,57,Y,57,Y,4,N,4,N,4,N,349,Y,307,Y,307,Y,307,Y,4,Y,6,N,,,,,YES,6/14/2007,YES,3.84,514182,0710048,N,,,,,Y,29,6/14/2007,YES,0.55,,,7469,
NLA06608-0002,2007,2,,,Yes,7/23/2007,D,7/23/2007,,,5.1,0.5,0.8,512381,0710474,5.92,,42.87,,N,104.09,,4.43,,N,16.34,,N,13.8,,N,0.009,0.642537,,Y,0,,Y,0.507,507,,N,25,,N,6.493,183.141558,,N,0.012,0.856716,,Y,0.648,13.49136,,N,3.283,163.8217,,N,0.76,62.53888,,N,2.132,92.73690452,,N,0.1,2.55766,,N,60,,N,1.988,,N,7.943,0.001,0.64249646,330.24,309.52,20.72,321.66,3.24,108.43,40.82,39.86,1,,7/24/2007,7/24/2007,,1,N,1,N,1,N,1,N,15,Y,10,N,15,N,7,N,45,Y,45,Y,119,Y,119,Y,119,Y,310,Y,287,Y,287,Y,287,Y,4,Y,7,N,,,,,NO,7/23/2007,YES,20.053,512382,0710474,N,,,IM,Vol. Filt. Chg (missing).,N,25,,,,,,7470,
NLA06608-0002,2007,2,PROB_Lake,Target_Sampled,Yes,7/23/2007,P,7/23/2007,YES,NO,5.1,0.5,0.8,512911,0710473,5.93,,43.18,,N,103.14,,3.87,,N,16.19,,N,13.69,,N,0.01,0.71393,<RL (0.02),Y,0.005,<RL (0.02),Y,0.469,469,,N,22,,N,6.501,183.367206,,N,0.005,0.5,<RL (0.02),Y,0.654,13.61628,,N,3.272,163.2728,,N,0.754,62.045152,,N,2.113,91.91044993,,N,0.128,3.2738048,,N,45,,N,2.007,,N,1.175,0.009,0.713625574,322.39,302.3,20.09,320.5,3.22,124.57,38.1,37.15,1,N,7/24/2007,7/24/2007,N,1,N,1,N,1,N,1,N,15,Y,10,N,15,N,7,N,45,Y,45,Y,119,Y,119,Y,119,Y,310,Y,287,Y,287,Y,287,Y,4,Y,7,N,,,,,NO,7/23/2007,YES,20.88,512912,0710473,N,,,,,N,25,7/23/2007,YES,0.45,,,7470,
NLA06608-0003,2007,1,PROB_Lake,Target_Sampled,Yes,8/29/2007,P,8/29/2007,YES,YES,8.4,0.5,1.4,509041,0711121,8.47,,1089,,N,4746.01,,7.67,,N,6.75,,N,6,,N,0.005,0.35,<RL (0.02),Y,0.005,<RL (0.02),Y,0.738,738,,N,43,,N,173.337,4889.143422,,N,0.005,0.5,<RL (0.02),Y,49.455,1029.6531,,N,51.55,2572.345,,N,9.513,782.805744,,N,164.9,7172.755889,,N,5.778,147.7815948,,N,18,,N,45.248,,N,0.003,2.951,0.559742856,10676.25,10664.81,11.44,10675.69,0.05,59.88,1231.69,1091.85,3,Y,9/1/2007,9/1/2007,N,6,Y,3,N,6,N,3,N,80,Y,48,Y,28,N,8,Y,16,N,16,N,175,Y,169,Y,176,Y,211,Y,211,Y,211,Y,211,Y,6,Y,8,Y,,,,,YES,8/29/2007,YES,16.96,509042,0711121,N,F1,SAMPLE WAS PARTIALLY FROZEN PRIOR TO FILTERING,,,N,16,8/29/2007,YES,0.71,,,7471,
NLA06608-0003,2007,2,PROB_Lake,Target_Sampled,Yes,9/6/2007,P,9/6/2007,YES,NO,8.4,1,0.94,514901,0711171,8.54,,1120,,N,4784.39,,9.53,,N,7.46,,N,5.87,,N,0.011,0.785323,<RL (0.02),Y,0.005,<RL (0.02),Y,0.843,843,,N,50,,N,181.295,5113.60677,,N,0.005,0.5,<RL (0.02),Y,47.763,994.42566,,N,49.8,2485.02,,N,9.496,781.406848,,N,164.2,7142.307562,,N,5.504,140.7736064,,N,12,,N,7.9,,N,0.003,3.467,0.669052108,10550.18,10892.43,-342.25,10549.51,-1.6,58.59,1240.49,1100.47,1,N,9/7/2007,9/7/2007,N,1,N,1,N,1,N,1,N,124,Y,120,Y,21,N,4,N,11,N,11,N,174,Y,169,Y,169,Y,203,Y,203,Y,203,Y,203,Y,1,N,4,N,,,,,NO,9/6/2007,YES,12.864,514902,0711171,N,,,,,N,13,9/6/2007,YES,0.49,,,7472,
NLA06608-0004,2007,1,PROB_Lake,Target_Sampled,Yes,7/10/2007,P,7/10/2007,YES,YES,8.4,1,2,508551,0710236,8.25,,303.3,,N,1656.42,,3.81,,N,9.09,,N,8,,N,0.024,1.713432,,N,0.005,<RL (0.02),Y,0.344,344,,N,18,,N,1.802,50.827212,,N,0.005,0.5,<RL (0.02),Y,60.253,1254.46746,,N,34.03,1698.097,,N,8.557,704.138416,,N,11.1,482.823471,,N,1.472,37.6487552,,N,13,,N,2.763,,N,0.006,1.778,1.573215454,2924.29,2961.72,-37.43,2922.71,-0.64,79.76,343.59,283.97,1,N,7/11/2007,7/11/2007,N,2,N,2,N,2,N,1,N,13,N,7,N,19,N,8,Y,38,Y,38,Y,94,Y,94,Y,106,Y,293,Y,293,Y,293,Y,293,Y,3,N,8,Y,,,,,YES,7/10/2007,YES,4.6,508552,0710236,N,,,,,N,22,7/10/2007,YES,1.8,,,7473,
NLA06608-0004,2007,2,,,Yes,9/11/2007,D,9/11/2007,,,8.4,1,2,508531,0711218,8.24,,326.7,,N,1950.26,,7.41,,N,8.49,,N,7.86,,N,0.016,1.142288,,Y,0,,Y,0.584,584,,N,44,,N,1.911,53.901666,,N,0,0,,Y,56.93,1185.2826,,N,36.59,1825.841,,N,9.08,747.17504,,N,11.4,495.872754,,N,1.666,42.6106156,,N,8,,N,5.651,,N,0.004,2.512,1.014559298,3112.52,3189.45,-76.93,3111.5,-1.22,78.42,362.33,303.94,2,,9/13/2007,9/13/2007,,2,N,2,N,2,N,2,N,130,Y,37,Y,16,N,9,Y,6,N,6,N,7,N,7,N,8,Y,202,Y,202,Y,202,Y,202,Y,2,N,9,Y,,,,,NO,9/11/2007,YES,12.42,508532,0711218,N,,,,,N,8,,,,,,7474,
NLA06608-0004,2007,2,PROB_Lake,Target_Sampled,Yes,9/11/2007,P,9/11/2007,YES,NO,8.4,1,2,503311,0711217,8.25,,326.7,,N,1940.58,,7.33,,N,8.44,,N,7.86,,N,0.018,1.285074,<RL (0.02),Y,0.005,<RL (0.02),Y,0.596,596,,N,46,,N,1.893,53.393958,,N,0.005,0.5,<RL (0.02),Y,56.175,1169.5635,,N,36.04,1798.396,,N,8.946,736.148448,,N,11.36,494.1328496,,N,1.648,42.1502368,,N,10,,N,5.576,,N,0.006,1.778,1.17991159,3072.01,3163.54,-91.53,3070.83,-1.47,78.36,358.17,300.54,2,N,9/13/2007,9/13/2007,N,2,N,2,N,2,N,2,N,130,Y,118,Y,16,N,9,Y,6,N,6,N,7,N,7,N,8,Y,202,Y,202,Y,202,Y,202,Y,2,N,9,Y,,,,,NO,9/11/2007,YES,14.72,503312,0711217,N,,,,,N,8,9/11/2007,YES,1,,,7474,
NLA06608-0005,2007,1,PROB_Lake,Target_Sampled,Yes,7/18/2007,P,7/18/2007,YES,YES,7.51,1,2,502961,0710394,7.75,,52.62,,N,420.91,,0.475,<RL (2),Y,1.79,,N,1.45,,N,0.005,0.35,<RL (0.02),Y,0.005,<RL (0.02),Y,0.085,85,,N,4,<RL (4),N,0.262,7.389972,,N,0.005,0.5,<RL (0.02),Y,2.775,57.7755,,N,8.072,402.7928,,N,0.311,25.591568,,N,1.21,52.6321081,,N,0.247,6.3174202,,N,7,,N,6.166,,N,0.018,0.562,0.486051849,487.84,486.09,1.74,487.33,0.18,14.4,52.46,49.26,1,N,7/19/2007,7/19/2007,N,1,N,2,N,1,N,1,N,15,Y,12,N,19,N,5,N,36,Y,36,Y,111,Y,111,Y,111,Y,288,Y,288,Y,288,Y,288,Y,2,N,5,N,,,,,YES,7/18/2007,YES,1.205,502962,0710394,N,,,,,N,23,7/18/2007,"YES, CLEAR TO BOTTOM",,Y,,7475,
