SITE_ID,VISIT_NO,DATEZOOP,SAMPLED_ZOOP,INDXSAMP_ZOOP,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,DEPTHMAX,DEPTH_X,DEPTH_OF_TOW,FLAG_ZOOP_FLD,COMMENT_ZOOP_FLD,JAR_NO,VISIT_ID
NLA06608-0001,1,7/31/2007,Yes,YES,P,507625,ZOOC,8.3,8.3,7.8,,,1,7468
NLA06608-0001,1,7/31/2007,Yes,YES,P,507626,ZOOF,8.3,8.3,7.8,,,1,7468
NLA06608-0002,1,6/14/2007,Yes,YES,P,514185,ZOOC,2.3,2.3,1.8,,,1,7469
NLA06608-0002,1,6/14/2007,Yes,YES,P,514186,ZOOF,2.3,2.3,1.8,,,1,7469
NLA06608-0002,2,7/23/2007,Yes,NO,P,512915,ZOOC,1.3,1.3,0.8,IM,IM: TOW LENGTH MAY BE 1.6 (TWO TOWS?),1,7470
NLA06608-0002,2,7/23/2007,Yes,NO,P,512916,ZOOF,1.3,1.3,0.8,IM,IM: TOW LENGTH MAY BE 1.6 (TWO TOWS?),1,7470
NLA06608-0002,2,7/23/2007,Yes,NO,D,512385,ZOOC,1.3,1.3,0.8,IM,IM: TOW LENGTH MAY BE 1.6 (TWO TOWS?),1,7470
NLA06608-0002,2,7/23/2007,Yes,NO,D,512386,ZOOF,1.3,1.3,0.8,IM,IM: TOW LENGTH MAY BE 1.6 (TWO TOWS?),1,7470
NLA06608-0003,1,8/29/2007,Yes,YES,P,509045,ZOOC,2.5,2.5,2,,,1,7471
NLA06608-0003,1,8/29/2007,Yes,YES,P,509046,ZOOF,2.5,2.5,2,,,1,7471
NLA06608-0003,2,9/6/2007,Yes,NO,P,514905,ZOOC,2.4,2.4,2.3,,,1,7472
NLA06608-0003,2,9/6/2007,Yes,NO,P,514906,ZOOF,2.4,2.4,2.3,,,1,7472
NLA06608-0004,1,7/10/2007,Yes,YES,P,508555,ZOOC,6.3,6.3,5.7,,,1,7473
NLA06608-0004,1,7/10/2007,Yes,YES,P,508556,ZOOF,6.3,6.3,5.7,,,1,7473
NLA06608-0004,2,9/11/2007,Yes,NO,P,503315,ZOOC,6,6,5,,,1,7474
