UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,MICL_BATCH_ID,MICX_BATCH_ID,MICL_UNITS,MICX_UNITS,MICL_DATE_ANALYZED,MICL_DATE_RECEIVED,MICL_HOLDING_TIME,MICL_MDL,MICL_QA_FLAG,MICL_RESULT,MICL_RL,MICX_DATE_ANALYZED,MICX_DATE_RECEIVED,MICX_HOLDING_TIME,MICX_MDL,MICX_QA_FLAG,MICX_RESULT,MICX_RL,MICL_FLAG,MICX_FLAG,MICL_SAMPLE_ID,MICX_SAMPLE_ID,PUBLICATION_DATE
6160,NLA12_CA-143,1,5/2/2012,WMTNS,XER,CA,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,47,0.1,,0.89232,5,6/18/2012,5/24/2012,47,0.1,J02,0.07931,5,LAB_1,LAB_1,620771,620751,8/19/2016
6187,NLA12_AZ-101,1,5/8/2012,WMTNS,XER,AZ,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,41,0.1,J02,0.07162,5,6/18/2012,5/24/2012,41,0.1,J02,0.06208,5,LAB_1,LAB_1,620441,620421,8/19/2016
6189,NLA12_ND-115,1,5/16/2012,PLNLOW,NPL,ND,PLAINS,BSA,M1,M1,ppb,ppb,7/13/2012,5/24/2012,58,0.1,J02,0.08633,5,6/18/2012,5/24/2012,33,0.1,J03,0.13164,5,LAB_1,LAB_1,625541,625521,8/19/2016
6192,NLA12_AZ-118,1,5/9/2012,WMTNS,XER,AZ,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,40,0.1,J03,0.10531,5,6/18/2012,5/24/2012,40,0.1,J02,0.07181,5,LAB_1,LAB_1,620561,620541,8/19/2016
6194,NLA12_UT-103,1,5/9/2012,WMTNS,WMT,UT,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,40,0.1,J02,0.06627,5,6/18/2012,5/24/2012,40,0.1,N,0,5,LAB_1,LAB_1,620081,620061,8/19/2016
6195,NLA12_AZ-130,1,5/10/2012,WMTNS,XER,AZ,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,39,0.1,J03,0.10076,5,6/18/2012,5/24/2012,39,0.1,J02,0.09192,5,LAB_1,LAB_1,620711,620691,8/19/2016
6212,NLA12_FL-101,1,5/14/2012,PLNLOW,CPL,FL,CPL,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,35,0.1,,0.1565,5,6/18/2012,5/24/2012,35,0.1,J03,0.13929,5,LAB_1,LAB_1,626141,626121,8/19/2016
6216,NLA12_UT-101,1,5/15/2012,WMTNS,WMT,UT,WMTNS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,34,0.1,N,0,5,6/18/2012,5/24/2012,34,0.1,J02,0.07219,5,LAB_1,LAB_1,620171,620151,8/19/2016
6217,NLA12_ND-112,1,5/15/2012,PLNLOW,NPL,ND,PLAINS,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,34,0.1,J02,0.08055,5,6/18/2012,5/24/2012,34,0.1,,0.24161,5,LAB_1,LAB_1,625481,625461,8/19/2016
6218,NLA12_FL-123,1,5/15/2012,PLNLOW,CPL,FL,CPL,BSA,M1,M1,ppb,ppb,6/18/2012,5/24/2012,34,0.1,N,0,5,6/18/2012,5/24/2012,34,0.1,J02,0.06123,5,LAB_1,LAB_1,626171,626151,8/19/2016
