UID,SITE_ID,VISIT_NO,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,LAB,ATRAZINE_BATCH_ID,ATRAZINE_UNITS,ATRAZINE_DATE_ANALYZED,ATRAZINE_DATE_RECEIVED,ATRAZINE_HOLDING_TIME,ATRAZINE_LOQ,ATRAZINE_MDL,ATRAZINE_QA_FLAG,ATRAZINE_RESULT,ATRAZINE_FLAG,TRIA_SAMPLE_ID,PUBLICATION_DATE
6160,NLA12_CA-143,1,5/2/2012,WMTNS,XER,CA,WMTNS,WI-SLH,1,ppb,5/29/2012,5/18/2012,27,0.1,0.046,"N, Q21",0,,620752,8/19/2016
6187,NLA12_AZ-101,1,5/8/2012,WMTNS,XER,AZ,WMTNS,WI-SLH,1,ppb,5/29/2012,5/18/2012,21,0.1,0.046,"N, Q21",0,,620422,8/19/2016
6189,NLA12_ND-115,1,5/16/2012,PLNLOW,NPL,ND,PLAINS,WI-SLH,1,ppb,5/29/2012,5/24/2012,13,0.1,0.046,"N, Q21",0,,625522,8/19/2016
6192,NLA12_AZ-118,1,5/9/2012,WMTNS,XER,AZ,WMTNS,WI-SLH,1,ppb,5/29/2012,5/18/2012,20,0.1,0.046,"N, Q21",0,,620542,8/19/2016
6194,NLA12_UT-103,1,5/9/2012,WMTNS,WMT,UT,WMTNS,WI-SLH,1,ppb,5/29/2012,5/24/2012,20,0.1,0.046,"N, Q21",0,,620062,8/19/2016
6195,NLA12_AZ-130,1,5/10/2012,WMTNS,XER,AZ,WMTNS,WI-SLH,1,ppb,5/29/2012,5/18/2012,19,0.1,0.046,"N, Q21",0,,620692,8/19/2016
6212,NLA12_FL-101,1,5/14/2012,PLNLOW,CPL,FL,CPL,WI-SLH,1,ppb,5/29/2012,5/24/2012,15,0.1,0.046,Q21,0.23,,626122,8/19/2016
6216,NLA12_UT-101,1,5/15/2012,WMTNS,WMT,UT,WMTNS,WI-SLH,1,ppb,5/29/2012,5/24/2012,14,0.1,0.046,"N, Q21",0,,620152,8/19/2016
6217,NLA12_ND-112,1,5/15/2012,PLNLOW,NPL,ND,PLAINS,WI-SLH,1,ppb,5/29/2012,5/24/2012,14,0.1,0.046,"N, Q21",0,,625462,8/19/2016
6218,NLA12_FL-123,1,5/15/2012,PLNLOW,CPL,FL,CPL,WI-SLH,1,ppb,5/29/2012,5/24/2012,14,0.1,0.046,"N, Q21",0,,626152,8/19/2016
6222,NLA12_FL-102,1,5/16/2012,PLNLOW,CPL,FL,CPL,WI-SLH,1,ppb,5/29/2012,5/24/2012,13,0.1,0.046,"N, Q21",0,,626182,8/19/2016
6226,NLA12_GA-112,1,5/16/2012,EHIGH,SAP,GA,EHIGH,WI-SLH,2,ppb,6/4/2012,5/30/2012,19,0.1,0.046,Q21,0.12,,620032,8/19/2016
6227,NLA12_UT-108,1,5/17/2012,WMTNS,WMT,UT,WMTNS,WI-SLH,1,ppb,5/29/2012,5/24/2012,12,0.1,0.046,"N, Q21",0,,620182,8/19/2016
6228,NLA12_FL-107,1,5/17/2012,PLNLOW,CPL,FL,CPL,WI-SLH,1,ppb,5/29/2012,5/24/2012,12,0.1,0.046,"N, Q21",0,,626212,8/19/2016
6231,NLA12_FL-110,1,5/18/2012,PLNLOW,CPL,FL,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,25,0.1,0.046,"N, Q21",0,,625312,8/19/2016
6232,NLA12_FL-106,1,5/20/2012,PLNLOW,CPL,FL,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,23,0.1,0.046,"N, Q21",0,,625342,8/19/2016
6233,NLA12_FL-104,1,5/19/2012,PLNLOW,CPL,FL,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,24,0.1,0.046,"J03, Q21",0.06,LAB_1,626332,8/19/2016
6235,NLA12_CA-168,1,5/21/2012,WMTNS,XER,CA,WMTNS,WI-SLH,2,ppb,6/4/2012,5/30/2012,14,0.1,0.046,"N, Q21",0,,625762,8/19/2016
6236,NLA12_OK-122,1,5/21/2012,PLNLOW,SPL,OK,PLAINS,WI-SLH,2,ppb,6/4/2012,5/30/2012,14,0.1,0.046,"N, Q21",0,,621952,8/19/2016
6237,NLA12_WI-R11,1,5/21/2012,PLNLOW,UMW,WI,UMW,WI-SLH,2,ppb,6/4/2012,5/30/2012,14,0.1,0.046,"N, Q21",0,,625072,8/19/2016
6243,NLA12_KS-114,1,5/22/2012,PLNLOW,TPL,KS,PLAINS,WI-SLH,2,ppb,6/4/2012,5/30/2012,13,0.1,0.046,Q21,0.44,,625702,8/19/2016
6249,NLA12_OK-R01,1,5/22/2012,PLNLOW,SPL,OK,PLAINS,WI-SLH,2,ppb,6/4/2012,5/30/2012,13,0.1,0.046,"N, Q21",0,,626602,8/19/2016
6250,NLA12_CA-106,1,5/22/2012,WMTNS,XER,CA,WMTNS,WI-SLH,2,ppb,6/4/2012,5/30/2012,13,0.1,0.046,"N, Q21",0,,625792,8/19/2016
6251,NLA12_FL-114,1,5/21/2012,PLNLOW,CPL,FL,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,22,0.1,0.046,"N, Q21",0,,626272,8/19/2016
6252,NLA12_PA-102,1,9/5/2012,EHIGH,SAP,PA,EHIGH,PA-DEP,2012ATR_NLA_01,ppb,8/24/2012,5/23/2012,-12,0.05,0.03,,0.71,,620782,8/19/2016
6253,NLA12_WI-R08,1,5/22/2012,PLNLOW,UMW,WI,UMW,WI-SLH,2,ppb,6/4/2012,5/30/2012,13,0.1,0.046,"N, Q21",0,,625042,8/19/2016
6267,NLA12_AL-105,1,5/23/2012,PLNLOW,CPL,AL,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,20,0.1,0.046,"N, Q21",0,,626482,8/19/2016
6270,NLA12_OK-118,1,5/23/2012,PLNLOW,SPL,OK,PLAINS,WI-SLH,2,ppb,6/4/2012,5/30/2012,12,0.1,0.046,Q21,0.14,,621922,8/19/2016
6279,NLA12_CA-172,1,5/23/2012,WMTNS,XER,CA,WMTNS,WI-SLH,2,ppb,6/4/2012,5/30/2012,12,0.1,0.046,"N, Q21",0,,625732,8/19/2016
6281,NLA12_AZ-127,1,5/23/2012,WMTNS,WMT,AZ,WMTNS,WI-SLH,3,ppb,6/12/2012,6/5/2012,20,0.1,0.046,"N, Q21",0,LAB_1,627082,8/19/2016
6284,NLA12_KY-101,1,5/24/2012,EHIGH,SAP,KY,EHIGH,WI-SLH,2,ppb,6/4/2012,5/31/2012,11,0.1,0.046,"N, Q21",0,,627292,8/19/2016
6285,NLA12_KY-107,1,5/23/2012,EHIGH,SAP,KY,EHIGH,WI-SLH,3,ppb,6/12/2012,6/5/2012,20,0.1,0.046,"N, Q21",0,,627202,8/19/2016
6286,NLA12_NC-107,1,5/23/2012,PLNLOW,CPL,NC,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,20,0.1,0.046,"N, Q21",0,,628462,8/19/2016
6293,NLA12_GA-101,1,5/24/2012,PLNLOW,CPL,GA,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,19,0.1,0.046,"N, Q21",0,,624952,8/19/2016
6300,NLA12_AL-101,1,5/24/2012,EHIGH,SAP,AL,EHIGH,WI-SLH,3,ppb,6/12/2012,6/5/2012,19,0.1,0.046,"N, Q21",0,,630472,8/19/2016
6302,NLA12_OK-R09,1,5/23/2012,PLNLOW,SPL,OK,PLAINS,WI-SLH,2,ppb,6/4/2012,5/30/2012,12,0.1,0.046,"N, Q21",0,,624172,8/19/2016
6303,NLA12_KY-103,1,5/25/2012,EHIGH,SAP,KY,EHIGH,WI-SLH,3,ppb,6/12/2012,6/5/2012,18,0.1,0.046,"N, Q21",0,,627262,8/19/2016
6318,NLA12_OK-293,1,5/29/2012,PLNLOW,SPL,OK,PLAINS,WI-SLH,3,ppb,6/12/2012,6/5/2012,14,0.1,0.046,Q21,0.14,,621982,8/19/2016
6319,NLA12_NM-132,1,5/28/2012,WMTNS,WMT,NM,WMTNS,WI-SLH,4,ppb,6/14/2012,6/13/2012,17,0.1,0.046,"N, Q21",0,,625192,8/19/2016
6320,NLA12_SC-104,1,5/25/2012,EHIGH,SAP,SC,EHIGH,WI-SLH,3,ppb,6/12/2012,6/5/2012,18,0.1,0.046,"N, Q21",0,,628492,8/19/2016
6321,NLA12_SC-105,1,5/27/2012,PLNLOW,CPL,SC,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,16,0.1,0.046,"N, Q21",0,,628552,8/19/2016
6325,NLA12_SC-112,1,5/26/2012,PLNLOW,CPL,SC,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,17,0.1,0.046,"N, Q21",0,,628522,8/19/2016
6326,NLA12_SC-108,1,5/28/2012,PLNLOW,CPL,SC,CPL,WI-SLH,3,ppb,6/12/2012,6/5/2012,15,0.1,0.046,"N, Q21",0,,627922,8/19/2016
6341,NLA12_NM-152,1,5/29/2012,PLNLOW,SPL,NM,PLAINS,WI-SLH,4,ppb,6/14/2012,6/13/2012,16,0.1,0.046,"N, Q21",0,,625222,8/19/2016
6342,NLA12_CO-110,1,5/29/2012,PLNLOW,SPL,CO,PLAINS,WI-SLH,3,ppb,6/12/2012,6/5/2012,14,0.1,0.046,"N, Q21",0,,632062,8/19/2016
6344,NLA12_ND-101,1,5/30/2012,PLNLOW,TPL,ND,PLAINS,WI-SLH,4,ppb,6/18/2012,6/14/2012,19,0.1,0.046,Q21,0.22,,625552,8/19/2016
6345,NLA12_KY-104,1,5/30/2012,PLNLOW,CPL,KY,CPL,WI-SLH,4,ppb,6/14/2012,6/13/2012,15,0.1,0.046,Q21,0.12,,628342,8/19/2016
6346,NLA12_KS-130,1,5/30/2012,PLNLOW,TPL,KS,PLAINS,WI-SLH,4,ppb,6/14/2012,6/13/2012,15,0.1,0.046,Q21,1.92,,627802,8/19/2016
6347,NLA12_PA-108,1,5/30/2012,PLNLOW,CPL,PA,CPL,PA-DEP,2012ATR_NLA_01,ppb,8/24/2012,5/31/2012,86,0.05,0.03,N,0,LAB_1,620662,8/19/2016
6359,NLA12_NC-105,1,5/30/2012,EHIGH,SAP,NC,EHIGH,WI-SLH,3,ppb,6/12/2012,6/5/2012,13,0.1,0.046,"N, Q21",0,,628582,8/19/2016
6361,NLA12_NM-105,1,5/30/2012,PLNLOW,SPL,NM,PLAINS,WI-SLH,4,ppb,6/14/2012,6/13/2012,15,0.1,0.046,"N, Q21",0,,623062,8/19/2016
6362,NLA12_SD-101,1,5/31/2012,PLNLOW,NPL,SD,PLAINS,WI-SLH,4,ppb,6/14/2012,6/13/2012,14,0.1,0.046,"N, Q21",0,,627352,8/19/2016
6372,NLA12_NM-104,1,6/1/2012,WMTNS,XER,NM,WMTNS,WI-SLH,4,ppb,6/14/2012,6/13/2012,13,0.1,0.046,"N, Q21",0,,625432,8/19/2016
6373,NLA12_KY-120,1,5/31/2012,PLNLOW,CPL,KY,CPL,WI-SLH,4,ppb,6/14/2012,6/13/2012,14,0.1,0.046,Q21,3.54,,627322,8/19/2016
6374,NLA12_KY-122,1,6/3/2012,EHIGH,SAP,KY,EHIGH,WI-SLH,4,ppb,6/14/2012,6/13/2012,11,0.1,0.046,Q21,1.09,,628372,8/19/2016
6381,NLA12_TN-114,1,5/31/2012,PLNLOW,CPL,TN,CPL,WI-SLH,4,ppb,6/18/2012,6/14/2012,18,0.1,0.046,Q21,0.16,,630352,8/19/2016
