TABLE_NAME	SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
tblBENTMET	BENT	AMPHNIND	Number of Amphipoda individuals in sample				NONE
tblBENTMET	BENT	AMPHNTAX	No. of Amphipoda taxa			0	NONE
tblBENTMET	BENT	AMPHPIND	% Amphipoda individuals		100	0	NONE
tblBENTMET	BENT	AMPHPTAX	% Amphipoda taxa		100	0	NONE
tblBENTMET	BENT	BURRNIND	Number of burrower individuals in sample				NONE
tblBENTMET	BENT	BURRNTAX	No. of Burrowers taxa			0	NONE
tblBENTMET	BENT	BURRPIND	% Burrowers individuals		100	0	NONE
tblBENTMET	BENT	BURRPTAX	% Burrowers taxa		100	0	NONE
tblBENTMET	BENT	CHIRDOM1PIND	% individuals in most abundant distinct Chironomidae taxon		100	0	NONE
tblBENTMET	BENT	CHIRDOM3PIND	% individuals in most abundant 3 distinct Chironomidae taxa		100	0	NONE
tblBENTMET	BENT	CHIRDOM5PIND	% individuals in most abundant 5 distinct Chironomidae taxa		100	0	NONE
tblBENTMET	BENT	CHIRNIND	Number of Chironomidae individuals in sample				NONE
tblBENTMET	BENT	CHIRNTAX	No. of Chironomidae taxa			0	NONE
tblBENTMET	BENT	CHIRPIND	% Chironomidae individuals		100	0	NONE
tblBENTMET	BENT	CHIRPTAX	% Chironomidae taxa		100	0	NONE
tblBENTMET	BENT	CLMBNIND	Number of climber individuals in sample				NONE
tblBENTMET	BENT	CLMBNTAX	No. of Climbers taxa			0	NONE
tblBENTMET	BENT	CLMBPIND	% Climbers individuals		100	0	NONE
tblBENTMET	BENT	CLMBPTAX	% Climbers taxa		100	0	NONE
tblBENTMET	BENT	CLNGNIND	Number of clinger individuals in sample				NONE
tblBENTMET	BENT	CLNGNTAX	No. of Clingers taxa			0	NONE
tblBENTMET	BENT	CLNGPIND	% Clingers individuals		100	0	NONE
tblBENTMET	BENT	CLNGPTAX	% Clingers taxa		100	0	NONE
tblBENTMET	BENT	COFININD	Number of collector-filterers individuals in sample				NONE
tblBENTMET	BENT	COFINTAX	No. of Collecter-filterer taxa			0	NONE
tblBENTMET	BENT	COFIPIND	% Collecter-filterer individuals		100	0	NONE
tblBENTMET	BENT	COFIPTAX	% Collecter-filterer taxa		100	0	NONE
tblBENTMET	BENT	COFITRICNIND	Number of collector-filterer Trichoptera individuals in sample				NONE
tblBENTMET	BENT	COFITRICNTAX	No. of Collector-filterer Trichoptera taxa			0	NONE
tblBENTMET	BENT	COFITRICPIND	% Collector-filterer Trichoptera individuals		100	0	NONE
tblBENTMET	BENT	COFITRICPTAX	% Collector-filterer Trichoptera taxa		100	0	NONE
tblBENTMET	BENT	COGANIND	Number of collector-gatherers individuals in sample				NONE
tblBENTMET	BENT	COGANTAX	No. of Collecter-gatherer taxa			0	NONE
tblBENTMET	BENT	COGAPIND	% Collecter-gatherer individuals		100	0	NONE
