PUBLICATION_DATE,TAXA_ID,ASSEMBLAGE_NAME,CLASS,FAMILY,FFG,GENUS,HABIT,NON_TARGET,ORDER,PHYLUM,PTV,SUBFAMILY,TARGET_TAXON,TRIBE
10/27/2015,1,INVERTEBRATES,GASTROPODA,ANCYLIDAE,SC,,CB,,BASOMMATOPHORA,MOLLUSCA,5.8,,ANCYLIDAE,
10/27/2015,2,INVERTEBRATES,ARACHNIDA,,PR,,,,,ARTHROPODA,8,,ARACHNIDA,
10/27/2015,3,INVERTEBRATES,INSECTA,COENAGRIONIDAE,PR,ARGIA,CB,,ODONATA,ARTHROPODA,7.1,,ARGIA,
10/27/2015,4,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,"PR,CG",BEZZIA/PALPOMYIA,"SP,BU,PK",,DIPTERA,ARTHROPODA,6,CERATOPOGONINAE,BEZZIA/PALPOMYIA,
10/27/2015,5,INVERTEBRATES,INSECTA,CAENIDAE,CG,CAENIS,SP,,EPHEMEROPTERA,ARTHROPODA,6,,CAENIS,
10/27/2015,6,INVERTEBRATES,INSECTA,LEPTOCERIDAE,CG,CERACLEA,CN,,TRICHOPTERA,ARTHROPODA,3.6,LEPTOCERINAE,CERACLEA,ATHRIPSODINI
10/27/2015,7,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,,,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,CHIRONOMINI,CHIRONOMINI
10/27/2015,8,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"CF,CG",CLADOTANYTARSUS,CB,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,CLADOTANYTARSUS,TANYTARSINI
10/27/2015,9,INVERTEBRATES,BIVALVIA,CORBICULIDAE,CF,CORBICULA,BU,,VENEROIDA,MOLLUSCA,5.5,,CORBICULA,
10/27/2015,10,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"SH, CG",CRICOTOPUS,,,DIPTERA,ARTHROPODA,7,ORTHOCLADIINAE,CRICOTOPUS,ORTHOCLADIINI/METRIOCNEMINI
10/27/2015,11,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,CRYPTOCHIRONOMUS,SP,,DIPTERA,ARTHROPODA,7,CHIRONOMINAE,CRYPTOCHIRONOMUS,CHIRONOMINI
10/27/2015,12,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,CG,DASYHELEA,SP,,DIPTERA,ARTHROPODA,5.7,DASYHELEINAE,DASYHELEA,
10/27/2015,13,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,DICROTENDIPES,BU,,DIPTERA,ARTHROPODA,6.7,CHIRONOMINAE,DICROTENDIPES,CHIRONOMINI
10/27/2015,14,INVERTEBRATES,INSECTA,CHIRONOMIDAE,SH,ENDOCHIRONOMUS,CN,,DIPTERA,ARTHROPODA,8,CHIRONOMINAE,ENDOCHIRONOMUS,CHIRONOMINI
10/27/2015,15,INVERTEBRATES,CLITELLATA,ERPOBDELLIDAE,PR,ERPOBDELLA,SP,,ARHYNCHOBDELLIDA,ANNELIDA,8,ERPOBDELLINAE,ERPOBDELLA,
