UID,LAB,CHLL_BATCH_ID,CHLX_BATCH_ID,CHLL_UNITS,CHLX_UNITS,CHLL_DATE_ANALYZED,CHLL_DATE_FILTERED,CHLL_DILUTION_FACTOR,CHLL_EXTRACT,CHLL_HOLDING_TIME,CHLL_LAB_FLAG,CHLL_LAB_SAMPLE_ID,CHLL_MDL,CHLL_QA_FLAG,CHLL_RESULT,CHLL_RL,CHLL_SAMPLEVOL,CHLL_VOLUME_ADJUST,CHLX_DATE_ANALYZED,CHLX_DATE_FILTERED,CHLX_DILUTION_FACTOR,CHLX_EXTRACT,CHLX_HOLDING_TIME,CHLX_LAB_FLAG,CHLX_LAB_SAMPLE_ID,CHLX_MDL,CHLX_QA_FLAG,CHLX_RESULT,CHLX_RL,CHLX_SAMPLEVOL,CHLX_VOLUME_ADJUST,CHLL_LAB_COMMENT,CHLX_LAB_COMMENT
6160,WPCL,L-203-12,L-203-12,ug/L,ug/L,,,,72,,<LRL (5),NLA12_CA-143,4,L,4,5,1000,,,,,83,,<MDL (4),NLA12_CA-143,4,ND;X2,2.7,5,1250,,"WPCL_8939_W_CHL;S, recd 8 days post sampling","WPCL_8939_W_CHL; S, recd 8 days post sampling"
6187,WRS,120523.1,120523.1,ug/L,ug/L,23-May-12,,,82.7,15,,1210001,0.5,,3.31,1,1000,,23-May-12,,,80.7,15,,1210001,0.5,,3.228,1,1000,,,
6189,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,129,7,,1210008,0.5,,5.16,1,1000,,24-May-12,,,187,8,,1210008,0.5,,7.48,1,1000,,,NO LABEL
6192,WRS,120523.1,120523.1,ug/L,ug/L,23-May-12,,,49.8,14,,1210002,0.5,,1.99,1,1000,,23-May-12,,,32.5,14,,1210002,0.5,,1.3,1,1000,,,
6194,WRS,120523.1,120523.1,ug/L,ug/L,23-May-12,,,110,14,,1210003,0.5,,6.29,1,700,,23-May-12,,,95.3,14,,1210003,0.5,,6.353333333,1,600,,,
6195,WRS,120523.1,120523.1,ug/L,ug/L,23-May-12,,,109,13,,1210004,0.5,,5.81,1,750,,23-May-12,,,161,13,,1210004,0.5,,8.586666667,1,750,,,
6212,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,22.6,9,,1210011,0.5,,9.04,1,100,,24-May-12,,,25.9,10,,1210011,0.5,,10.36,1,100,,,
6216,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,26,8,,1210006,0.5,,1.73,1,600,,24-May-12,,,53.8,9,,1210006,0.5,,3.586666667,1,600,,,
6217,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,133,8,,1210007,0.5,,5.32,1,1000,,24-May-12,,,82,9,,1210007,0.5,,3.28,1,1000,,,
6218,WRS,120523.1,120523.1,ug/L,ug/L,23-May-12,,,80.2,8,,1210005,0.5,,4.28,1,750,,23-May-12,,,48.8,8,,1210005,0.5,,1.952,1,1000,,,
6222,WRS,,120524.1,,ug/L,23-May-12,,,157,,,1210009,,,,,,,24-May-12,,,147,8,V,1210009,0.5,X4,23.52,1,250,,NO PACKET- VOLUME_FILTERED NOT AVAILABLE,FILTERED THROUGH KIMWIPE
6226,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,22.7,7,,1210010,0.5,,3.63,1,250,,24-May-12,,,22.3,8,,1210010,0.5,,3.568,1,250,,,
6227,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,67.1,6,,1210014,0.5,,5.37,1,500,,24-May-12,,,75,7,,1210014,0.5,,6,1,500,,,
6228,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,67.6,6,,1210012,0.5,,2.7,1,1000,,24-May-12,,,74.3,7,,1210012,0.5,,2.3776,1,1250,,,
6231,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,48.7,5,,1210013,0.5,,12.99,1,150,,24-May-12,,,42.1,6,,1210013,0.5,,11.22666667,1,150,,,
6232,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,35,3,,1210016,0.5,,2.8,1,500,,24-May-12,,,39.3,4,,1210016,0.5,,3.144,1,500,,,
6233,WRS,120523.1,120524.1,ug/L,ug/L,23-May-12,,,60,4,,1210015,0.5,,20,1,120,,24-May-12,,,102,5,,1210015,0.5,,16.32,1,250,,,
6235,WPCL,L-212-12_12_1503,L-212-12_12_1503,ug/L,ug/L,,,,214,,,NLA12_CA-168,4,,223,5,120,,,,,892,,,NLA12_CA-168,4,,111,5,200,,WPCL_9039_W_CHL,WPCL_9039_W_CHL
6236,OKDEQ,CHLL-20120625,CHLX-20120625,ug/L,ug/L,25-Jun-12,,,,35,,NLA12_OK-122,,,6.21,0.1,400,,25-Jun-12,,,,35,,NLA12_OK-122,,,15.6,0.1,90,,,
6237,WRS,120605.1,120524.1,ug/L,ug/L,5-Jun-12,,,33.9,15,,1210019,0.5,,13.56,1,100,,24-May-12,,,34.2,3,,1210019,0.5,,13.68,1,100,,,
6243,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,71.2,14,,1210020,0.5,,11.39,1,250,,5-Jun-12,,,96.3,14,,1210020,0.5,,15.408,1,250,,,
6249,WRS,120605.1,120524.1,ug/L,ug/L,5-Jun-12,,,88.7,14,,1210017,0.5,,10.14,1,350,,24-May-12,,,103,2,,1210017,0.5,,11.77142857,1,350,,,
6250,WPCL,L-216-12_12_1501,L-216-12_12_1501,ug/L,ug/L,,,,427,,,NLA12_CA-106,4,,153,5,140,,,,,352,,,NLA12_CA-106,4,,176,5,100,,WPCL_9039_W_CHL,WPCL_9039_W_CHL
6251,WRS,120605.1,120524.1,ug/L,ug/L,5-Jun-12,,,31.5,15,,1210018,0.5,,4.2,1,300,,24-May-12,,,40.8,3,,1210018,0.5,,4.184615385,1,390,,,
6252,PADEP,NOT PROVIDED,NOT PROVIDED,ug/L,ug/L,,,,,,,1559727,0.001,,28.84,0.001,250,,,,,,,,1559727,0.001,,42.29,0.001,250,,,
6253,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,51.2,14,,1210021,0.5,,2.73,1,750,,5-Jun-12,,,38.5,14,,1210021,0.5,,3.08,1,500,,,
6267,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,342.35,13,,1210025,0.5,,136.94,1,100,1,5-Jun-12,,,362,13,V,1210025,0.5,X4,144.8,1,100,,,FILTERED THROUGH KIMWIPE
6270,OKDEQ,CHLL-20120625,CHLX-20120625,ug/L,ug/L,25-Jun-12,,,,33,,NLA12_OK-118,,,2.39,0.1,350,,25-Jun-12,,,,33,MI,NLA12_OK-118,,,0.65,0.1,500,,,
6279,WPCL,L-219-12_12_1502,L-219-12_12_1502,ug/L,ug/L,,,,37,,<MDL (4),NLA12_CA-172,4,ND;X2,0.8,5,2000,,,,,40,,<MDL (4),NLA12_CA-172,4,ND;X2,0.8,5,2000,,WPCL_9039_W_CHL,WPCL_9039_W_CHL
6281,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,74,13,,1210023,0.5,,11.84,1,250,,5-Jun-12,,,81.6,13,,1210023,0.5,,13.056,1,250,,,
6284,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,39.7,12,,1210030,0.5,,1.59,1,1000,,5-Jun-12,,,29,12,,1210030,0.5,,1.16,1,1000,,,
6285,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,335,13,,1210022,0.5,,53.6,1,250,,5-Jun-12,,,498,13,,1210022,0.5,,44.26666667,1,450,,,
6286,WRS,120605.1,120605.1,ug/L,ug/L,5-Jun-12,,,47.4,13,,1210028,0.5,,7.58,1,250,,5-Jun-12,,,195,13,,1210028,0.5,,31.2,1,250,,,
