PUBLICATION_DATE,TAXA_ID,ASSEMBLAGE_NAME,ALGAL_GROUP,CLASS,FAMILY,GENUS,ORDER,PHYLUM,SPECIES,TARGET_TAXON
10/27/2015,3992,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,ACHNANTHES,PENNALES,CHRYSOPHYTA,,ACHNANTHES
10/27/2015,3993,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,COCCONEIS PEDICULUS,COCCONEIS PEDICULUS
10/27/2015,3994,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,COCCONEIS PLACENTULA,COCCONEIS PLACENTULA
10/27/2015,3995,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,,COCCONEIS
10/27/2015,3996,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PLANOTHIDIUM,PENNALES,CHRYSOPHYTA,PLANOTHIDIUM LANCEOLATUM,PLANOTHIDIUM LANCEOLATUM
10/27/2015,3997,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PLANOTHIDIUM,PENNALES,CHRYSOPHYTA,,PLANOTHIDIUM
10/27/2015,3998,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PSAMMOTHIDIUM,PENNALES,CHRYSOPHYTA,PSAMMOTHIDIUM CURTISSIMUM,PSAMMOTHIDIUM CURTISSIMUM
10/27/2015,3999,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PSAMMOTHIDIUM,PENNALES,CHRYSOPHYTA,,PSAMMOTHIDIUM
10/27/2015,4000,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM CATENATUM,ACHNANTHIDIUM CATENATUM
10/27/2015,4001,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM DUTHIEI,ACHNANTHIDIUM DUTHIEI
10/27/2015,4002,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM EXIGUUM,ACHNANTHIDIUM EXIGUUM
10/27/2015,4003,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM EXILIS,ACHNANTHIDIUM EXILIS
10/27/2015,4004,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM GRACILLIMUM,ACHNANTHIDIUM GRACILLIMUM
10/27/2015,4005,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM HUNGARICUM,ACHNANTHIDIUM HUNGARICUM
10/27/2015,4006,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM MINUTISSIMUM,ACHNANTHIDIUM MINUTISSIMUM
10/27/2015,4007,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM RIVULARE,ACHNANTHIDIUM RIVULARE
10/27/2015,4008,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,,ACHNANTHIDIUM
10/27/2015,4009,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,EUCOCCONEIS,PENNALES,CHRYSOPHYTA,EUCOCCONEIS FLEXELLA,EUCOCCONEIS FLEXELLA
10/27/2015,4010,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,EUCOCCONEIS,PENNALES,CHRYSOPHYTA,,EUCOCCONEIS
10/27/2015,4011,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,AMPHIPLEURA,PENNALES,CHRYSOPHYTA,AMPHIPLEURA PELLUCIDA,AMPHIPLEURA PELLUCIDA
10/27/2015,4012,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,AMPHIPLEURA,PENNALES,CHRYSOPHYTA,,AMPHIPLEURA
10/27/2015,4013,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,FRUSTULIA RHOMBOIDES,FRUSTULIA RHOMBOIDES
10/27/2015,4014,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,FRUSTULIA VULGARIS,FRUSTULIA VULGARIS
10/27/2015,4015,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AMPHIPLEURACEAE,FRUSTULIA,PENNALES,CHRYSOPHYTA,,FRUSTULIA
10/27/2015,4016,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,ANOMOEONEIDACEAE,ANOMOEONEIS,PENNALES,CHRYSOPHYTA,,ANOMOEONEIS
10/27/2015,4017,PHYTOPLANKTON,DIATOM,BACILLARIOPHYCEAE,AULACOSEIRACEAE,AULACOSEIRA,CENTRALES,CHRYSOPHYTA,AULACOSEIRA ALPIGENA,AULACOSEIRA ALPIGENA
