SAMPLE_TYPE	DATA_COLUMN	DESCRIPTION	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
PHYTOPLANKTON	ALGAL_GROUP	"Broad algal group, used in metric calculation"		BLUE-GREEN ALGAE|CRYPTOPHYTES|DIATOM|DINOFLAGELLATES|EUGLENOIDS|EUSTIGMATOPHYTES|GOLDEN ALGAE|GREEN ALGAE|YELLOW-GREEN ALGAE			None
PHYTOPLANKTON	CLASS		Class of taxon				
PHYTOPLANKTON	FAMILY		Family of taxon				
PHYTOPLANKTON	GENUS		Genus of taxon				
PHYTOPLANKTON	ORDER		Order of taxon				
PHYTOPLANKTON	PHYLUM		Phylum of taxon				
PHYTOPLANKTON	SPECIES		Species of taxon				
PHYTOPLANKTON	TARGET_TAXON		Name of taxon at target taxon level				
	PUBLICATION_DATE	Publication Date					
	TAXA_ID	Taxa ID number					
	ASSEMBLAGE_NAME	Assemblage of taxon					
