UID,SITE_ID,AGGR_ECO3_2015,AGGR_ECO9_2015,STATE,ECO_BIO,YEAR,VISIT_NO,DATE_COL,CLEAR_TO_BOTTOM,DISAPPEARS,REAPPEARS,SAMPLE_DEPTH,SECCHI,PUBLICATION_DATE
6160,NLA12_CA-143,WMTNS,XER,CA,WMTNS,2012,1,5/2/2012,,5.14,4.53,,4.835,8/23/2016
6187,NLA12_AZ-101,WMTNS,XER,AZ,WMTNS,2012,1,5/8/2012,,2.9,2.8,,2.85,8/23/2016
6189,NLA12_ND-115,PLNLOW,NPL,ND,PLAINS,2012,1,5/16/2012,,2.3,2.1,,2.2,8/23/2016
6192,NLA12_AZ-118,WMTNS,XER,AZ,WMTNS,2012,1,5/9/2012,,1.6,1.5,,1.55,8/23/2016
6194,NLA12_UT-103,WMTNS,WMT,UT,WMTNS,2012,1,5/9/2012,,2.4,2.2,,2.3,8/23/2016
6195,NLA12_AZ-130,WMTNS,XER,AZ,WMTNS,2012,1,5/10/2012,,1.9,1.8,,1.85,8/23/2016
6212,NLA12_FL-101,PLNLOW,CPL,FL,CPL,2012,1,5/14/2012,,0.25,0.2,,0.225,8/23/2016
6216,NLA12_UT-101,WMTNS,WMT,UT,WMTNS,2012,1,5/15/2012,Y,,,,,8/23/2016
6217,NLA12_ND-112,PLNLOW,NPL,ND,PLAINS,2012,1,5/15/2012,,2.6,2.5,,2.55,8/23/2016
6218,NLA12_FL-123,PLNLOW,CPL,FL,CPL,2012,1,5/15/2012,,5.5,5.2,,5.35,8/23/2016
6222,NLA12_FL-102,PLNLOW,CPL,FL,CPL,2012,1,5/16/2012,,0.5,0.45,,0.475,8/23/2016
6226,NLA12_GA-112,EHIGH,SAP,GA,EHIGH,2012,1,5/16/2012,,2.35,2.34,,2.345,8/23/2016
6227,NLA12_UT-108,WMTNS,WMT,UT,WMTNS,2012,1,5/17/2012,,2.3,2.2,,2.25,8/23/2016
6228,NLA12_FL-107,PLNLOW,CPL,FL,CPL,2012,1,5/17/2012,,5.75,5.65,,5.7,8/23/2016
6231,NLA12_FL-110,PLNLOW,CPL,FL,CPL,2012,1,5/18/2012,,1.6,1.55,,1.575,8/23/2016
6232,NLA12_FL-106,PLNLOW,CPL,FL,CPL,2012,1,5/20/2012,,0.75,0.7,,0.725,8/23/2016
6233,NLA12_FL-104,PLNLOW,CPL,FL,CPL,2012,1,5/19/2012,,0.8,0.7,,0.75,8/23/2016
6235,NLA12_CA-168,WMTNS,XER,CA,WMTNS,2012,1,5/21/2012,,0.93,0.68,,0.805,8/23/2016
6236,NLA12_OK-122,PLNLOW,SPL,OK,PLAINS,2012,1,5/21/2012,,0.15,0.12,,0.135,8/23/2016
6237,NLA12_WI-R11,PLNLOW,UMW,WI,UMW,2012,1,5/21/2012,Y,1.5,1.5,,1.5,8/23/2016
6243,NLA12_KS-114,PLNLOW,TPL,KS,PLAINS,2012,1,5/22/2012,,0.8,0.75,,0.775,8/23/2016
6249,NLA12_OK-R01,PLNLOW,SPL,OK,PLAINS,2012,1,5/22/2012,,0.9,0.8,,0.85,8/23/2016
6250,NLA12_CA-106,WMTNS,XER,CA,WMTNS,2012,1,5/22/2012,,0.35,0.27,,0.31,8/23/2016
6251,NLA12_FL-114,PLNLOW,CPL,FL,CPL,2012,1,5/21/2012,,1.65,1.35,,1.5,8/23/2016
6252,NLA12_PA-102,EHIGH,SAP,PA,EHIGH,2012,1,9/5/2012,,0.9,0.8,,0.85,8/23/2016
6253,NLA12_WI-R08,PLNLOW,UMW,WI,UMW,2012,1,5/22/2012,,1.99,1.67,,1.83,8/23/2016
6267,NLA12_AL-105,PLNLOW,CPL,AL,CPL,2012,1,5/23/2012,,0.45,0.4,,0.425,8/23/2016
6270,NLA12_OK-118,PLNLOW,SPL,OK,PLAINS,2012,1,5/23/2012,,0.65,0.56,,0.605,8/23/2016
6279,NLA12_CA-172,WMTNS,XER,CA,WMTNS,2012,1,5/23/2012,,12.5,12.1,,12.3,8/23/2016
6281,NLA12_AZ-127,WMTNS,WMT,AZ,WMTNS,2012,1,5/23/2012,,0.3,0.28,,0.29,8/23/2016
6284,NLA12_KY-101,EHIGH,SAP,KY,EHIGH,2012,1,5/24/2012,,3.3,3,,3.15,8/23/2016
6285,NLA12_KY-107,EHIGH,SAP,KY,EHIGH,2012,1,5/23/2012,,1.2,1,,1.1,8/23/2016
6286,NLA12_NC-107,PLNLOW,CPL,NC,CPL,2012,1,5/23/2012,,2.5,2.4,,2.45,8/23/2016
6293,NLA12_GA-101,PLNLOW,CPL,GA,CPL,2012,1,5/24/2012,,1.8,1.7,,1.75,8/23/2016
6300,NLA12_AL-101,EHIGH,SAP,AL,EHIGH,2012,1,5/24/2012,,2.6,2.5,,2.55,8/23/2016
6302,NLA12_OK-R09,PLNLOW,SPL,OK,PLAINS,2012,1,5/23/2012,,0.3,0.28,,0.29,8/23/2016
6303,NLA12_KY-103,EHIGH,SAP,KY,EHIGH,2012,1,5/25/2012,,2.6,2.5,,2.55,8/23/2016
6318,NLA12_OK-293,PLNLOW,SPL,OK,PLAINS,2012,1,5/29/2012,,30,26,,28,8/23/2016
6319,NLA12_NM-132,WMTNS,WMT,NM,WMTNS,2012,1,5/28/2012,,0.1,0.1,,0.1,8/23/2016
6321,NLA12_SC-105,PLNLOW,CPL,SC,CPL,2012,1,5/27/2012,,0.9,0.8,,0.85,8/23/2016
6325,NLA12_SC-112,PLNLOW,CPL,SC,CPL,2012,1,5/26/2012,Y,,,,,8/23/2016
6326,NLA12_SC-108,PLNLOW,CPL,SC,CPL,2012,1,5/28/2012,,1.1,1,,1.05,8/23/2016
6341,NLA12_NM-152,PLNLOW,SPL,NM,PLAINS,2012,1,5/29/2012,,0.2,0.2,,0.2,8/23/2016
6342,NLA12_CO-110,PLNLOW,SPL,CO,PLAINS,2012,1,5/29/2012,,0.64,0.6,,0.62,8/23/2016
6344,NLA12_ND-101,PLNLOW,TPL,ND,PLAINS,2012,1,5/30/2012,,1.45,1.4,,1.425,8/23/2016
6345,NLA12_KY-104,PLNLOW,CPL,KY,CPL,2012,1,5/30/2012,,0.2,0.1,,0.15,8/23/2016
6346,NLA12_KS-130,PLNLOW,TPL,KS,PLAINS,2012,1,5/30/2012,,0.96,0.94,,0.95,8/23/2016
6347,NLA12_PA-108,PLNLOW,CPL,PA,CPL,2012,1,5/30/2012,,3.5,3.25,,3.375,8/23/2016
6359,NLA12_NC-105,EHIGH,SAP,NC,EHIGH,2012,1,5/30/2012,,4.9,4.4,,4.65,8/23/2016
