SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
CHEM	ANC_DATE_ANALYZED	Date of sample analysis for Acid Neutralizing Capacity				
CHEM	ANC_HOLDING_TIME	Sample holding time for Acid Neutralizing Capacity				
CHEM	ANC_QA_FLAG	QA flag associated with sample for Acid Neutralizing Capacity				
CHEM	ANC_RESULT	Analyte value for Acid Neutralizing Capacity				
CHEM	ANC_BATCH_ID	Batch ID from lab for Acid Neutralizing Capacity				
CHEM	ANC_FLAG	Flag for Acid Neutralizing Capacity				
CHEM	ANC_UNITS	Units for Acid Neutralizing Capacity				
CHEM	ANC_LAB_SAMPLE_ID	Laboratory Sample ID for Acid Neutralizing Capacity				
CHEM	ANC_LAB_FLAG	Flag from laboratory for Acid Neutralizing Capacity				
CHEM	COND_DATE_ANALYZED	Date of sample analysis for Conductivity				
CHEM	COND_HOLDING_TIME	Sample holding time for Conductivity				
CHEM	COND_MDL	Minimum detection limit of analyte for Conductivity				
CHEM	COND_QA_FLAG	QA flag associated with sample for Conductivity				
CHEM	COND_RESULT	Analyte value for Conductivity				
CHEM	COND_RL	Reporting limit for Conductivity				
CHEM	COND_BATCH_ID	Batch ID from lab for Conductivity				
CHEM	COND_FLAG	Flag for Conductivity				
CHEM	COND_UNITS	Units for Conductivity				
CHEM	COND_LAB_SAMPLE_ID	Laboratory Sample ID for Conductivity				
CHEM	COND_LAB_FLAG	Flag from laboratory for Conductivity				
CHEM	PH_DATE_ANALYZED	Date of sample analysis for pH				
CHEM	PH_HOLDING_TIME	Sample holding time for pH				
CHEM	PH_QA_FLAG	QA flag associated with sample for pH				
CHEM	PH_RESULT	Analyte value for pH				
CHEM	PH_BATCH_ID	Batch ID from lab for pH				
CHEM	PH_FLAG	Flag for pH				
CHEM	PH_UNITS	Units for pH				
CHEM	PH_LAB_SAMPLE_ID	Laboratory Sample ID for pH				
CHEM	PH_LAB_FLAG	Flag from laboratory for pH				
CHEM	TURB_DATE_ANALYZED	Date of sample analysis for Turbidity				
CHEM	TURB_HOLDING_TIME	Sample holding time for Turbidity				
CHEM	TURB_MDL	Minimum detection limit of analyte for Turbidity				
CHEM	TURB_QA_FLAG	QA flag associated with sample for Turbidity				
CHEM	TURB_RESULT	Analyte value for Turbidity				
CHEM	TURB_RL	Reporting limit for Turbidity				
CHEM	TURB_BATCH_ID	Batch ID from lab for Turbidity				
CHEM	TURB_FLAG	Flag for Turbidity				
CHEM	TURB_UNITS	Units for Turbidity				
CHEM	TURB_LAB_SAMPLE_ID	Laboratory Sample ID for Turbidity				
CHEM	TURB_LAB_FLAG	Flag from laboratory for Turbidity				
CHEM	COLOR_DATE_ANALYZED	Date of sample analysis for Color				
CHEM	COLOR_HOLDING_TIME	Sample holding time for Color				
CHEM	COLOR_MDL	Minimum detection limit of analyte for Color				
CHEM	COLOR_QA_FLAG	QA flag associated with sample for Color				
CHEM	COLOR_RESULT	Analyte value for Color				
CHEM	COLOR_RL	Reporting limit for Color				
CHEM	COLOR_BATCH_ID	Batch ID from lab for Color				
CHEM	COLOR_FLAG	Flag for Color				
CHEM	COLOR_UNITS	Units for Color				
CHEM	COLOR_LAB_SAMPLE_ID	Laboratory Sample ID for Color				
CHEM	COLOR_LAB_FLAG	Flag from laboratory for Color				
CHEM	CHLORIDE_DATE_ANALYZED	Date of sample analysis for Chloride ion				
CHEM	CHLORIDE_HOLDING_TIME	Sample holding time for Chloride ion				
CHEM	CHLORIDE_MDL	Minimum detection limit of analyte for Chloride ion				
CHEM	CHLORIDE_QA_FLAG	QA flag associated with sample for Chloride ion				
CHEM	CHLORIDE_RESULT	Analyte value for Chloride ion				
CHEM	CHLORIDE_RL	Reporting limit for Chloride ion				
CHEM	CHLORIDE_BATCH_ID	Batch ID from lab for Chloride ion				
CHEM	CHLORIDE_FLAG	Flag for Chloride ion				
CHEM	CHLORIDE_UNITS	Units for Chloride ion				
CHEM	CHLORIDE_LAB_SAMPLE_ID	Laboratory Sample ID for Chloride ion				
CHEM	CHLORIDE_LAB_FLAG	Flag from laboratory for Chloride ion				
CHEM	NITRATE_N_DATE_ANALYZED	Date of sample analysis for Nitrate as N				
CHEM	NITRATE_N_HOLDING_TIME	Sample holding time for Nitrate as N				
CHEM	NITRATE_N_MDL	Minimum detection limit of analyte for Nitrate as N				
CHEM	NITRATE_N_QA_FLAG	QA flag associated with sample for Nitrate as N				
CHEM	NITRATE_N_RESULT	Analyte value for Nitrate as N				
CHEM	NITRATE_N_RL	Reporting limit for Nitrate as N				
CHEM	NITRATE_N_BATCH_ID	Batch ID from lab for Nitrate as N				
CHEM	NITRATE_N_FLAG	Flag for Nitrate as N				
CHEM	NITRATE_N_UNITS	Units for Nitrate as N				
CHEM	NITRATE_N_LAB_SAMPLE_ID	Laboratory Sample ID for Nitrate as N				
CHEM	NITRATE_N_LAB_FLAG	Flag from laboratory for Nitrate as N				
CHEM	NITRATE_NITRITE_N_DATE_ANALYZED	Date of sample analysis for Nitrate + Nitrite as N				
