UID,SAM_CODE,LAB,ALUMINUM_BATCH_ID,AMMONIA_N_BATCH_ID,ANC_BATCH_ID,CALCIUM_BATCH_ID,CHLORIDE_BATCH_ID,COLOR_BATCH_ID,COND_BATCH_ID,DOC_BATCH_ID,MAGNESIUM_BATCH_ID,NITRATE_N_BATCH_ID,NITRATE_NITRITE_N_BATCH_ID,NITRITE_N_BATCH_ID,NTL_BATCH_ID,PH_BATCH_ID,POTASSIUM_BATCH_ID,PTL_BATCH_ID,SILICA_BATCH_ID,SODIUM_BATCH_ID,SULFATE_BATCH_ID,TOC_BATCH_ID,TSS_BATCH_ID,TURB_BATCH_ID,ALUMINUM_UNITS,AMMONIA_N_UNITS,ANC_UNITS,CALCIUM_UNITS,CHLORIDE_UNITS,COLOR_UNITS,COND_UNITS,DOC_UNITS,MAGNESIUM_UNITS,NITRATE_N_UNITS,NITRATE_NITRITE_N_UNITS,NITRITE_N_UNITS,NTL_UNITS,PH_UNITS,POTASSIUM_UNITS,PTL_UNITS,SILICA_UNITS,SODIUM_UNITS,SULFATE_UNITS,TOC_UNITS,TSS_UNITS,TURB_UNITS,ALUMINUM_DATE_ANALYZED,ALUMINUM_HOLDING_TIME,ALUMINUM_LAB_FLAG,ALUMINUM_LAB_SAMPLE_ID,ALUMINUM_MDL,ALUMINUM_QA_FLAG,ALUMINUM_RESULT,ALUMINUM_RL,AMMONIA_N_DATE_ANALYZED,AMMONIA_N_HOLDING_TIME,AMMONIA_N_LAB_FLAG,AMMONIA_N_LAB_SAMPLE_ID,AMMONIA_N_MDL,AMMONIA_N_QA_FLAG,AMMONIA_N_RESULT,AMMONIA_N_RL,ANC_DATE_ANALYZED,ANC_HOLDING_TIME,ANC_LAB_FLAG,ANC_LAB_SAMPLE_ID,ANC_QA_FLAG,ANC_RESULT,CALCIUM_DATE_ANALYZED,CALCIUM_HOLDING_TIME,CALCIUM_LAB_FLAG,CALCIUM_LAB_SAMPLE_ID,CALCIUM_MDL,CALCIUM_QA_FLAG,CALCIUM_RESULT,CALCIUM_RL,CHLORIDE_DATE_ANALYZED,CHLORIDE_HOLDING_TIME,CHLORIDE_LAB_FLAG,CHLORIDE_LAB_SAMPLE_ID,CHLORIDE_MDL,CHLORIDE_QA_FLAG,CHLORIDE_RESULT,CHLORIDE_RL,COLOR_DATE_ANALYZED,COLOR_HOLDING_TIME,COLOR_LAB_FLAG,COLOR_LAB_SAMPLE_ID,COLOR_MDL,COLOR_QA_FLAG,COLOR_RESULT,COLOR_RL,COND_DATE_ANALYZED,COND_HOLDING_TIME,COND_LAB_FLAG,COND_LAB_SAMPLE_ID,COND_MDL,COND_QA_FLAG,COND_RESULT,COND_RL,DOC_DATE_ANALYZED,DOC_HOLDING_TIME,DOC_LAB_FLAG,DOC_LAB_SAMPLE_ID,DOC_MDL,DOC_QA_FLAG,DOC_RESULT,DOC_RL,MAGNESIUM_DATE_ANALYZED,MAGNESIUM_HOLDING_TIME,MAGNESIUM_LAB_FLAG,MAGNESIUM_LAB_SAMPLE_ID,MAGNESIUM_MDL,MAGNESIUM_QA_FLAG,MAGNESIUM_RESULT,MAGNESIUM_RL,NITRATE_N_DATE_ANALYZED,NITRATE_N_HOLDING_TIME,NITRATE_N_LAB_FLAG,NITRATE_N_LAB_SAMPLE_ID,NITRATE_N_MDL,NITRATE_N_QA_FLAG,NITRATE_N_RESULT,NITRATE_N_RL,NITRATE_NITRITE_N_DATE_ANALYZED,NITRATE_NITRITE_N_HOLDING_TIME,NITRATE_NITRITE_N_LAB_FLAG,NITRATE_NITRITE_N_LAB_SAMPLE_ID,NITRATE_NITRITE_N_MDL,NITRATE_NITRITE_N_QA_FLAG,NITRATE_NITRITE_N_RESULT,NITRATE_NITRITE_N_RL,NITRITE_N_DATE_ANALYZED,NITRITE_N_HOLDING_TIME,NITRITE_N_LAB_FLAG,NITRITE_N_LAB_SAMPLE_ID,NITRITE_N_MDL,NITRITE_N_QA_FLAG,NITRITE_N_RESULT,NITRITE_N_RL,NTL_DATE_ANALYZED,NTL_HOLDING_TIME,NTL_LAB_FLAG,NTL_LAB_SAMPLE_ID,NTL_MDL,NTL_QA_FLAG,NTL_RESULT,NTL_RL,PH_DATE_ANALYZED,PH_HOLDING_TIME,PH_LAB_FLAG,PH_LAB_SAMPLE_ID,PH_QA_FLAG,PH_RESULT,POTASSIUM_DATE_ANALYZED,POTASSIUM_HOLDING_TIME,POTASSIUM_LAB_FLAG,POTASSIUM_LAB_SAMPLE_ID,POTASSIUM_MDL,POTASSIUM_QA_FLAG,POTASSIUM_RESULT,POTASSIUM_RL,PTL_DATE_ANALYZED,PTL_HOLDING_TIME,PTL_LAB_FLAG,PTL_LAB_SAMPLE_ID,PTL_MDL,PTL_QA_FLAG,PTL_RESULT,PTL_RL,SILICA_DATE_ANALYZED,SILICA_HOLDING_TIME,SILICA_LAB_FLAG,SILICA_LAB_SAMPLE_ID,SILICA_MDL,SILICA_QA_FLAG,SILICA_RESULT,SILICA_RL,SODIUM_DATE_ANALYZED,SODIUM_HOLDING_TIME,SODIUM_LAB_SAMPLE_ID,SODIUM_MDL,SODIUM_QA_FLAG,SODIUM_RESULT,SODIUM_RL,SULFATE_DATE_ANALYZED,SULFATE_HOLDING_TIME,SULFATE_LAB_FLAG,SULFATE_LAB_SAMPLE_ID,SULFATE_MDL,SULFATE_QA_FLAG,SULFATE_RESULT,SULFATE_RL,TOC_HOLDING_TIME,TOC_RESULT,TSS_DATE_ANALYZED,TSS_HOLDING_TIME,TSS_LAB_SAMPLE_ID,TSS_MDL,TSS_QA_FLAG,TSS_RESULT,TSS_RL,TURB_DATE_ANALYZED,TURB_HOLDING_TIME,TURB_LAB_FLAG,TURB_LAB_SAMPLE_ID,TURB_MDL,TURB_QA_FLAG,TURB_RESULT,TURB_RL,ANC_FLAG,CALCIUM_FLAG,CHLORIDE_FLAG,COLOR_FLAG,COND_FLAG,DOC_FLAG,MAGNESIUM_FLAG,NITRATE_N_FLAG,NITRATE_NITRITE_N_FLAG,NTL_FLAG,PH_FLAG,POTASSIUM_FLAG,PTL_FLAG,SILICA_FLAG,SODIUM_FLAG,SULFATE_FLAG,TSS_FLAG,TURB_FLAG,CHEM_SAMPLE_ID,CHEM_SHIP_FLAG,NUTS_SAMPLE_ID,NUTS_SHIP_FLAG
1000001,REGULAR,WRS,110731.1,120613.1,120607.1,120731.1,120608.1,120607.1,120607.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120607.1,120731.1,120618.1,120607.1,120731.1,120608.1,,,120607.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,56,<LRL (0.02),1210066,0.01,ND,0.007,0.02,6/13/2012,8,<LRL (0.004),1210066,0.002,L,0.0021,0.004,6/7/2012,2,,1210066,,180.7,7/31/2012,56,,1210066,0.02,,2.421,0.04,6/8/2012,3,,1210066,0.03,,1.239,0.06,6/7/2012,2,,1210066,,L,2,5,6/7/2012,2,,1210066,,,30.4,2,6/19/2012,14,,1210066,0.1,,4.78,0.2,7/31/2012,56,,1210066,0.01,,0.891,0.02,6/8/2012,3,<LRL (0.02),1210066,0.01,ND,0,0.02,6/8/2012,3,,1210066,0.01,ND,0,0.02,6/8/2012,3,<LRL (0.02),1210066,0.01,ND,0,0.02,6/18/2012,13,,1210066,0.01,,0.396,0.02,6/7/2012,2,,1210066,,6.53,7/31/2012,56,,1210066,0.04,,0.93,0.08,6/18/2012,13,,1210066,2,,22,4,6/7/2012,2,,1210066,0.005,,3.621,0.01,7/31/2012,56,1210066,0.02,,1.636,0.04,6/8/2012,3,,1210066,0.09,,3.371,0.18,,,,,,,,,,6/7/2012,2,,1210066,,,1.57,2,,,,,,,,,,,,,,,,,,,634490,,634493,
1000010,REGULAR,WRS,110731.1,120613.1,120608.1,120731.1,120608.1,120608.1,120608.1,120619.1,120731.1,120608.1,120608.1,120608.1,120618.1,120608.1,120731.1,120618.1,120612.1,120731.1,120608.1,,,120608.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,55,,1210084,0.01,,0.02,0.02,6/13/2012,7,,1210084,0.002,,0.0087,0.004,6/8/2012,2,,1210084,,240.8,7/31/2012,55,,1210084,0.02,,2.441,0.04,6/8/2012,2,,1210084,0.03,,1.261,0.06,6/8/2012,2,,1210084,,,26,5,6/8/2012,2,,1210084,,,31.5,2,6/19/2012,13,,1210084,0.1,,7.47,0.2,7/31/2012,55,,1210084,0.01,,1.051,0.02,6/8/2012,2,<LRL (0.02),1210084,0.01,ND,0,0.02,6/8/2012,2,,1210084,0.01,ND,0,0.02,6/8/2012,2,<LRL (0.02),1210084,0.01,ND,0,0.02,6/18/2012,12,,1210084,0.01,,1.226,0.02,6/8/2012,2,,1210084,,7.71,7/31/2012,55,,1210084,0.04,,1.622,0.08,6/18/2012,12,,1210084,2,,66,4,6/12/2012,6,,1210084,0.005,,2.162,0.01,7/31/2012,55,1210084,0.02,,1.537,0.04,6/8/2012,2,,1210084,0.09,,0.959,0.18,,,,,,,,,,6/8/2012,2,,1210084,,,21.78,2,,,,,,,,,,,,,,,,,,,630230,,630233,
1000011,REGULAR,WRS,110731.1,120613.1,120609.1,120731.1,120611.1,120609.1,120609.1,120619.1,130204.1,120611.1,120611.1,120611.1,120618.1,120609.1,120731.1,120618.1,120612.1,120731.1,120611.1,,,120609.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,7/31/2012,54,<LRL (0.02),1210087,0.01,L,0.012,0.02,6/13/2012,6,,1210087,0.002,,0.0099,0.004,6/9/2012,2,,1210087,,209.8,7/31/2012,54,,1210087,0.02,,1.413,0.04,6/11/2012,4,,1210087,0.03,,0.965,0.06,6/9/2012,2,,1210087,,,19,5,6/9/2012,2,,1210087,,,27.9,2,6/19/2012,12,,1210087,0.1,,6.95,0.2,2/4/2013,242,>HT,1210087,0.01,H,1.453,0.02,6/11/2012,4,<LRL (0.02),1210087,0.01,ND,0,0.02,6/11/2012,4,,1210087,0.01,ND,0,0.02,6/11/2012,4,<LRL (0.02),1210087,0.01,ND,0,0.02,6/18/2012,11,,1210087,0.01,,0.99,0.02,6/9/2012,2,,1210087,,7.55,7/31/2012,54,,1210087,0.04,,2.447,0.08,6/18/2012,11,,1210087,2,,45,4,6/12/2012,5,,1210087,0.005,,1.13,0.01,7/31/2012,54,1210087,0.02,,1.049,0.04,6/11/2012,4,,1210087,0.09,,1.11,0.18,,,,,,,,,,6/9/2012,2,,1210087,,,8.12,2,,,,,,,,,,,,,,,,,,,621560,,621563,
1000013,REGULAR,WRS,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,,,120620.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/23/2012,127,,1210159,0.01,,0.031,0.02,6/20/2012,2,,1210159,0.002,,0.011,0.004,6/20/2012,2,,1210159,,273.5,10/23/2012,127,,1210159,0.02,,4.865,0.04,6/22/2012,4,,1210159,0.03,,4.785,0.06,6/20/2012,2,,1210159,,,32,5,6/20/2012,2,,1210159,,,52.3,2,7/3/2012,15,,1210159,0.1,,5.61,0.2,10/23/2012,127,,1210159,0.01,,0.728,0.02,6/22/2012,4,<LRL (0.02),1210159,0.01,ND,0.002,0.02,6/22/2012,4,,1210159,0.01,ND,0.002,0.02,6/22/2012,4,<LRL (0.02),1210159,0.01,ND,0,0.02,6/27/2012,9,,1210159,0.01,,0.261,0.02,6/20/2012,2,,1210159,,7.53,10/23/2012,127,,1210159,0.04,,0.879,0.08,6/27/2012,9,,1210159,2,,18,4,6/21/2012,3,,1210159,0.005,,4.853,0.01,10/23/2012,127,1210159,0.02,,3.855,0.04,6/22/2012,4,,1210159,0.09,,2.774,0.18,,,,,,,,,,6/20/2012,2,,1210159,,L,0.37,2,,,,,,,,,,,,,,,,,,,639470,,639473,
1000014,REGULAR,WRS,121023.1,120620.1,120620.1,121023.1,120622.1,120620.1,120620.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120620.1,121023.1,120627.1,120621.1,121023.1,120622.1,,,120620.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/23/2012,127,<LRL (0.02),1210160,0.01,ND,0,0.02,6/20/2012,2,,1210160,0.002,,0.004,0.004,6/20/2012,2,,1210160,,342.9,10/23/2012,127,,1210160,0.02,,8.632,0.04,6/22/2012,4,,1210160,0.03,,8.969,0.06,6/20/2012,2,,1210160,,,26,5,6/20/2012,2,,1210160,,,141.2,2,7/3/2012,15,,1210160,0.1,,6.5,0.2,10/23/2012,127,,1210160,0.01,,4.877,0.02,6/22/2012,4,<LRL (0.02),1210160,0.01,ND,0.002,0.02,6/22/2012,4,,1210160,0.01,ND,0.002,0.02,6/22/2012,4,<LRL (0.02),1210160,0.01,ND,0,0.02,6/27/2012,9,,1210160,0.01,,0.445,0.02,6/20/2012,2,,1210160,,7.67,10/23/2012,127,,1210160,0.04,,3.457,0.08,6/27/2012,9,,1210160,2,,30,4,6/21/2012,3,,1210160,0.005,,8.921,0.01,10/23/2012,127,1210160,0.02,,8.341,0.04,6/22/2012,4,,1210160,0.09,,30.626,0.18,,,,,,,,,,6/20/2012,2,,1210160,,,2.08,2,,,,,,,,,,,,,,,,,,,643070,,643073,
1000015,REGULAR,WRS,121023.1,130131.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,130123.1,120621.1,121023.1,120628.1,120621.1,121023.1,120622.1,,,120621.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/23/2012,126,,1210171,0.01,,2.48,0.02,1/31/2013,226,>HT,1210171,0.002,H,3.18,0.004,9/4/2013,384,,1210171,H;X1,-589.6,10/23/2012,126,,1210171,0.02,,29.87,0.04,6/22/2012,3,,1210171,0.03,,9.783,0.06,6/21/2012,2,,1210171,,,5,5,6/21/2012,2,,1210171,,,573,2,7/3/2012,14,,1210171,0.1,,0.23,0.2,10/23/2012,126,,1210171,0.01,,9.582,0.02,6/22/2012,3,,1210171,0.01,,0.078,0.02,6/22/2012,3,,1210171,0.01,,0.078,0.02,6/22/2012,3,<LRL (0.02),1210171,0.01,ND,0,0.02,1/23/2013,218,>HT,1210171,0.01,H,4.065,0.02,6/21/2012,2,,1210171,,3.34,10/23/2012,126,,1210171,0.04,,6.079,0.08,6/28/2012,9,,1210171,2,,54,4,6/21/2012,2,,1210171,0.005,,41.445,0.01,10/23/2012,126,1210171,0.02,,9.374,0.04,6/22/2012,3,,1210171,0.09,,163.271,0.18,,,,,,,,,,6/21/2012,2,,1210171,,L,0.42,2,,,,,,,,,,,,,,,,,,,642770,,642773,
1000016,REGULAR,WRS,121023.1,120627.1,120621.1,121023.1,120622.1,120621.1,120621.1,120703.1,121023.1,120622.1,120622.1,120622.1,120627.1,120621.1,121023.1,120627.1,120621.1,121023.1,120622.1,,,120621.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/23/2012,125,<LRL (0.02),1210164,0.01,ND,0,0.02,6/27/2012,7,<LRL (0.004),1210164,0.002,L,0.0025,0.004,6/21/2012,1,,1210164,,279.9,10/23/2012,125,,1210164,0.02,,2.798,0.04,6/22/2012,2,,1210164,0.03,,0.402,0.06,6/21/2012,1,,1210164,,,15,5,6/21/2012,1,,1210164,,,28.2,2,7/3/2012,13,,1210164,0.1,,3.22,0.2,10/23/2012,125,,1210164,0.01,,1.612,0.02,6/22/2012,2,<LRL (0.02),1210164,0.01,ND,0.002,0.02,6/22/2012,2,,1210164,0.01,ND,0.002,0.02,6/22/2012,2,<LRL (0.02),1210164,0.01,ND,0,0.02,6/27/2012,7,,1210164,0.01,,0.16,0.02,6/21/2012,1,,1210164,,6.71,10/23/2012,125,<LRL (0.08),1210164,0.04,L,0.051,0.08,6/27/2012,7,,1210164,2,,20,4,6/21/2012,1,,1210164,0.005,,3.037,0.01,10/23/2012,125,1210164,0.02,,0.22,0.04,6/22/2012,2,<LRL (0.18),1210164,0.09,ND,0.048,0.18,,,,,,,,,,6/21/2012,1,,1210164,,,1.95,2,,,,,,,,,,,,,,,,,,,634100,,634103,
1000017,REGULAR,WRS,121023.1,120627.1,120622.3,121023.1,120622.1,120622.1,120622.3,120703.1,121023.1,120622.1,120622.1,120622.1,120628.1,120622.3,121023.1,120628.1,120626.1,121023.1,120622.1,,,120622.3,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/23/2012,124,<LRL (0.02),1210183,0.01,ND,0,0.02,6/27/2012,6,,1210183,0.002,,0.0098,0.004,6/22/2012,1,,1210183,,2237,10/23/2012,124,,1210183,0.02,,20.71,0.04,6/22/2012,1,,1210183,0.03,,2.416,0.06,6/22/2012,1,,1210183,,,23,5,6/22/2012,1,,1210183,,,219,2,7/3/2012,12,,1210183,0.1,,7.12,0.2,10/23/2012,124,,1210183,0.01,,8.657,0.02,6/22/2012,1,<LRL (0.02),1210183,0.01,ND,0.002,0.02,6/22/2012,1,,1210183,0.01,ND,0.002,0.02,6/22/2012,1,<LRL (0.02),1210183,0.01,ND,0,0.02,6/28/2012,7,,1210183,0.01,,0.625,0.02,6/22/2012,1,,1210183,,7.84,10/23/2012,124,,1210183,0.04,,1.683,0.08,6/28/2012,7,,1210183,2,,197,4,6/26/2012,5,,1210183,0.005,,4.895,0.01,10/23/2012,124,1210183,0.02,,14.09,0.04,6/22/2012,1,,1210183,0.09,,1.361,0.18,,,,,,,,,,6/22/2012,1,,1210183,,,2.01,2,,,,,,,,,,,,,,,,,,,632630,,632633,
1000018,REGULAR,WRS,121025.1,120702.1,120626.1,121025.1,120626.1,120626.1,120626.1,120710.1,121025.1,120626.1,120626.1,120626.1,120705.1,120626.1,121025.1,120705.1,120626.1,121025.1,120626.1,,,120626.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,123,<LRL (0.02),1210211,0.01,ND,0,0.02,7/2/2012,8,,1210211,0.002,,0.012,0.004,6/26/2012,2,,1210211,,2529,10/25/2012,123,,1210211,0.02,,83.6,0.04,6/26/2012,2,,1210211,0.03,,163.281,0.06,6/26/2012,2,,1210211,,,22,5,6/26/2012,2,,1210211,,,1300,2,7/10/2012,16,,1210211,0.1,,4.87,0.2,10/25/2012,123,,1210211,0.01,,27.12,0.02,6/26/2012,2,<LRL (0.02),1210211,0.01,ND,0,0.02,6/26/2012,2,,1210211,0.01,ND,0,0.02,6/26/2012,2,<LRL (0.02),1210211,0.01,ND,0,0.02,7/5/2012,11,,1210211,0.01,,0.806,0.02,6/26/2012,2,,1210211,,8.2,10/25/2012,123,,1210211,0.04,,6.547,0.08,7/5/2012,11,,1210211,2,,88,4,6/26/2012,2,,1210211,0.005,,17.008,0.01,10/25/2012,123,1210211,0.02,,158.1,0.04,6/26/2012,2,,1210211,0.09,,272.672,0.18,,,,,,,,,,6/26/2012,2,,1210211,,,9.16,2,,,,,,,,,,,,,,,,,,,642680,,642683,
1000019,REGULAR,WRS,121025.1,120705.1,120627.1,121025.1,120628.1,120627.1,120627.1,120717.1,121025.1,120628.1,120628.1,120628.1,120705.1,120627.1,121025.1,120705.1,120628.2,121025.1,120628.1,,,120627.1,mg/L,mg N/L,ueq/L,mg/L,mg/L,APHA Pt-Co,uS/cm @ 25C,mg/L,mg/L,mg N/L,mg N/L,mg N/L,mg/L,Std. Units,mg/L,ug/L,mg/L,mg/L,mg/L,,,NTU,10/25/2012,122,,1210223,0.01,,0.204,0.02,7/5/2012,10,,1210223,0.002,,0.065,0.004,6/27/2012,2,,1210223,,1078,10/25/2012,122,,1210223,0.02,,12.23,0.04,6/28/2012,3,,1210223,0.03,,2.031,0.06,6/27/2012,2,,1210223,,,32,5,6/27/2012,2,,1210223,,,122,2,7/17/2012,22,,1210223,0.1,,7.99,0.2,10/25/2012,122,,1210223,0.01,,2.822,0.02,6/28/2012,3,,1210223,0.01,,0.107,0.02,6/28/2012,3,,1210223,0.01,,0.114,0.02,6/28/2012,3,<LRL (0.02),1210223,0.01,L,0.007,0.02,7/5/2012,10,,1210223,0.01,,0.895,0.02,6/27/2012,2,,1210223,,7.95,10/25/2012,122,,1210223,0.04,,3.774,0.08,7/5/2012,10,,1210223,2,,383,4,6/28/2012,3,,1210223,0.005,,24.092,0.01,10/25/2012,122,1210223,0.02,,7.532,0.04,6/28/2012,3,,1210223,0.09,,3.313,0.18,,,,,,,,,,6/27/2012,2,,1210223,,,28.52,2,,,,,,,,,,,,,,,,,,,640310,,640313,
