SAMPLE_TYPE	VARIABLE	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
ASSESS	REVIEWED_BY_INITIAL	Intials of form reviewer				
PHAB	REVIEWED_BY_INITIAL	Intials of form reviewer				
VERIF	REVIEWED_BY_INITIAL	Initial of reviewer of forms				
ASSESS	REVIEWED_BY_INITIAL	Intials of form reviewer				
BENT	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
CARP	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
CARU	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
CHEM	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
CHLL	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
CHLX	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
ISOT	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
NUTS	ACTUAL_DATE	Actual date sample was collected if different from DATE_COL for site				datetime
PHAB	AM_EMERGENT	"Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	AM_FLOATING	"Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	AM_SUBMERGENT	"Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	AM_TOTALCOVER	"Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	ANGLE	Bank angle	|FLAT|GRADUAL|STEEP|NEAR_VERTICAL_UNDERCUT			
PHAB	BS_BEDROCK	"Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_BOULDER	"Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_COBBLE	"Bottom substrate cobble (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_COLOR	Bottom substrate color	|BLACK|GRAY|BROWN|RED|OTHER.*			
PHAB	BS_COLOR_DESC	Description of substrate color				
PHAB	BS_GRAVEL	"Bottom substrate gravel (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_ORGANIC	"Bottom substrate organic (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_OTHER	percent cover by other	|0|1|2|3|4			
PHAB	BS_SAND	"Bottom substrate sand (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_SILT	"Bottom substrate silt (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	BS_WOOD	"Bottom substrate woody debris (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	C_BIGTREES	"Canopy big trees (Trunk > 0.3 DBH)(0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	C_BIGTREES_DD	percent cover by Canopy big trees (Trunk > 0.3 DBH) in the draw down zone	|0|1|2|3|4			
PHAB	C_SMALLTREES	"Canopy small trees (Trunk < 0.3 DBH)(0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	C_SMALLTREES_DD	percent cover by canopy small trees (Trunk < 0.3 DBH) in the draw down zone	|0|1|2|3|4			
PHAB	CANOPY	Canopy type	|C|D|E|M|N			
PHAB	CANOPY_DD	Canopy type in the draw down zone	|C|D|E|M|N			
PHAB	COLOR	NLA 2007 Littoral substrate color 	BL|BR|GY|O|RD			
PHAB	COVER_ARTIFICIAL	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Artificial 	X			
PHAB	COVER_BOULDERS	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Boulders	X			
PHAB	COVER_CLASS	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Class	NO COVER|CONTINUOUS COVER|PATCHY COVER			
PHAB	COVER_FILL	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Fill	X			
PHAB	COVER_NONE	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: None	X			
PHAB	COVER_VEG	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Vegetation	X			
PHAB	COVER_WOODY	NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Woody	X			
PHAB	DEPTH_AT_STATION	Depth at station 10m off shore		30	0	M
PHAB	DEPTH_UNIT	Depth units used				
PHAB	DRAWDOWN	Station dropped or relocated (X/blank)	|Y|N|YES|NO			
PHAB	DROPPED	Drawdown?	|YES|NO|Y|N			
PHAB	FC_AQUATIC	"Fish cover aquatic vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_AQUATIC_DD	percent fish cover by aquatic veg in the drawdown zone	|0|1|2|3|4			
PHAB	FC_BOULDERS	"Fish cover boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_BOULDERS_DD	percent fish cover by boulders in the drawdown zone	|0|1|2|3|4			
PHAB	FC_BRUSH	"Fish cover brush (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_BRUSH_DD	percent fish cover by brush in the drawdown zone	|0|1|2|3|4			
PHAB	FC_LEDGES	"Fish cover ledges (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_LEDGES_DD	percent fish cover by ledges in the drawdown zone	|0|1|2|3|4			
PHAB	FC_LIVETREES	"Fish cover live trees (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_LIVETREES_DD	percent fish cover by live trees in the drawdown zone	|0|1|2|3|4			
PHAB	FC_OVERHANG	"Fish cover overhanging vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_OVERHANG_DD	percent fish cover by overhanging veg in the drawdown zone	|0|1|2|3|4			
PHAB	FC_SNAGS	"Fish cover woody debris/snags (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_SNAGS_DD	percent fish cover by snags in the drawdown zone	|0|1|2|3|4			
PHAB	FC_STRUCTURES	"Fish cover human structures (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	FC_STRUCTURES_DD	percent fish cover by human structures in the drawdown zone	|0|1|2|3|4			
PHAB	GC_BARE	"Ground cover bare (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	GC_BARE_DD	percent ground uncovered in the drawdown zone	|0|1|2|3|4			
PHAB	GC_INUNDATED	"Ground cover inundated vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	GC_INUNDATED_DD	percent ground cover by inundation in the drawdown zone	|0|1|2|3|4			
PHAB	GC_NONWOODY	"Ground cover nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	GC_NONWOODY_DD	percent ground cover by nonwoody veg in the drawdown zone	|0|1|2|3|4			
PHAB	GC_WOODY	"Ground cover woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	|0|1|2|3|4			
PHAB	GC_WOODY_DD	percent ground cover by woody veg in the drawdown zone	|0|1|2|3|4			
PHAB	HI_BUILDINGS	Human influence buildings (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_BUILDINGS_DD	Human influence by buildings in the drawdown zone	|0|P|C			
PHAB	HI_COMMERCIAL	Human influence commercial(O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_COMMERCIAL_DD	Human influence by commercial use in the drawdown zone	|0|P|C			
PHAB	HI_CROPS	Human influence row crops (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_CROPS_DD	Human influence by row crops in the drawdown zone	|0|P|C			
PHAB	HI_DOCKS	Human influence docks(O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_DOCKS_DD	Human influence by docks in the drawdown zone	|0|P|C			
PHAB	HI_LANDFILL	Human influence landfill(O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_LANDFILL_DD	Human influence by landfill in the drawdown zone	|0|P|C			
PHAB	HI_LAWN	Human influence lawn (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_LAWN_DD	Human influence by lawn in the drawdown zone	|0|P|C			
PHAB	HI_ORCHARD	Human influence orchard (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_ORCHARD_DD	Human influence by orchards in the drawdown zone	|0|P|C			
PHAB	HI_OTHER	Human influence other (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_OTHER_DD	Human influence by other in the drawdown zone	|0|P|C			
PHAB	HI_PARK	Human influence park facilities (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_PARK_DD	Human influence by park in the drawdown zone	|0|P|C			
PHAB	HI_PASTURE	Human influence pasture (O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
PHAB	HI_PASTURE_DD	Human influence by pasture in the drawdown zone	|0|P|C			
PHAB	HI_POWERLINES	Human influence powerlines(O=non present/P=present outside plot/C=present w/i plot)	|0|P|C			
