SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
PHAB	AMFCALL	Aquatic macrophytes: fractional cover of all macrophytes				
PHAB	AMFCEMERGENT	Aquatic macrophytes: fractional cover of emergent macrophytes				
PHAB	AMFCFLOATING	Aquatic macrophytes: fractional cover of floating macrophytes				
PHAB	AMFCSUBMERGENT	Aquatic macrophytes: fractional cover of submergent macrophytes				
PHAB	AMFPALL	Aquatic macrophytes: fractional presence of all macrophytes				
PHAB	AMFPEMERGENT	Aquatic macrophytes: fractional presence of emergent macrophytes				
PHAB	AMFPFLOATING	Aquatic macrophytes: fractional presence of floating macrophytes				
PHAB	AMFPSUBMERGENT	Aquatic macrophytes: fractional presence of submergent macrophytes				
PHAB	AMIDALL	Aquatic macrophytes: interdecimile cover of all macrophytes				
PHAB	AMIQALL	Aquatic macrophytes: interquartile cover of all macrophytes				
PHAB	AMITOTAL	Aquatic macrophytes: index of total cover of aquatic macrophytes				
PHAB	AMNALL	Aquatic macrophytes: number of stations with Total cover data				
PHAB	AMNEMERGENT	Aquatic macrophytes: number of stations with Emergent data				
PHAB	AMNFLOATING	Aquatic macrophytes: number of stations with Floating data				
PHAB	AMNSUBMERGENT	Aquatic macrophytes: number of stations with Submergent data				
PHAB	AMVALL	Aquatic macrophytes: std dev. Cover of all macrophytes				
PHAB	AMVEMERGENT	Aquatic macrophytes: std dev. Cover of Emergent macrophytes				
PHAB	AMVFLOATING	Aquatic macrophytes: std dev. Cover of Floating macrophytes				
PHAB	AMVSUBMERGENT	Aquatic macrophytes: std dev. Cover of Submergent macrophytes				
PHAB	BFFFLAT	Bank features: fraction with flat banks				
PHAB	BFFGRADUAL	Bank features: fraction with gradual banks				
PHAB	BFFSTEEP	Bank features: fraction with steep banks				
PHAB	BFFVERTICAL	Bank features: fraction with vertical banks				
PHAB	BFNANGLE	Bank features: number of stations with bank angle data				
PHAB	BFNHORIZDIST	Bank features: count of horizontal distance to highwater mark				
PHAB	BFNHORIZDIST_DD	Bank features: count of horizontal distance to drawdown zone				
PHAB	BFNVERTHEIGHT	Bank features: count of vertical height to highwater mark				
PHAB	BFNVERTHEIGHT_DD	Bank features: count of vertical height to drawdown zone				
PHAB	BFOANGLE	Bank features: bank angle mode				
PHAB	BFXHORIZDIST	Bank features: horizontal distance to highwater mark				
PHAB	BFXHORIZDIST_DD	Bank features: horizontal distance to drawdown zone				
PHAB	BFXVERTHEIGHT	Bank features: vertical height to highwater mark				
PHAB	BFXVERTHEIGHT_DD	Bank features: vertical height to drawdown zone				
PHAB	BS16LDIA	Bottom substrate: 16th percentile of bottom substrate diameter				
PHAB	BS25LDIA	Bottom substrate: 25th percentile of bottom substrate diameter				
PHAB	BS50LDIA	Bottom substrate: 50th percentile of bottom substrate diameter				
PHAB	BS75LDIA	Bottom substrate: 75th percentile of bottom substrate diameter				
PHAB	BS84LDIA	Bottom substrate: 84th percentile of bottom substrate diameter				
PHAB	BSFANOXIC	Bottom substrate: fraction with anoxic odor				
PHAB	BSFBLACK	Bottom substrate: fraction of Black substrate				
PHAB	BSFBROWN	Bottom substrate: fraction of Brown substrate				
PHAB	BSFCBEDROCK	Bottom substrate: fractional cover of bedrock				
PHAB	BSFCBOULDERS	Bottom substrate: fractional cover of Boulder				
PHAB	BSFCCOBBLE	Bottom substrate: fractional cover of Cobble				
PHAB	BSFCGRAVEL	Bottom substrate: fractional cover of gravel				
PHAB	BSFCHEMICAL	Bottom substrate: fraction with chemical odor				
PHAB	BSFCORGANIC	Bottom substrate: fractional cover of organic				
PHAB	BSFCSAND	Bottom substrate: fractional cover of sand				
PHAB	BSFCSILT	Bottom substrate: fractional cover of silt				
PHAB	BSFCWOOD	Bottom substrate: fractional cover of wood				
PHAB	BSFGRAY	Bottom substrate: fraction of Gray substrate				
PHAB	BSFH2S	Bottom substrate: fraction with H2S odor				
PHAB	BSFNONEODOR	Bottom substrate: fraction with no odor				
PHAB	BSFOIL	Bottom substrate: fraction with oil odor				
PHAB	BSFOTHERCOLOR	Bottom substrate: fraction of other color substrate				
PHAB	BSFOTHERODOR	Bottom substrate: fraction with other odor				
PHAB	BSFPBEDROCK	Bottom substrate: fractional presence of bedrock				
PHAB	BSFPBOULDERS	Bottom substrate: fractional presence of Boulder				
PHAB	BSFPCOBBLE	Bottom substrate: fractional presence of Cobble				
PHAB	BSFPGRAVEL	Bottom substrate: fractional presence of gravel				
PHAB	BSFPORGANIC	Bottom substrate: fractional presence of organic				
PHAB	BSFPSAND	Bottom substrate: fractional presence of sand				
PHAB	BSFPSILT	Bottom substrate: fractional presence of silt				
PHAB	BSFPWOOD	Bottom substrate: fractional presence of wood				
PHAB	BSFRED	Bottom substrate: fraction of Red substrate				
PHAB	BSISITEVARIETY	Bottom substrate: Number of substrate classes present at a site				
PHAB	BSISTAVARIETY	Bottom substrate: Mean number of substrate classes present in each station				
PHAB	BSNBEDROCK	Bottom substrate: number of stations with bedrock data				
PHAB	BSNBOULDERS	Bottom substrate: number of stations with boulder data				
PHAB	BSNCOBBLE	Bottom substrate: number of stations with cobble data				
PHAB	BSNCOLOR	Bottom substrate: number of bottom substrate color data				
PHAB	BSNGRAVEL	Bottom substrate: number of stations with gravel data				
PHAB	BSNODOR	Bottom substrate: number of stations with odor data				
PHAB	BSNORGANIC	Bottom substrate: number of stations with organic data				
PHAB	BSNSAND	Bottom substrate: number of stations with sand data				
PHAB	BSNSILT	Bottom substrate: number of stations with silt data				
PHAB	BSNWOOD	Bottom substrate: number of stations with wood data				
PHAB	BSOCOLOR	Bottom substrate: mode of color				
PHAB	BSOFCLASS	Bottom substrate: Mode of bottom substrate by cover				
PHAB	BSOODOR	Bottom substrate: Mode of bottom substrate odor class				
PHAB	BSOPCLASS	Bottom substrate: Mode of bottom substrate by presence				
PHAB	BSVBEDROCK	Bottom substrate: std dev. cover of bedrock				
PHAB	BSVBOULDERS	Bottom substrate: std dev. cover of boulders				
PHAB	BSVCOBBLE	Bottom substrate: std dev. cover of cobble				
PHAB	BSVGRAVEL	Bottom substrate: std dev. cover of gravel				
PHAB	BSVLDIA	Bottom substrate: std dev. logged bottom substrate diameter (mineral)				
PHAB	BSVORGANIC	Bottom substrate: std dev. cover of organic				
PHAB	BSVSAND	Bottom substrate: std dev. cover of sand				
PHAB	BSVSILT	Bottom substrate: std dev. cover of silt				
PHAB	BSVWOOD	Bottom substrate: std dev. cover of wood class				
PHAB	BSXLDIA	Bottom substrate: mean logged bottom substrate diameter (mineral)				
PHAB	FCFCAQUATIC	Fish cover: fractional cover of aquatic vegetation				
PHAB	FCFCAQUATIC_DD	Fish cover: fractional cover of aquatic vegetation in the drawdown zone				
PHAB	FCFCAQUATIC_LIT	Fish cover: fractional cover of aquatic vegetation in the littoral zone				
PHAB	FCFCAQUATIC_SIM	Fish cover: fractional cover of aquatic vegetation simulating 2007 protocol				
PHAB	FCFCBOULDERS	Fish cover: fractional cover of boulders 				
PHAB	FCFCBOULDERS_DD	Fish cover: fractional cover of boulders in the drawdown zone				
PHAB	FCFCBOULDERS_LIT	Fish cover: fractional cover of boulders in the littoral zone				
PHAB	FCFCBOULDERS_SIM	Fish cover: fractional cover of boulders simulating 2007 protocol				
PHAB	FCFCBRUSH	Fish cover: fractional cover of brush 				
PHAB	FCFCBRUSH_DD	Fish cover: fractional cover of brush in the drawdown zone				
PHAB	FCFCBRUSH_LIT	Fish cover: fractional cover of brush in the littoral zone				
PHAB	FCFCBRUSH_SIM	Fish cover: fractional cover of brush simulating 2007 protocol				
PHAB	FCFCLEDGES	Fish cover: fractional cover of ledges 				
PHAB	FCFCLEDGES_DD	Fish cover: fractional cover of ledges in the drawdown zone				
PHAB	FCFCLEDGES_LIT	Fish cover: fractional cover of ledges in the littoral zone				
PHAB	FCFCLEDGES_SIM	Fish cover: fractional cover of ledges simulating 2007 protocol				
PHAB	FCFCLIVETREES	Fish cover: fractional cover of live trees 				
PHAB	FCFCLIVETREES_DD	Fish cover: fractional cover of live trees in the drawdown zone				
PHAB	FCFCLIVETREES_LIT	Fish cover: fractional cover of live trees in the littoral zone				
PHAB	FCFCLIVETREES_SIM	Fish cover: fractional cover of live trees simulating 2007 protocol				
PHAB	FCFCOVERHANG	Fish cover: fractional cover of overhangs 				
PHAB	FCFCOVERHANG_DD	Fish cover: fractional cover of overhangs in the drawdown zone				
PHAB	FCFCOVERHANG_LIT	Fish cover: fractional cover of overhangs in the littoral zone				
PHAB	FCFCOVERHANG_SIM	Fish cover: fractional cover of overhangs simulating 2007 protocol				
