PUBLICATION_DATE,UID,SITE_ID,DATE_COL,VISIT_NO,STATE,SAMPLE_TYPE,LINE,ARRIVAL_TIME,CAL_INST_ID,CAL_INST_MODEL,CAL_INST_OPERATOR,CALIBRATION_VERIFIED,CON_STD1_VALUE,COND_QCS_DESC,COND_QCS_MEASURED,COND_QCS_TRUE,COND_STD1_DESC,COND_STD1_VALUE,COND_STD2_DESC,COND_STD2_VALUE,CONDUCTIVITY,DEPTH,DEPTH_METHOD,DO_BARO_PRESSURE,DO_CALIBRATION_UNITS,DO_CALIBRATION_VALUE,DO_DISPLAYED_UNITS,DO_DISPLAYED_VALUE,DO_ELEVATION,DO2_2M,DUPLICATE_DO,E_FILE,INDEX_GPS_FIX,INDEX_LAT_DD,INDEX_LON_DD,INDEX_SITE_DEPTH,METALIMNION,ODOR,OXYGEN,PH,PH_QCS_DESC,PH_QCS_MEASURED,PH_QCS_TRUE,PH_STD1_DESC,PH_STD1_VALUE,PH_STD2_DESC,PH_STD2_VALUE,PRECIPITATION,SCUM,SCUM_DESC,SURFACE_COND,TEMP_CORRECTED,TEMP_SENSOR,TEMP_THERMOMETER,TEMPERATURE
8/23/2016,1000001,NLA12_MS-116,5-Jun-12,1,MS,PROF,0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.002321,-89.762622,,,,,,,,,,,,,,,,,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0.31,6.4,,,,,,,,,,,,,,,16.74
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,0,1130,,,,Y,,,,,,,,,,,SONAR,,,,,,,7.85,Y,,3D,33.424506,-89.938903,5,,N,,,,,,,,,,NONE,NO,,RIPPLES,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,0.51,6.17,,,,,,,,,,,,,,,21.69
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,11.31,9.41,,,,,,,,,,,,,,,28.16
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,CALIB,0,,FA00012,YSI6920,CHRIS WHARTON,,,,,,,,,,,,,751,PERCENT,100,PERCENT,98.8,,,,,,,,,,,,,7,7,7,4,3.9,10,10.07,,,,,,,,
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,11.79,9.23,,,,,,,,,,,,,,,28
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,6,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,0.24,6.66,,,,,,,,,,,,,,,15.41
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,T,,7.03,7.08,,,,,,,,,,,,,,,26.45
8/23/2016,1000010,NLA12_MS-R03,6-Jun-12,1,MS,PROF,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,B,,1.28,6.13,,,,,,,,,,,,,,,24.47
