SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITEID_07,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,ECO_BIO,IM_COMMENT,INDEX_NLA,INDXSAMP_BENT,INDXSAMP_CHEM,INDXSAMP_CHLA,INDXSAMP_CORE,INDXSAMP_ENTE,INDXSAMP_MICR,INDXSAMP_PHAB,INDXSAMP_SDHG,INDXSAMP_ZOOP,REF_NLA12_NUTR,RT_NLA12_BENT,RT_NLA12_ZOOP,SAMPLED_BENT,SAMPLED_CORE,SAMPLED_ENTE,SAMPLED_MICR,SAMPLED_PHAB,SAMPLED_PHYT,SAMPLED_PROFILE,SAMPLED_SDHG,SAMPLED_ZOCN,SAMPLED_ZOCR,SAMPLED_ZOFN,SAMPLED_ZOFR,SAMPLED_ZOOP,PUBLICATION_DATE
NLA12_AL-101,1,6300,5/24/2012,EHIGH,SAP,1301.87197,F:500+,No,NLA07RVT,NLA07_RVT12,Include,20.28888476,TUSCALOOSA,21656744,166759236,21656744,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,57.03,Region_4,Holt Lock and Dam,TargetSampleable,153,,EHIGH,SAP,,,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,3,NonREF07,No,8,8.4,8.4.9,Holt Lock and Dam,NESLake,105,105,Non Federal,Non-Federal,NLA07RVT2,104.2086662,3.16011E+12,T,NLA06608-2187,Y,PROB,>50,,,,NLA12_AL-101,AL_NLA07RVT,0,,0,AL,AL,100,1073,Target_Sampled,,AL_NLA07RVT,Target,,Yes,68,68,68f,68f,20.28888476,AL_>4,3.66667,795432.2051,-434840.7897,EHIGH,No phab done on this visit; visit 2 assigned as index visit,N,,,,,,,,,,,T,T,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-101,2,7374,7/21/2012,EHIGH,SAP,1301.87197,F:500+,No,NLA07RVT,NLA07_RVT12,Include,20.28888476,TUSCALOOSA,21656744,166759236,21656744,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,57.03,Region_4,Holt Lock and Dam,TargetSampleable,153,,EHIGH,SAP,,,3,3160112,MAN_MADE,RESERVOIR,33.29204144,-87.3913824,3,NonREF07,No,8,8.4,8.4.9,Holt Lock and Dam,NESLake,105,105,Non Federal,Non-Federal,NLA07RVT2,104.2086662,3.16011E+12,T,NLA06608-2187,Y,PROB,>50,,,,NLA12_AL-101,AL_NLA07RVT,0,,0,AL,AL,100,1073,Target_Sampled,,AL_NLA07RVT,Target,,Yes,68,68,68f,68f,20.28888476,AL_>4,3.66667,795432.2051,-434840.7897,EHIGH,Assigned as index visit-no phab done on visit 1,Y,,,,,,,,,,,T,T,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-102,1,7228,7/17/2012,EHIGH,SAP,72.95042027,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,46.61790206,CULLMAN,18587568,18587568,18587568,Lake/Pond: Hydrographic Category = Perennial,Included,247.04,Region_4,George Lake,TargetSampleable,153,,EHIGH,SAP,131985,George Lake,3,3160109,MAN_MADE,RESERVOIR,34.22781586,-86.84344912,3,NonREF07,No,8,8.4,8.4.9,George Lake,,,,Non Federal,Non-Federal,NLA07RVT,11.87230532,3.16011E+12,S,NLA06608-0459,Y,PROB,>50,,,,NLA12_AL-102,AL_NLA07RVT,0,,0,AL,AL,100,1043,Target_Sampled,,AL_NLA07RVT,Target,,Yes,68,68,68d,68d,46.61790206,AL_>4,3.666666667,835851.301,-326047.1005,EHIGH,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-103,1,7292,7/19/2012,EHIGH,SAP,10363.25848,F:500+,No,NLA07RVT,NLA07_RVT12,Include,51.33189892,TALLADEGA,22273142,166759059,22273142,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,141.76,Region_4,Logan Martin Lake,TargetSampleable,153,,EHIGH,SAP,,,3,3150106,MAN_MADE,RESERVOIR,33.7624784,-86.05315833,3,NonREF07,No,8,8.4,8.4.1,,,,,Non Federal,Non-Federal,NLA07RVT,688.4591342,3.15011E+12,S,NLA06608-2955,Y,PROB,>50,,,,NLA12_AL-103,AL_NLA07RVT,0,,0,AL,AL,100,1055,Target_Sampled,,AL_NLA07RVT,Target,,Yes,67,67,67g,67g,51.33189892,AL_>4,3.666666667,913172.7602,-370517.4939,EHIGH,,Y,,,,,,,,,,,S,S,N,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-104,1,7368,7/23/2012,PLNLOW,CPL,4731.474336,F:500+,No,NLA07RVT,NLA07_RVT12,Include,101.4910459,SUMTER,21677972,21677972,21677972,Lake/Pond: Hydrographic Category = Perennial,Included,22.28,Region_4,Demopolis Lake,TargetSampleable,153,,PLNLOW,CPL,,,3,3160201,MAN_MADE,RESERVOIR,32.51586852,-87.86108477,3,NonREF07,No,8,8.3,8.3.5,,,,,Non Federal,Non-Federal,NLA07RVT,698.1088203,3.16011E+12,S,NLA06608-0283,Y,PROB,>50,,,,NLA12_AL-104,AL_NLA07RVT,0,,0,AL,AL,100,1063,Target_Sampled,,AL_NLA07RVT,Target,,Yes,65,65,65b,65p,101.4910459,AL_>4,3.666666667,759549.5573,-524956.9932,CPL,,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-105,1,6267,5/23/2012,PLNLOW,CPL,32.56146308,C:10-50,No,NLA12NEW,NLA12_BASE,Include,83.37696313,WASHINGTON,21639448,21639448,21639448,Lake/Pond: Hydrographic Category = Perennial,Included,50.83,Region_4,Emmit Wood Lake,TargetSampleable,153,,PLNLOW,CPL,117983,Emmit Wood Lake,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,3,"(20,50]",No,8,8.3,8.3.5,Emmit Wood Lake,,,,Non Federal,Non-Federal,NLA12RVT,2.998953879,3.1602E+12,S,,Y,PROB,"(20,50]",,,,NLA12_AL-105,AL_NLA12NEW,0,,0,AL,AL,100,1129,Target_Sampled,,AL_NLA12NEW,Target,,No,65,65,65f,65f,83.37696313,AL_>4,21.875,721685.4392,-628108.2923,CPL,No phab done on this visit; visit 2 assigned as index visit,N,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-105,2,7394,7/24/2012,PLNLOW,CPL,32.56146308,C:10-50,No,NLA12NEW,NLA12_BASE,Include,83.37696313,WASHINGTON,21639448,21639448,21639448,Lake/Pond: Hydrographic Category = Perennial,Included,50.83,Region_4,Emmit Wood Lake,TargetSampleable,153,,PLNLOW,CPL,117983,Emmit Wood Lake,3,3160203,MAN_MADE,RESERVOIR,31.62154629,-88.35373896,3,"(20,50]",No,8,8.3,8.3.5,Emmit Wood Lake,,,,Non Federal,Non-Federal,NLA12RVT,2.998953879,3.1602E+12,S,,Y,PROB,"(20,50]",,,,NLA12_AL-105,AL_NLA12NEW,0,,0,AL,AL,100,1129,Target_Sampled,,AL_NLA12NEW,Target,,No,65,65,65f,65f,83.37696313,AL_>4,21.875,721685.4392,-628108.2923,CPL,Assigned as index visit-no phab done on visit 1,Y,,,,,,,,,,,S,S,Y,,,,,,,,Y,,Y,,,8/23/2016
NLA12_AL-106,,,,PLNLOW,CPL,2.259936169,,No,NLA12NEW,NLA12_BASE,Exclude,2390.5,COFFEE,2212554,2212554,2212554,Lake/Pond: Hydrographic Category = Perennial,Included,96.12,Region_4,Unnamed,AccessDenied,154,,PLNLOW,CPL,,,3,3140202,MAN_MADE,MAN_MADE,31.39484325,-86.00721724,3,"(1,4]",No,8,8.3,8.3.5,,,,,Non Federal,Non-Federal,NLA12NAT,0.65741193,3.1402E+12,,,N,PROB,"(1,4]",,,,NLA12_AL-106,AL_NLA12NEW,0,,0,AL,AL,100,1031,Target_Denied,,AL_NLA12NEW,Target_Presumed,,No,65,65,65d,65d,2390.5,"AL_(1,4]",367.6923077,945087.9098,-632659.0215,CPL,LAKE_ORIGIN changed (missing). TNT changed (NonTarget).  Imagery suggests a man-made lake,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
NLA12_AL-107,,,,PLNLOW,CPL,13.35993011,,No,NLA12NEW,NLA12_BASE,Include,150.3432224,LOWNDES,21679912,21679912,21679912,Lake/Pond: Hydrographic Category = Perennial,Included,77.74,Region_4,Harrell Lake,AccessDenied,153,,PLNLOW,CPL,154123,Harrell Lake,3,3150201,MAN_MADE,MAN_MADE,32.18713577,-86.50841536,3,"(10,20]",No,8,8.3,8.3.5,Harrell Lake,,,,Non Federal,Non-Federal,NLA12NAT,1.992118953,3.1502E+12,,,N,PROB,"(10,20]",,,,NLA12_AL-107,AL_NLA12NEW,0,,0,AL,AL,100,1085,Target_Denied,,AL_NLA12NEW,Target_Presumed,,No,65,65,65a,65a,150.3432224,AL_>4,39.44444444,889049.3053,-549716.4083,CPL,LAKE_ORIGIN changed (missing). TNT changed (NonTarget).  Imagery suggests a man-made lake,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
NLA12_AL-108,,,,EHIGH,SAP,2.666005278,,No,NLA12NEW,NLA12_BASE,Exclude,2390.5,BLOUNT,18563971,18563971,18563971,Lake/Pond: Hydrographic Category = Perennial,Included,181.48,Region_4,Unnamed,Nontarget-TooSmall,153,,EHIGH,SAP,,,3,3160111,,,33.86882068,-86.62367709,3,"(1,4]",No,8,8.4,8.4.9,,,,,Non Federal,Non-Federal,NLA12NAT,0.885433413,3.16011E+12,,,N,PROB,"(1,4]",,,,NLA12_AL-108,AL_NLA12NEW,0,,0,AL,AL,100,1009,Lake_LT_1ha,,AL_NLA12NEW,NonTarget,,No,68,68,68d,68d,2390.5,"AL_(1,4]",367.6923077,859800.9788,-364018.9233,EHIGH,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,8/23/2016
