UID,SITE_ID,VISIT_NO,DATE_COL,ECO_BIO,AGGR_ECO3_2015,AGGR_ECO9_2015,ZOOP_COND,MMI_ZOOP_NLA6,ABUN_PT,CLAD_PT,COPE_PT,ROTI_PT,RICH_PT,TROP_PT,PUBLICATION_DATE
6160,NLA12_CA-143,1,5/2/2012,WMTNS,WMTNS,XER,Good,67.27,9.96,5.49,7.4,5.14,5.83,6.54,8/19/2016
6187,NLA12_AZ-101,1,5/8/2012,WMTNS,WMTNS,XER,Fair,55.07,0,0,9.9,7.31,5.83,10,8/19/2016
6189,NLA12_ND-115,1,5/16/2012,PLAINS,PLNLOW,NPL,Poor,28.6,4.15,0.11,0.05,0.71,2.22,9.92,8/19/2016
6192,NLA12_AZ-118,1,5/9/2012,WMTNS,WMTNS,XER,Poor,48.68,3.58,0,9.96,1.43,8.33,5.91,8/19/2016
6194,NLA12_UT-103,1,5/9/2012,WMTNS,WMTNS,WMT,Fair,56.68,3.64,3.29,7.04,7.87,6.67,5.5,8/19/2016
6195,NLA12_AZ-130,1,5/10/2012,WMTNS,WMTNS,XER,Poor,51.48,0,0,9.99,5.9,5,10,8/19/2016
6212,NLA12_FL-101,1,5/14/2012,CPL,PLNLOW,CPL,Fair,51.27,9.17,6.73,7.82,0,1,6.04,8/19/2016
6216,NLA12_UT-101,1,5/15/2012,WMTNS,WMTNS,WMT,Fair,58.27,6.53,6.58,7.75,3.93,9.17,1,8/19/2016
6217,NLA12_ND-112,1,5/15/2012,PLAINS,PLNLOW,NPL,Poor,8.85,0.18,0.02,0.02,1.43,0,3.66,8/19/2016
6218,NLA12_FL-123,1,5/15/2012,CPL,PLNLOW,CPL,Good,61.8,9.65,9.96,8.56,0,1,7.91,8/19/2016
6222,NLA12_FL-102,1,5/16/2012,CPL,PLNLOW,CPL,Good,66.07,7.98,9.1,8.69,0.1,9,4.77,8/19/2016
6226,NLA12_GA-112,1,5/16/2012,EHIGH,EHIGH,SAP,Good,87.37,9.91,9.9,9.44,4.11,9.06,10,8/19/2016
6227,NLA12_UT-108,1,5/17/2012,WMTNS,WMTNS,WMT,Good,74.7,9.27,7.31,8.74,7,7.5,5,8/19/2016
6228,NLA12_FL-107,1,5/17/2012,CPL,PLNLOW,CPL,Good,58.42,8.66,8.16,2.05,0,9,7.18,8/19/2016
6231,NLA12_FL-110,1,5/18/2012,CPL,PLNLOW,CPL,Good,59.98,9.65,9.22,6.56,0,4,6.56,8/19/2016
6232,NLA12_FL-106,1,5/20/2012,CPL,PLNLOW,CPL,Poor,47.33,9.76,9.6,0,0,3,6.04,8/19/2016
6233,NLA12_FL-104,1,5/19/2012,CPL,PLNLOW,CPL,Good,59.28,9.49,9.19,5.34,0,7,4.55,8/19/2016
6235,NLA12_CA-168,1,5/21/2012,WMTNS,WMTNS,XER,Fair,59.72,0,3.29,9.97,5.9,6.67,10,8/19/2016
6236,NLA12_OK-122,1,5/21/2012,PLAINS,PLNLOW,SPL,Poor,15.13,0.29,0.19,1.53,3.57,2.22,1.28,8/19/2016
6237,NLA12_WI-R11,1,5/21/2012,UMW,PLNLOW,UMW,Good,65.85,10,7.27,3.44,5.39,8.42,4.99,8/19/2016
6243,NLA12_KS-114,1,5/22/2012,PLAINS,PLNLOW,TPL,Fair,41.17,4.56,0.11,0.08,3.57,6.67,9.71,8/19/2016
6249,NLA12_OK-R01,1,5/22/2012,PLAINS,PLNLOW,SPL,Good,55.72,2.29,5.8,0,5.71,10,9.63,8/19/2016
6250,NLA12_CA-106,1,5/22/2012,WMTNS,WMTNS,XER,Poor,36.62,1.97,0,0,10,7.5,2.5,8/19/2016
6251,NLA12_FL-114,1,5/21/2012,CPL,PLNLOW,CPL,Good,60.27,9.9,5.4,7.86,0,3,10,8/19/2016
6252,NLA12_PA-102,1,9/5/2012,EHIGH,EHIGH,SAP,Poor,42.03,0,8.64,0,8.98,5.91,1.69,8/19/2016
6253,NLA12_WI-R08,1,5/22/2012,UMW,PLNLOW,UMW,Good,71.85,10,7.27,8.01,6.52,4.23,7.08,8/19/2016
6267,NLA12_AL-105,1,5/23/2012,CPL,PLNLOW,CPL,Fair,48.57,6.59,10,6.73,0.14,4,1.68,8/19/2016
6270,NLA12_OK-118,1,5/23/2012,PLAINS,PLNLOW,SPL,Poor,8.78,0,0.18,0.01,1.43,0,3.65,8/19/2016
6279,NLA12_CA-172,1,5/23/2012,WMTNS,WMTNS,XER,Good,69.53,9.59,2.74,9.27,10,3.33,6.79,8/19/2016
6281,NLA12_AZ-127,1,5/23/2012,WMTNS,WMTNS,WMT,Fair,57.53,9.79,7.31,5.71,3.22,6.67,1.82,8/19/2016
6284,NLA12_KY-101,1,5/24/2012,EHIGH,EHIGH,SAP,Good,90.32,9.79,9.49,9.57,8.96,10,6.38,8/19/2016
6285,NLA12_KY-107,1,5/23/2012,EHIGH,EHIGH,SAP,Poor,52.43,0,5.9,3.93,9.67,7.96,4,8/19/2016
6286,NLA12_NC-107,1,5/23/2012,CPL,PLNLOW,CPL,Good,68.98,9.32,9.96,8.06,0.63,8,5.42,8/19/2016
6293,NLA12_GA-101,1,5/24/2012,CPL,PLNLOW,CPL,Fair,55.27,8.08,10,7.67,0,0,7.41,8/19/2016
6300,NLA12_AL-101,1,5/24/2012,EHIGH,EHIGH,SAP,Fair,66.55,9.44,9.94,8.5,2.3,5.35,4.4,8/19/2016
6302,NLA12_OK-R09,1,5/23/2012,PLAINS,PLNLOW,SPL,Fair,39.22,1.28,0.37,1.05,7.14,7.78,5.91,8/19/2016
6303,NLA12_KY-103,1,5/25/2012,EHIGH,EHIGH,SAP,Good,81.98,9.52,9.99,9.1,9.63,6.36,4.59,8/19/2016
6318,NLA12_OK-293,1,5/29/2012,PLAINS,PLNLOW,SPL,Poor,32.6,1.03,4.18,0,2.14,2.22,9.99,8/19/2016
6319,NLA12_NM-132,1,5/28/2012,WMTNS,WMTNS,WMT,Poor,37.28,9.46,0,2.91,0,10,0,8/19/2016
6320,NLA12_SC-104,1,5/25/2012,EHIGH,EHIGH,SAP,Poor,56.58,8.66,9.84,2.27,5.9,3.95,3.33,8/19/2016
6321,NLA12_SC-105,1,5/27/2012,CPL,PLNLOW,CPL,Good,74.53,10,10,9.26,0,6,9.46,8/19/2016
6325,NLA12_SC-112,1,5/26/2012,CPL,PLNLOW,CPL,Fair,55.38,0,10,10,0,4,9.23,8/19/2016
6326,NLA12_SC-108,1,5/28/2012,CPL,PLNLOW,CPL,Good,73.55,9.24,9.96,10,0,8,6.93,8/19/2016
