TABLE_NAME	SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
tblSITEDATA	DESIGN	AGGR_ECO3_2015	"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"	EHIGH|PLNLOW|WMTNS			
tblSITEDATA	DESIGN	AGGR_ECO9_2015	"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"	CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER			
tblVERIFICATION	VERIF	DATE_COL	Date of sample collection				None
tblVERIFICATION	VERIF	SITE_ID	Identification code for site				
tblVERIFICATION	VERIF	VISIT_NO	Sequential number of visit to site	|1|2			
tblZOOPMET	ZOOP	ASPLAN300_PTAX	Percent of distinct taxa that are within the rotifer family Asplanchnidae in 300-count subsamples (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_DEN	Density of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_NAT_BIO	Biomass of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_NAT_DEN	Density of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_NAT_PBIO	Percent of biomass represented by native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_NAT_PIND	Percent of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_NAT_PTAX	Percent of distinct native taxa within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM_PIND	Percent of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM300_NAT_BIO	Biomass of native individuals within the cladoceran family Bosminidae in 300-count subsampless (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM300_NAT_PBIO	Percent of biomass represented by native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM300_NAT_PIND	Percent of native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM300_NAT_PTAX	Percent of distinct native taxa that are within the cladoceran family Bosminidae in 300-count subsampless (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	BOSM300_PIND	Biomass of native individuals within the cladoceran family Bosiminidae in 300-count subsampless (coarse and fine net samples combined)				
tblZOOPMET	ZOOP	CALAN_BIO	Biomass of individuals within the copepod order Calanoidea (coarse and fine net samples combined)				
