PARAMETER,LABEL,LEGAL_VALUES,RANGE_HIGH,RANGE_LOW,UNITS
ACID_CLS,Acidity condition class,Good|Fair-lowancdep|Poor-acidmine|Naturalorganicacid,NA,NA,NONE
AGGR_ECO3_2015,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions",EHIGH|PLNLOW|WMTNS,NA,NA,NA
AGGR_ECO9_2015,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions",CPL|NAP|NPL|SAP|SPL|TPL|UMW|WMT|XER,NA,NA,NA
ATZ_DETECT,Atrazine detection class,Detect|Non_detect|Not Assessed,NA,NA,NONE
ATZ_LOC04,Atrazine condition class based on the 2012 EPA Level of Concern,Blw_04ppb|Abv_04ppb|Non_detect|Not Assessed,NA,NA,NONE
ATZ_LOC10,Atrazine condition class based on the former EPA Level of Concern,Blw_10ppb|Abv_10ppb|Non_detect|Not Assessed,NA,NA,NONE
BENT_COND,Benthic macroinvertebrate MMI condition class ,Good|Fair|Poor|Not Assessed,NA,NA,NONE
CHLA_COND,"Condition for Chlorophyll a indicator, based on CHLX",NA,NA,NA,NA
CHLL_REC,WHO chlorophyll-a concentration recreational risk condition class for littoral site,Low|Moderate|High|Not Assessed|No Detect,NA,NA,NONE
CHLX_REC,WHO chlorophyll-a concentration recreational risk condition class for index site,Low|Moderate|High|Not Assessed|No Detect,NA,NA,NONE
CYNL_REC,WHO cyanobacteria cell density recreational risk condition classes for littoral site,Low|Moderate|High|Not Assessed|No Detect,NA,NA,NONE
CYNX_REC,WHO cyanobacteria cell density recreational risk condition classes for index site,Low|Moderate|High|Not Assessed|No Detect,NA,NA,NONE
DESIGN_YR,Design year of site,NA,NA,NA,NONE
DIS_O2_CLS,Dissolved oxygen condition class,High (>=5 Ppm)|Moderate (>3-<5 Ppm)|Low (<=3 Ppm)|Not Assessed,NA,NA,NONE
DRAWDOWN_COND,Lake level drawdown exposure condition,Small|Medium|Large|Not Assessed,NA,NA,NONE
EPA_REG,EPA Region,NA,NA,NA,NA
FS_EW,Eastern or western US Forest Service land,NA,NA,NA,NA
INDEX_NLA,"Index visit for lake (used in population estimates).  For sites visited, VISIT_NO=1 is designated as the index visit (even if no samples were collected).  Blank= not assigned (sites not evaluated or not needed). Y=Index visit, N=Not index visit",Y|N|,NA,NA,NA
LAKE_ORIGIN,"Lake origin based on codes used in NLA 2007:MAN-MADE=includes LAKE-ORIGIN12= MAN_MADE, MAN_MADE_AB, and RESERVOIR; NATURAL=includes LAKE_ORIGIN12=NATURAL and NATURAL_ENH; UNCERTAIN= Includes LAKE_ORIGIN12=UNCERTAIN",MAN-MADE|NATURAL|UNCERTAIN,NA,NA,NA
